"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"SLC25A27",0,2,5,2,5,0,5,0,8,1,2,1,5,0,5,0,3,3,0,2,3,67,3,5,0
"SLC25A28",0,6,22,19,19,13,29,25,12,39,9,30,12,31,0,32,7,12,33,29,20,28,24,3,22
"SLC25A29",12,7,11,0,3,2,3,1,7,0,1,45,23,2,13,34,2,7,10,14,21,4,17,6,5
"SLC25A3",135,99,74,156,180,90,128,177,184,190,137,155,128,122,91,171,83,56,26,144,152,236,225,123,123
"SLC25A30",194,131,188,128,104,133,219,268,101,144,132,133,154,141,90,216,126,140,161,238,153,187,199,164,109
"SLC25A31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A32",0,1,37,3,8,10,11,26,6,9,15,13,9,11,1,16,4,3,12,10,14,54,47,20,22
"SLC25A33",2,1,2,6,6,6,9,4,3,3,10,9,13,9,2,10,3,6,2,8,10,2,10,4,3
"SLC25A34",0,0,0,0,5,1,0,0,2,0,0,0,1,1,0,0,0,5,0,1,0,0,0,0,0
"SLC25A35",0,0,16,0,0,5,1,0,4,0,2,3,2,0,0,0,0,0,17,2,1,0,0,6,10
"SLC25A36",34,51,100,47,17,30,28,59,13,9,83,43,61,85,37,74,49,27,24,44,57,147,83,24,31
"SLC25A37",54,22,83,63,31,22,24,40,18,46,33,35,30,36,20,43,28,21,4,43,55,40,53,40,61
"SLC25A38",0,5,9,3,4,5,0,16,3,2,1,5,14,4,7,9,5,0,0,5,11,0,16,7,14
"SLC25A39",24,18,26,20,34,16,25,52,28,73,26,26,21,26,17,21,9,15,29,14,36,23,23,19,9
"SLC25A4",21,3,39,7,4,3,7,0,0,5,9,6,2,2,5,29,1,15,1,7,2,90,0,14,21
"SLC25A40",0,1,0,6,2,3,0,62,9,2,9,8,11,11,8,15,9,2,0,12,14,0,11,11,0
"SLC25A41",1,0,0,0,0,1,0,0,2,0,0,1,0,1,1,1,0,2,1,0,0,0,1,0,1
"SLC25A42",0,3,1,8,2,11,1,10,10,2,6,4,11,6,3,17,2,0,18,6,10,0,3,11,14
"SLC25A43",40,10,13,12,15,6,0,20,17,22,25,21,8,13,2,17,11,13,56,10,15,17,12,24,9
"SLC25A44",5,10,26,33,16,14,22,1,9,15,17,5,21,22,1,6,2,6,24,23,9,16,41,13,8
"SLC25A45",27,5,12,4,4,11,0,3,11,8,16,15,12,9,4,5,5,1,1,17,19,18,11,8,0
"SLC25A46",20,33,23,45,26,11,20,29,22,15,31,28,26,20,16,26,18,14,23,20,20,30,44,42,23
"SLC25A47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A48",3,7,14,3,2,3,5,4,9,4,10,5,9,8,8,14,12,6,2,10,6,23,24,7,19
"SLC25A5",171,93,51,215,226,56,130,162,163,312,207,181,105,86,57,137,59,37,27,70,141,164,150,137,110
"SLC25A51",0,0,0,0,3,3,3,0,0,4,0,6,2,0,2,0,5,0,0,1,0,0,6,0,0
"SLC25A52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A53",0,3,22,4,2,1,0,0,0,2,0,3,0,9,2,0,5,0,0,1,1,58,4,0,0
"SLC25A6",189,169,161,289,194,105,201,303,261,238,277,217,221,241,151,198,122,63,103,184,204,310,222,153,132
