"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"DNLZ",0,0,0,10,1,2,0,0,0,0,1,0,4,0,0,0,0,7,0,0,0,0,1,0,0
"DNM1",19,12,40,5,4,8,1,90,3,5,20,10,5,16,12,28,14,0,1,12,21,43,15,16,30
"DNM1L",11,29,49,86,33,29,47,35,18,67,14,41,40,11,22,24,13,6,17,31,21,26,52,30,10
"DNM2",31,44,72,40,44,16,11,0,61,70,38,36,31,41,13,36,16,23,27,53,63,56,55,32,40
"DNM3",2,2,0,6,2,1,0,0,4,1,4,4,3,1,0,9,9,7,7,0,4,11,1,2,2
"DNMBP",26,6,3,19,8,1,0,0,27,33,7,11,11,0,3,23,11,6,6,5,2,0,2,6,13
"DNMT1",41,46,57,81,66,32,72,102,89,69,113,104,106,25,40,62,40,41,27,68,64,38,75,37,34
"DNMT3A",32,25,35,29,7,24,26,46,11,11,49,35,59,16,24,35,23,8,27,38,79,114,44,35,23
"DNMT3B",0,10,5,1,2,4,0,0,2,21,5,2,2,0,0,0,3,0,0,0,0,0,4,2,2
"DNMT3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNPEP",28,27,50,49,29,15,58,22,32,43,38,67,50,41,23,36,22,6,22,29,27,54,35,40,17
"DNPH1",30,10,5,13,10,2,23,8,3,28,10,11,8,16,3,28,8,2,14,9,15,3,23,7,4
"DNTT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"DNTTIP1",1,7,2,12,12,9,40,18,12,17,20,18,15,10,13,28,15,18,0,7,24,9,18,17,9
"DNTTIP2",2,17,38,90,76,32,23,5,44,49,60,55,67,24,23,55,32,22,11,32,28,32,38,29,52
"DOC2A",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1
"DOC2B",5,8,9,18,26,14,1,11,12,27,19,5,22,5,3,20,7,10,3,12,4,7,6,11,19
"DOCK1",28,32,19,33,19,17,17,11,15,45,39,20,27,33,10,19,25,21,12,25,15,91,21,25,13
"DOCK10",28,24,19,57,9,26,24,38,15,38,23,17,28,68,43,64,52,3,34,66,77,22,21,19,14
"DOCK11",16,6,40,12,0,11,0,8,0,1,18,8,14,29,6,10,22,0,0,19,15,55,7,21,9
"DOCK2",15,12,35,12,4,13,25,9,17,0,23,15,25,44,6,30,12,9,2,31,36,23,34,17,18
"DOCK3",3,0,0,0,0,0,0,0,1,11,0,5,0,4,3,1,0,0,0,0,0,5,0,0,0
"DOCK4",17,11,29,18,10,15,9,1,2,6,12,18,17,23,8,36,14,23,0,34,50,9,21,8,15
"DOCK5",2,28,11,24,10,12,18,11,13,6,11,13,19,19,16,29,12,3,17,23,12,3,22,15,13
"DOCK6",21,11,24,1,26,11,7,3,25,50,5,6,9,15,5,21,1,6,11,10,2,0,1,9,12
"DOCK7",0,5,25,12,12,1,10,4,8,1,11,11,10,8,8,7,4,2,0,10,6,5,18,5,13
"DOCK8",11,19,48,87,12,38,56,21,5,6,72,44,33,85,41,40,26,14,2,89,90,25,102,57,43
"DOCK9",46,16,78,38,14,21,13,29,45,49,38,26,19,17,13,33,9,24,60,14,20,26,18,16,23
"DOHH",7,3,23,31,27,5,20,41,18,16,17,15,22,5,9,18,0,1,0,5,5,0,22,4,1
"DOK1",0,1,0,5,1,2,14,17,3,0,11,1,0,19,3,4,0,0,0,7,9,10,3,1,3
"DOK2",10,11,14,23,10,19,34,103,0,0,9,14,22,31,16,3,6,0,2,37,45,4,25,10,3
"DOK3",12,0,1,6,4,6,38,0,6,2,1,8,4,13,2,4,4,8,0,16,4,6,2,5,4
"DOK4",30,11,3,16,27,1,0,12,26,119,27,12,11,13,0,42,5,6,1,6,4,33,5,10,12
"DOK5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,8,0,0,0,4,0,0
"DOK6",0,0,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0
"DOK7",3,1,4,2,3,4,4,5,3,3,1,7,4,3,2,5,6,4,6,6,1,3,7,6,2
"DOLK",0,5,7,9,6,1,2,4,2,26,11,11,8,17,3,12,9,1,31,7,10,0,8,10,15
"DOLPP1",1,14,0,15,7,6,0,13,9,33,13,13,4,0,1,8,6,0,7,1,6,12,15,1,0
"DONSON",3,3,4,9,4,3,10,7,4,12,7,10,2,8,4,1,1,7,23,4,13,10,6,20,11
"DOT1L",39,18,2,21,15,8,1,18,27,64,27,12,15,0,2,6,25,4,102,10,16,19,15,11,9
"DPAGT1",21,10,7,7,9,9,21,32,8,4,13,16,5,2,10,22,7,1,1,9,14,1,16,7,3
"DPCD",0,0,4,1,9,6,14,9,7,4,7,1,8,9,2,3,2,1,1,3,0,76,0,11,4
"DPEP1",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"DPEP2",0,0,5,8,0,0,0,11,0,0,2,6,4,9,8,0,2,0,0,5,4,23,3,2,4
"DPEP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPF1",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"DPF2",8,22,25,19,5,7,7,35,24,14,15,11,29,35,28,31,15,20,0,23,14,9,20,11,30
"DPF3",14,6,21,0,1,1,7,0,0,0,2,2,6,14,5,0,1,5,0,6,8,0,0,0,0
"DPH1",22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DPH2",7,12,27,15,34,9,22,13,9,1,4,9,5,0,2,8,6,7,0,1,6,0,10,7,26
"DPH3",13,1,5,26,12,6,26,1,14,9,9,16,13,13,2,3,1,7,16,9,34,5,22,32,0
"DPH5",1,4,24,6,5,3,9,4,9,16,21,7,13,1,5,3,1,2,31,6,13,0,17,0,0
"DPH6",0,16,22,1,11,2,0,11,5,0,16,12,8,4,6,3,4,0,0,10,14,52,8,0,0
"DPH7",4,9,2,12,0,7,25,0,14,2,22,6,3,38,4,2,0,0,0,15,11,0,7,8,0
"DPM1",11,5,3,31,19,29,30,34,10,40,22,18,24,11,18,15,14,13,13,19,23,11,32,13,26
"DPM2",1,7,10,6,14,4,7,5,4,11,8,12,1,4,6,7,8,15,0,11,10,14,20,9,9
"DPM3",25,9,4,1,2,3,5,28,7,26,11,6,9,6,7,4,1,2,1,13,15,3,6,10,16
"DPP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPP3",8,10,2,26,7,5,1,15,13,10,11,18,11,28,0,25,5,3,13,6,11,2,29,19,4
"DPP4",8,8,0,19,6,11,16,42,22,34,31,2,6,14,8,34,7,4,20,11,7,58,6,17,19
"DPP6",1,7,2,3,0,2,2,3,1,8,11,3,3,0,0,5,1,0,0,3,3,5,4,5,0
"DPP7",10,40,74,39,24,19,24,55,21,55,26,43,52,54,28,49,25,17,5,55,70,16,42,29,16
"DPP8",50,22,9,58,16,18,48,1,15,16,22,15,28,30,24,55,28,9,0,26,34,47,26,25,22
"DPP9",75,14,42,61,21,14,83,13,21,43,63,38,42,31,25,81,23,40,18,55,56,10,73,38,37
"DPPA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPPA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPPA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPPA5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPRX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPT",5,34,69,11,10,18,9,100,6,15,39,32,57,115,32,60,56,50,5,27,40,32,44,21,82
"DPY19L1",2,3,8,1,9,7,26,0,1,5,11,16,8,46,23,15,2,12,2,20,11,18,10,15,13
"DPY19L2",0,1,0,1,0,0,0,1,1,29,12,1,0,0,0,6,0,0,0,0,0,9,0,2,0
"DPY19L3",3,7,22,1,12,4,3,0,6,10,4,5,13,2,7,10,4,2,5,5,10,40,6,16,4
"DPY19L4",0,7,0,8,7,6,4,14,10,19,4,5,15,13,8,3,9,15,8,3,7,17,6,17,0
"DPY30",29,12,1,14,21,7,0,9,6,5,31,14,13,12,7,3,5,15,4,12,11,47,11,6,16
"DPYD",44,14,23,11,24,19,32,19,9,4,15,24,32,35,27,5,12,10,11,24,48,5,46,18,39
"DPYS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"DPYSL2",18,47,137,99,30,39,50,60,29,25,81,51,87,142,54,26,49,31,45,91,89,177,83,48,55
"DPYSL3",7,33,140,36,11,20,33,72,13,6,87,59,74,66,46,62,71,16,34,100,104,215,143,56,56
"DPYSL4",0,0,0,0,0,3,0,0,0,0,0,1,1,0,3,0,0,0,0,1,2,0,0,0,3
"DPYSL5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQX1",0,2,0,0,3,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DR1",73,31,51,50,24,17,39,56,32,64,49,36,31,29,31,40,40,44,49,28,50,40,80,17,27
"DRAM1",0,15,9,28,12,11,10,15,2,1,16,27,18,13,7,32,7,4,0,54,39,46,40,20,7
"DRAM2",33,21,27,19,12,13,0,5,27,13,30,15,25,10,12,22,10,19,1,26,48,12,40,23,26
"DRAP1",180,94,72,188,242,70,171,208,145,244,215,159,110,106,60,240,81,53,83,120,189,179,121,72,72
"DRAXIN",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,8,0,0,0,0
"DRC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DRC7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0
"DRD2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"DRD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DRD4",0,5,8,1,1,1,0,18,0,0,0,0,2,6,0,0,1,2,6,4,2,15,1,0,5
"DRD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DRG1",0,5,17,9,10,3,0,0,6,12,20,11,22,15,9,23,4,6,0,6,11,1,8,1,0
"DRG2",16,23,19,1,14,8,9,3,11,27,16,15,7,8,12,7,6,2,0,12,22,15,14,9,35
"DRGX",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0
"DRICH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DROSHA",0,12,29,25,20,9,13,12,14,13,23,20,9,18,11,44,4,4,0,17,24,43,7,9,6
"DRP2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSC1",188,106,1,8,80,0,0,0,568,1008,170,108,7,0,1,104,25,63,57,1,1,8,0,16,0
"DSC2",223,48,8,60,189,33,23,122,121,249,134,122,51,10,20,84,36,13,45,31,102,7,24,100,28
"DSC3",200,418,12,748,688,42,137,231,1224,1922,823,640,646,7,70,795,394,424,451,5,71,39,99,249,45
"DSCAM",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSCAML1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"DSCC1",1,6,0,7,1,0,0,5,0,0,10,1,5,0,0,7,1,0,0,1,10,0,6,5,0
"DSCR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSCR8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSE",50,43,70,58,28,46,148,61,14,28,41,33,21,35,16,72,27,38,6,65,50,36,41,28,34
"DSEL",14,1,8,2,2,4,31,17,2,1,15,3,9,10,3,9,2,1,0,31,32,18,32,26,17
"DSG1",365,261,8,156,216,11,21,56,808,1501,403,280,110,0,11,274,164,204,92,0,21,0,45,56,2
"DSG2",1,1,0,8,3,1,2,15,1,2,4,7,0,9,1,8,10,7,7,4,0,0,7,4,0
"DSG3",157,62,0,118,275,10,68,65,110,178,82,79,75,0,12,56,50,70,96,2,5,20,16,34,33
"DSG4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DSN1",1,6,20,6,11,13,9,1,8,26,16,5,11,8,3,25,4,8,32,7,13,44,3,13,3
"DSP",1327,895,27,971,1356,84,174,457,2761,4755,1385,1103,754,14,89,962,648,540,368,4,103,8,151,332,131
"DSPP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DST",374,472,373,434,149,118,326,282,543,1034,498,339,403,204,164,451,300,257,204,162,174,592,294,220,175
"DSTN",192,116,109,117,131,41,46,165,132,354,176,158,121,92,89,149,101,69,160,72,129,618,116,92,139
"DSTYK",7,18,12,11,20,2,37,2,20,50,31,27,21,36,16,33,22,1,1,29,27,15,30,18,23
"DTD1",9,6,0,40,12,6,14,7,14,23,4,14,8,22,14,7,12,8,0,14,17,30,7,13,11
"DTD2",15,2,0,11,9,4,0,0,12,18,5,4,6,1,3,12,3,0,0,6,7,62,12,12,0
"DTHD1",0,0,1,0,0,3,5,0,0,0,0,5,0,8,0,5,4,0,0,14,8,0,0,0,0
"DTL",3,0,0,2,0,1,0,2,1,20,0,5,4,0,0,6,5,0,0,1,1,0,4,0,0
"DTNA",0,7,9,3,2,0,4,23,7,3,2,2,1,7,5,16,4,0,8,10,19,22,5,5,12
"DTNB",6,5,5,2,0,3,20,1,5,3,1,7,8,8,1,15,0,4,3,9,4,2,7,4,2
"DTNBP1",0,7,16,14,14,16,22,18,4,7,6,18,8,12,7,25,12,0,0,17,25,6,1,17,3
"DTWD1",14,14,63,22,5,9,13,61,15,26,14,14,10,56,10,13,8,9,37,24,35,65,16,9,20
"DTWD2",0,6,5,3,0,1,0,0,0,6,1,4,3,0,8,0,0,0,15,6,4,0,3,0,0
"DTX1",0,0,14,0,3,1,1,0,3,0,0,0,4,0,2,0,0,0,0,2,3,2,0,0,0
"DTX2",33,10,13,11,14,9,7,45,42,27,19,19,10,9,6,26,12,14,0,24,17,0,10,7,10
"DTX3",1,3,18,5,0,1,13,10,0,0,5,3,1,1,4,7,6,0,0,6,8,12,2,2,0
"DTX3L",23,23,54,71,17,20,17,10,16,72,29,20,36,34,23,51,23,14,18,40,46,7,44,15,7
"DTX4",0,8,0,5,0,0,2,0,2,3,4,7,15,15,3,16,18,2,8,3,5,0,0,1,0
"DTYMK",0,11,0,11,41,6,7,8,4,42,12,19,8,0,2,25,3,10,18,7,11,0,12,11,17
"DUOX1",17,51,7,45,74,5,26,23,148,208,36,45,28,5,7,27,20,31,8,16,5,27,25,26,5
"DUOX2",10,4,1,1,5,0,8,0,12,30,0,2,0,0,0,0,0,1,0,0,0,0,8,4,0
"DUOXA1",100,86,1,67,156,1,0,14,184,329,105,62,20,0,1,74,12,10,30,0,9,0,21,27,0
"DUOXA2",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DUPD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUS1L",0,25,34,44,66,10,20,13,9,34,30,28,24,22,8,29,8,17,26,20,21,8,25,18,20
"DUS2",0,2,13,0,6,1,0,1,6,17,2,2,3,0,3,8,0,0,0,1,1,0,2,8,0
"DUS3L",5,9,25,26,11,8,39,9,7,9,19,13,12,18,11,9,7,2,21,18,12,4,12,4,6
"DUS4L",0,4,3,18,3,1,1,2,5,7,12,7,4,6,4,4,15,5,0,10,4,22,4,3,0
"DUSP1",33,52,17,94,219,27,31,62,20,59,66,53,43,23,20,38,36,11,0,301,256,103,78,45,90
"DUSP10",0,8,0,12,5,4,4,12,6,4,15,12,10,11,7,16,2,12,16,14,8,0,16,2,12
"DUSP11",8,3,6,23,20,9,12,11,16,21,22,9,8,2,5,22,6,5,0,5,16,0,18,9,8
"DUSP12",0,8,2,12,8,8,0,11,2,4,7,6,19,0,10,9,4,1,1,5,10,10,16,14,0
"DUSP13",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP14",69,50,9,24,44,0,5,0,45,76,54,26,14,3,2,47,33,21,7,15,20,14,40,20,4
"DUSP15",0,1,4,3,0,0,0,0,1,0,2,0,0,3,0,0,1,0,0,1,3,0,0,0,0
"DUSP16",0,7,0,1,7,4,8,11,21,7,19,6,10,13,15,10,1,0,4,20,14,38,4,8,0
"DUSP18",31,6,25,13,15,6,20,21,6,6,13,9,10,1,10,12,4,1,1,12,11,12,8,7,5
"DUSP19",2,0,2,1,0,1,0,1,0,1,0,0,1,1,2,0,1,2,0,1,1,13,4,1,1
"DUSP2",3,1,13,32,46,17,32,40,6,10,9,14,13,9,26,31,26,12,29,29,50,1,46,27,31
"DUSP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP22",28,4,23,27,23,7,3,10,18,46,21,13,15,27,3,18,13,14,31,27,30,44,15,5,22
"DUSP23",21,14,17,22,21,7,6,12,25,31,12,25,21,24,6,9,18,6,1,26,16,32,27,13,5
"DUSP26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP28",1,2,0,7,1,2,8,0,7,0,3,3,3,4,14,2,4,3,0,6,12,12,6,1,2
"DUSP3",71,37,56,82,51,36,91,125,24,24,61,68,55,73,10,36,41,12,35,77,88,110,54,32,51
"DUSP4",70,40,30,98,63,20,83,88,10,15,87,53,73,49,47,90,67,19,17,146,184,73,177,76,30
"DUSP5",19,3,22,6,10,0,26,37,6,23,6,8,8,9,15,1,2,2,1,35,38,0,11,11,0
"DUSP6",41,37,44,82,118,56,192,26,17,29,64,57,69,51,36,55,41,43,69,117,77,176,95,57,45
"DUSP7",77,31,14,83,122,26,78,110,23,21,60,66,38,33,10,34,16,46,10,13,16,7,21,35,1
"DUSP8",0,3,2,4,4,0,3,0,7,0,0,3,3,8,0,2,1,1,2,3,5,0,3,1,1
"DUSP9",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
"DUT",67,63,72,103,61,39,79,174,50,72,67,52,112,59,63,149,54,47,39,51,66,52,208,95,64
"DUX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUXA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DVL1",5,6,16,13,17,4,1,0,11,24,4,12,5,7,3,3,18,1,0,6,4,14,16,10,18
"DVL2",4,13,11,9,3,0,1,34,4,13,1,4,16,15,6,20,5,6,0,10,0,17,4,16,3
"DVL3",29,13,22,39,22,16,12,28,9,39,14,19,14,30,15,13,10,7,19,19,16,44,27,23,36
"DXO",5,2,9,0,0,0,9,0,0,4,5,0,3,6,9,1,1,2,0,7,7,7,3,2,0
"DYDC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYDC2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DYM",9,12,57,20,15,8,5,40,21,28,27,16,31,12,8,48,6,7,16,16,21,10,4,7,7
"DYNAP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYNC1H1",51,122,190,198,138,60,97,150,195,324,205,180,138,152,75,191,65,71,101,158,102,292,127,93,126
"DYNC1I1",0,2,0,1,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,5
"DYNC1I2",18,33,83,53,50,9,19,22,62,71,78,38,61,56,19,35,44,14,14,46,60,131,50,32,33
"DYNC1LI1",19,22,11,35,34,17,32,11,52,73,43,47,27,21,30,28,23,8,14,29,21,15,20,40,14
"DYNC1LI2",34,64,54,94,74,45,22,74,66,123,88,71,66,61,46,51,44,20,23,100,73,91,96,30,52
"DYNC2H1",14,12,91,20,11,12,15,25,6,15,26,31,22,33,7,38,4,10,0,13,13,123,24,4,10
"DYNC2LI1",30,13,28,22,5,7,0,26,12,32,15,6,10,5,10,3,3,1,9,8,19,20,19,5,9
"DYNLL1",140,48,16,68,70,13,46,29,189,273,95,56,51,11,15,88,69,67,2,38,33,80,43,59,17
"DYNLL2",59,20,5,13,5,5,0,21,16,9,5,18,22,12,7,18,8,3,22,15,14,0,12,16,1
"DYNLRB1",99,56,76,61,48,34,62,73,53,88,111,59,52,64,26,80,43,23,99,32,59,197,91,33,74
"DYNLRB2",3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYNLT1",53,21,18,22,11,8,18,0,17,3,25,6,12,20,17,4,8,0,77,13,27,4,23,15,4
"DYNLT3",0,8,3,2,0,8,1,6,13,38,11,9,9,0,4,6,7,9,0,13,11,10,8,15,24
"DYRK1A",24,30,62,22,24,17,35,14,38,67,45,30,30,20,37,25,19,1,49,35,21,19,38,13,33
"DYRK1B",13,10,0,15,1,2,0,5,16,13,6,10,8,5,1,9,8,2,0,10,14,3,12,15,1
"DYRK2",65,31,41,36,33,34,106,21,26,52,36,35,42,85,30,77,36,36,34,49,78,66,69,39,41
"DYRK3",0,0,0,0,0,0,0,6,0,2,3,5,0,0,0,1,1,0,0,2,0,0,0,0,0
"DYRK4",4,7,0,1,3,3,0,0,2,45,10,10,2,19,3,1,7,2,0,3,6,27,13,4,36
"DYSF",23,3,18,9,1,4,22,38,12,1,3,9,4,7,5,9,6,5,0,27,20,22,19,6,0
"DYTN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZANK1",0,0,3,2,3,0,0,0,7,0,4,0,3,0,0,5,7,0,0,4,0,1,4,2,0
"DZIP1",0,1,3,6,3,5,0,11,5,0,11,3,5,4,1,2,4,2,0,8,18,1,2,5,0
"DZIP1L",15,8,5,2,2,4,2,21,3,4,6,3,9,4,0,0,3,3,0,7,8,41,7,2,4
"DZIP3",12,10,40,18,10,12,0,0,5,5,8,17,10,36,11,3,11,9,0,31,21,6,2,3,0
"E2F1",0,2,0,0,3,0,2,0,0,22,3,1,1,0,0,0,2,0,0,2,0,1,3,3,0
"E2F2",0,1,0,6,0,2,24,8,4,14,0,6,1,2,2,8,1,0,1,2,2,1,6,2,1
"E2F3",1,27,42,40,48,21,23,6,14,8,21,22,22,28,20,49,17,12,1,37,39,29,22,19,13
"E2F4",24,24,26,45,42,11,57,38,11,33,34,33,31,33,12,73,11,18,55,35,45,40,59,32,4
"E2F5",22,17,110,24,13,29,44,63,10,7,39,19,36,39,19,21,31,28,19,20,36,154,38,27,32
"E2F6",0,7,4,6,3,4,3,0,8,0,2,0,5,0,0,1,0,4,0,3,3,10,1,2,0
"E2F7",26,6,0,1,1,0,0,0,7,0,0,0,5,0,0,0,3,0,0,0,0,0,2,0,0
"E2F8",0,0,0,1,11,0,20,0,8,0,7,7,10,5,0,1,2,0,0,1,1,0,11,5,0
"E4F1",7,12,19,31,34,15,27,16,24,31,16,21,11,21,3,13,9,10,21,18,22,19,21,10,2
"EAF1",8,4,0,22,11,11,10,7,0,40,16,8,7,18,4,11,6,0,0,9,17,0,8,0,0
"EAF2",10,0,0,0,0,7,12,13,0,0,0,2,0,0,0,0,0,0,0,10,3,18,3,1,0
"EAPP",38,40,33,53,27,13,37,20,45,35,31,51,29,49,27,57,13,13,26,37,38,21,39,42,16
"EARS2",0,4,3,6,2,1,8,7,9,12,14,10,5,16,12,7,4,1,3,2,2,0,4,2,9
"EBAG9",27,8,48,24,13,12,8,1,3,20,27,6,16,12,9,23,6,2,1,16,20,48,11,17,23
"EBF1",122,37,202,49,12,51,32,103,8,17,47,37,74,115,41,25,15,19,34,98,138,201,55,65,133
"EBF2",0,0,6,0,0,2,0,1,0,0,0,0,2,1,7,1,0,3,1,4,8,2,3,1,10
"EBF3",4,0,0,0,1,1,0,6,0,0,2,2,4,2,0,7,1,0,0,3,5,0,8,0,0
"EBF4",0,7,4,9,4,0,9,1,0,0,0,2,5,0,2,0,1,0,0,5,2,35,4,0,0
"EBI3",1,4,0,9,0,0,0,6,1,0,7,0,3,10,3,1,0,4,0,5,13,0,8,7,1
"EBLN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EBLN2",2,5,0,8,3,2,1,0,11,1,11,2,7,3,9,18,6,8,27,10,5,0,16,6,0
"EBNA1BP2",60,21,20,74,73,37,50,34,17,46,42,61,54,22,29,50,18,28,0,16,28,9,74,57,12
"EBP",25,10,2,40,29,11,2,51,21,63,41,46,54,9,17,42,11,10,77,24,20,32,38,70,18
"EBPL",56,18,21,30,25,9,9,24,70,93,44,32,34,20,8,27,13,19,40,10,14,28,45,27,19
"ECD",9,15,9,10,18,6,0,10,10,6,16,8,20,6,4,17,10,2,0,11,8,0,20,2,0
"ECE1",63,13,39,32,23,24,70,42,18,23,28,39,31,105,29,82,24,24,66,67,55,100,144,54,61
"ECE2",1,2,0,8,4,4,10,9,1,4,6,11,4,0,0,2,3,0,1,7,1,0,4,1,0
"ECEL1",1,0,0,1,0,2,6,0,3,0,7,0,0,7,0,1,0,0,0,8,4,1,1,0,0
"ECH1",22,18,57,25,13,20,53,94,28,35,20,21,31,64,21,27,20,12,2,25,23,59,53,50,57
"ECHDC1",36,15,7,27,17,9,29,24,32,19,31,28,30,40,6,14,13,23,11,30,37,97,22,6,0
"ECHDC2",26,38,43,58,24,7,21,6,61,129,71,44,39,54,15,97,22,24,14,37,28,60,51,35,26
"ECHDC3",34,4,0,14,7,3,0,1,8,23,5,4,10,11,4,12,10,0,1,0,1,0,0,0,6
"ECHS1",9,19,40,14,24,8,52,15,22,57,26,26,20,71,9,32,27,3,22,24,21,55,16,13,15
"ECI1",59,12,20,19,18,12,20,22,11,22,22,18,14,24,12,5,3,8,0,11,23,39,13,26,44
"ECI2",3,19,30,16,2,7,0,4,6,3,7,9,16,21,23,12,2,18,1,14,19,34,14,14,11
"ECM1",33,15,18,12,9,5,5,11,19,28,36,14,15,12,7,8,8,16,16,3,13,13,14,8,11
"ECM2",4,19,44,16,5,8,23,1,1,13,12,16,6,21,9,16,2,2,13,7,10,52,16,6,23
"ECSCR",26,6,21,4,2,4,0,43,10,7,16,6,12,29,17,18,9,4,6,33,41,32,52,18,14
"ECSIT",13,3,8,5,2,2,0,13,5,8,0,7,12,7,3,6,0,0,0,5,4,13,9,0,9
