"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"APOOL",10,7
"APP",528,316
"APPBP2",9,9
"APPL1",13,34
"APPL2",3,15
"APRT",38,69
"APTX",35,39
"AQP1",109,43
"AQP10",0,0
"AQP11",8,1
"AQP12A",0,0
"AQP12B",0,0
"AQP2",0,0
"AQP3",14601,19428
"AQP4",0,0
"AQP5",0,0
"AQP6",0,0
"AQP7",2,0
"AQP8",0,0
"AQP9",2,0
"AQR",4,13
"AR",0,0
"ARAF",6,9
"ARAP1",25,34
"ARAP2",15,21
"ARAP3",4,2
"ARC",4,0
"ARCN1",20,49
"AREG",48,28
"AREL1",6,5
"ARF1",128,142
"ARF3",399,327
"ARF4",46,72
"ARF5",41,62
"ARF6",2269,2077
"ARFGAP1",22,17
"ARFGAP2",8,22
"ARFGAP3",17,20
"ARFGEF1",54,44
"ARFGEF2",11,24
"ARFGEF3",6,3
"ARFIP1",16,31
"ARFIP2",41,34
"ARFRP1",27,34
"ARG1",1,2
"ARG2",5,14
"ARGFX",0,0
"ARGLU1",27,32
"ARHGAP1",10,12
"ARHGAP10",104,89
"ARHGAP11A",7,5
"ARHGAP12",1,10
"ARHGAP15",3,0
"ARHGAP17",11,15
"ARHGAP18",9,8
"ARHGAP19",7,18
"ARHGAP19-SLIT1",0,0
"ARHGAP20",0,1
"ARHGAP21",10,15
"ARHGAP22",0,3
"ARHGAP23",130,126
"ARHGAP24",3,0
"ARHGAP25",2,6
"ARHGAP26",7,6
"ARHGAP27",62,55
"ARHGAP28",0,0
"ARHGAP29",3,4
"ARHGAP30",14,20
"ARHGAP31",1,6
"ARHGAP32",34,61
"ARHGAP33",0,1
"ARHGAP35",14,36
"ARHGAP36",0,0
"ARHGAP39",8,11
"ARHGAP4",13,13
"ARHGAP40",5,8
"ARHGAP42",0,1
"ARHGAP44",2,0
"ARHGAP5",193,168
"ARHGAP6",0,0
"ARHGAP8",10,9
"ARHGAP9",1,3
"ARHGDIA",135,111
"ARHGDIB",12,23
"ARHGDIG",2,1
"ARHGEF1",86,87
"ARHGEF10",7,3
"ARHGEF10L",17,27
"ARHGEF11",5,3
"ARHGEF12",66,82
"ARHGEF15",0,0
"ARHGEF16",3,16
"ARHGEF17",13,4
"ARHGEF18",8,1
"ARHGEF19",17,38
"ARHGEF2",44,18
"ARHGEF25",1,2
"ARHGEF26",3,8
"ARHGEF28",26,20
"ARHGEF3",12,14
"ARHGEF33",0,0
"ARHGEF35",12,11
"ARHGEF37",52,42
"ARHGEF38",1,4
"ARHGEF39",0,2
"ARHGEF4",19,12
"ARHGEF40",15,5
"ARHGEF5",115,132
"ARHGEF6",3,6
"ARHGEF7",41,59
"ARHGEF9",16,21
"ARID1A",47,63
"ARID1B",7,25
"ARID2",2,13
"ARID3A",61,38
"ARID3B",2,3
"ARID3C",0,0
"ARID4A",7,17
"ARID4B",59,49
"ARID5A",0,2
"ARID5B",24,27
"ARIH1",116,104
"ARIH2",20,32
"ARIH2OS",3,3
"ARL1",34,40
"ARL10",0,1
"ARL11",2,6
"ARL13A",0,0
"ARL13B",5,9
"ARL14",1,0
"ARL14EP",4,4
"ARL14EPL",0,0
"ARL15",69,69
"ARL16",13,33
"ARL17A",0,0
"ARL2",5,14
"ARL2-SNX15",0,0
"ARL2BP",19,37
"ARL3",13,21
"ARL4A",2,13
"ARL4C",428,331
"ARL4D",307,300
"ARL5A",363,370
"ARL5B",108,115
"ARL5C",0,0
"ARL6",0,0
"ARL6IP1",34,51
"ARL6IP4",1,1
"ARL6IP5",21,51
"ARL6IP6",9,7
"ARL8A",36,23
"ARL8B",51,53
"ARL9",0,0
"ARMC1",8,22
"ARMC10",6,13
"ARMC12",3,0
"ARMC2",0,2
"ARMC3",0,0
"ARMC4",0,0
"ARMC5",108,155
"ARMC6",29,30
"ARMC7",6,14
"ARMC8",97,80
"ARMC9",4,0
"ARMCX1",3,2
"ARMCX2",1,1
"ARMCX3",16,11
"ARMCX4",0,2
"ARMCX5",4,5
"ARMCX6",5,4
"ARMS2",0,0
"ARMT1",7,4
"ARNT",13,19
"ARNT2",12,8
"ARNTL",1,0
"ARNTL2",44,67
"ARPC1A",52,69
"ARPC1B",46,36
"ARPC2",1063,1413
"ARPC3",56,92
"ARPC4",56,73
"ARPC4-TTLL3",0,0
"ARPC5",102,194
"ARPC5L",85,76
"ARPIN",52,38
"ARPP19",32,32
"ARPP21",0,0
"ARR3",0,0
"ARRB1",43,69
"ARRB2",10,4
"ARRDC1",25,20
"ARRDC2",7,11
"ARRDC3",40,115
"ARRDC4",7,3
"ARRDC5",0,0
"ARSA",13,9
"ARSB",12,15
"ARSD",63,97
"ARSF",2,10
"ARSG",6,5
"ARSH",0,0
"ARSI",54,19
"ARSJ",3,5
"ARSK",0,5
"ART1",0,0
"ART3",0,0
"ART4",0,0
"ART5",0,0
"ARTN",4,0
"ARV1",4,8
"ARVCF",3,3
"ARX",0,0
"AS3MT",0,1
"ASAH1",39,52
"ASAH2",0,0
"ASAH2B",0,3
"ASAP1",0,3
"ASAP2",8,1
"ASAP3",17,17
"ASB1",18,9
"ASB10",0,0
"ASB11",0,0
"ASB12",0,0
"ASB13",20,33
"ASB14",0,0
"ASB15",0,0
"ASB16",0,0
"ASB17",0,0
"ASB18",0,0
"ASB2",1,1
"ASB3",6,0
"ASB4",0,0
"ASB5",0,0
"ASB6",0,6
"ASB7",2,7
"ASB8",14,15
"ASB9",0,0
"ASCC1",8,16
"ASCC2",272,343
"ASCC3",21,14
