"GENE_SYMBOL","GSM3036125","GSM3036126","GSM3036127","GSM3036128","GSM3036129","GSM3036130","GSM3036131","GSM3036132","GSM3036133","GSM3036134","GSM3036135"
"ZNF624",4.785594242,4.468637631,4.965202988,4.623058334,4.589629522,4.731701973,4.882131627,5.14120492,4.986333429,4.912376887,4.775029022
"TNFRSF13B",4.243725192,4.334132284,4.361254411,4.325702032,4.249903729,4.363601184,4.344651608,4.316227244,4.234684483,4.442620793,4.325091574
"COPS3",4.866182977,4.981348802,4.624334744,4.658671952,5.295956833,4.682570135,4.817993172,4.523248915,4.785566899,4.693434239,4.509168919
"RASD1",3.703802719,3.372076456,3.305731203,3.629342794,3.37582789,3.529747653,3.366773787,3.493531238,3.419465922,3.542678534,3.552156427
"PEMT",4.954666781,4.933883638,5.100148778,5.000540963,4.949841078,5.034340887,4.856891289,5.093490753,4.881925782,4.975449923,5.058582493
"SREBF1",4.59567061,4.619710627,4.619710627,4.607853073,4.802588517,4.529958895,4.537748313,4.529958895,4.547590574,4.523550556,4.523550556
"TOM1L2",4.486594633,4.531161582,4.459854464,4.487392717,4.451031436,4.460121756,4.432850796,4.451031436,4.459854464,4.442027685,4.486594633
"ATPAF2",4.627509552,4.771907738,4.705262421,4.620566955,4.766846835,4.612440295,4.783100155,4.669326915,4.627509552,4.705262421,4.66083221
"FLII",4.568629386,4.58006058,4.534335805,4.496374147,4.656698245,4.536455172,4.552487581,4.512406557,4.500042224,4.591491774,4.511473417
"TOP3A",4.559377183,4.621077301,4.559377183,4.59107889,4.608008301,4.48950243,4.565684775,4.54029066,4.497677064,4.528527124,4.51824377
"SHMT1",4.345220814,4.298878518,4.54217557,4.396596837,4.491567092,4.230398892,4.681507601,4.420339401,4.345220814,4.437905405,4.437905405
"FAM106A",4.491339881,4.627660247,4.520551388,4.595219227,4.542112855,4.657176661,4.320836305,4.427049049,4.705557599,4.40370536,4.267384994
"TBC1D28",4.404800369,4.382233937,4.664314327,4.609565952,4.496902244,4.770514108,4.247432603,4.722229661,4.495066093,4.70944719,4.551482171
"ZNF286B",4.079443768,4.079443768,4.230414343,4.068412889,4.126079973,4.106857612,4.126079973,4.193358238,4.026160036,4.17713061,4.265936831
"FAM83G",3.905797567,3.962219135,3.821165215,4.061760537,4.070879155,4.00704883,3.970574358,3.815557855,4.197309002,3.915201162,4.11267665
"GRAP",4.017197831,4.09099947,4.192476722,4.197169422,4.124181899,4.096811578,4.032947495,4.069441257,4.081774265,4.257053156,4.192476722
"B9D1",4.308758965,4.109626011,4.185486184,4.160998723,4.178637031,4.275647721,4.240371107,4.284466875,4.147556098,4.223416271,4.185486184
"MFAP4",5.142350012,5.23748515,5.296944612,5.170372606,5.703124972,5.340235679,5.811219655,5.116325264,5.380187857,5.189917581,5.487214888
"SLC47A2",4.409832724,4.329278389,4.463535614,4.410391919,4.372706927,4.410391919,4.382128175,4.457498158,4.400882242,4.490387059,4.472486095
"ALDH3A1",5.026750562,5.146918387,4.976680636,5.097141976,4.975833259,5.045152526,4.854524542,5.036487618,5.046778533,4.906582738,4.886554767
"ULK2",4.469684801,4.421828733,4.397900699,4.323649335,4.613562424,4.43334618,4.527372046,4.276636401,4.481648818,4.326116597,4.373972665
