"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"KLC2",3377,1510,1482,3597,2349,1721,1903,2771,5054,2688,2259,7169,2582,396,6288
"KLC3",14,458,1596,2318,17,389,768,1783,1375,597,6947,2798,753,1594,7489
"KLC4",1944,790,1528,4798,2073,1307,2635,2005,2196,9568,2979,4687,2278,295,2525
"KLF1",65,19,96,8,125,27,462,0,13,41,56,41,41,5101,56
"KLF10",4354,4496,9991,7195,12245,14541,18886,22389,13267,8695,5936,17214,14059,1944,11684
"KLF11",3114,884,2553,2122,6360,4034,12378,3104,2964,5681,3430,13725,3385,1091,7895
"KLF12",738,376,527,132,789,592,686,690,549,1247,1195,1406,1342,1529,985
"KLF13",1803,3432,3929,883,3425,5419,4442,4275,2309,4922,4541,5808,5193,3610,6078
"KLF14",108,1,242,0,812,46,225,68,149,32,655,114,0,26,36
"KLF15",578,127,33,1,621,20,171,24,81,318,68,133,45,39,9
"KLF16",559,472,502,695,145,778,517,799,377,367,761,1171,574,312,1084
"KLF17",1,0,1,4,0,174,1,5,3,8,3,90,11,4,4
"KLF2",315,2122,1983,5452,5112,1817,7232,2644,1473,830,2904,3404,3561,12235,8373
"KLF3",2898,3983,5125,6176,8426,7391,7687,11086,5851,6673,4812,7579,5390,7164,7560
"KLF4",187,308,279,1282,1397,2012,2018,7056,334,358,322,9021,553,1839,437
"KLF5",5993,4154,7730,2136,482,3000,1236,6912,1828,346,25854,12598,4552,2253,12091
"KLF6",14381,17259,37476,19195,30808,38980,27929,24872,34359,16280,27585,81053,22852,21977,31374
"KLF7",1253,986,1312,1191,2936,4313,3316,2565,1045,1225,3396,2783,1907,1302,4912
"KLF8",44,145,520,935,1398,463,788,155,921,386,36,1306,686,68,922
"KLF9",454,1405,1038,848,1408,1393,3212,1668,998,1770,1134,2360,776,143,1652
"KLHDC1",155,221,147,278,554,193,387,55,199,119,716,196,239,4,792
"KLHDC10",2590,1610,3098,2730,2634,1617,2498,1980,9140,3254,7079,3860,1439,506,7796
"KLHDC2",4568,2673,5518,7625,7500,3820,6207,4421,4674,11016,14361,5389,7100,2386,11796
"KLHDC3",12975,9072,13784,12681,11730,9221,11263,12944,14070,14791,26221,23010,8500,3152,40106
"KLHDC4",1205,1494,1384,930,2401,1226,2202,1972,2422,1343,8764,3085,2143,518,4350
"KLHDC7A",1,2,33,141,6,104,62,3,51,1589,2,1,1168,10,0
"KLHDC7B",1167,153,223,276,114,882,142,3073,37,436,11,128,2018,46,1639
"KLHDC8A",182,249,53,55,3,433,44,430,514,0,823,253,17,519,6684
"KLHDC8B",1858,2173,6389,6656,6010,4966,5970,5483,3451,3032,4112,4301,8708,1008,6406
"KLHDC9",2745,641,1620,6898,227,105,251,208,1172,2253,1070,1082,1408,396,105
"KLHL1",0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"KLHL10",0,0,8,8,76,4,33,2,37,34,86,0,7,0,8
"KLHL11",344,95,8,557,287,240,250,394,408,384,169,704,413,304,399
"KLHL12",6030,2453,5052,11276,5144,3277,4499,4669,14325,10472,4156,5996,6289,310,5702
"KLHL13",1604,287,5658,2156,525,5,404,5,3758,360,1064,1879,432,37,390
"KLHL14",0,336,1,0,76,8,138,18,1,4,39,12,160,478,0
"KLHL15",1057,648,497,367,863,502,670,384,1996,553,925,1282,645,346,1008
"KLHL17",480,553,752,313,320,720,430,483,455,550,624,311,374,141,3779
"KLHL18",1784,1606,1587,2288,2173,1567,2743,2017,4689,1554,3234,4498,2084,1483,3985
"KLHL2",1789,1499,2733,470,2497,3516,2743,2426,4878,3819,600,1129,5485,1993,3066
"KLHL20",2615,2223,1735,4300,3957,2255,3284,1687,3696,3437,1617,5353,1868,618,2588
"KLHL21",6034,2518,4256,2857,10648,6488,8177,9310,12711,6561,4204,5592,6920,1110,7174
"KLHL22",1859,1114,799,2598,3019,902,2156,1459,1359,3626,3392,2229,2730,207,3354
"KLHL23",4264,2924,1314,177,484,564,1183,979,1786,1327,6542,3511,371,575,3097
"KLHL24",5514,2297,4401,5217,5113,3866,5154,4774,11908,5415,15389,21378,9210,2534,13757
"KLHL25",921,941,662,1123,2035,840,1698,1069,1303,1258,1660,1703,853,8,1816
"KLHL26",4193,915,1226,2980,1731,1847,1873,1657,1430,1319,2371,2737,2307,1582,2644
"KLHL28",1670,1424,1416,3356,2053,2818,2012,2811,2606,1552,5133,4209,2958,1467,3018
"KLHL29",48,120,246,88,1582,450,1148,1250,80,147,235,389,363,40,851
"KLHL3",108,190,235,299,1075,532,1354,281,156,243,292,678,513,142,260
"KLHL30",15,2,49,10,48,2,172,106,3,4,25,21,37,7,4
"KLHL31",135,105,96,8,3199,42,1333,58,430,14,510,253,23,3,222
"KLHL32",127,18,131,16,62,18,4,1,0,26,123,2,20,0,44
"KLHL33",1,3,22,3,70,8,22,0,3,26,5,1,2,2,6
"KLHL34",234,27,0,3,1,0,2,21,0,306,49,2122,6,23,0
"KLHL35",446,475,3250,50237,137,626,733,1184,1675,249,4749,1422,898,592,622
"KLHL36",1690,2892,3945,1889,3327,3511,3782,2606,3356,3709,10293,4454,3985,1778,7545
"KLHL38",12,0,54,167,46,11,185,319,24,44,41,298,412,0,163
"KLHL4",295,134,17,275,460,140,147,156,21,25,2,177,88,1,85
"KLHL40",0,2,0,0,0,0,0,0,4,0,1,0,1,0,0
"KLHL41",27,56,27,13,8,21,1,38,14,22,17,14,43,1,14
"KLHL42",5790,2250,3505,1722,1903,2084,2671,4051,3903,1758,4202,4799,2263,1665,4080
"KLHL5",3716,2106,2513,2188,6665,4802,7070,3910,4273,3973,1615,3763,4950,1355,3951
"KLHL6",184,1175,734,376,1244,2497,582,914,161,1437,150,285,3555,877,732
"KLHL7",3350,2505,10150,1511,3353,2402,4073,4125,19003,6049,3573,5919,5262,1963,15483
"KLHL8",2967,994,1053,2684,2062,2000,2374,1077,2946,2292,1486,2148,2735,656,5423
"KLHL9",5672,2696,4606,8234,4423,3609,4323,4109,12818,3977,3228,8054,3477,606,6174
"KLK1",3,39,0,0,20,184,0,100,0,0,1462,183,187,185,6
"KLK10",1142,532,1047,33,22,2415,10920,40395,38,31,8952,102569,1290,1089,22217
"KLK11",66,160,81,70,2,417,11265,1432,1,54,6178,4846,244,192,4673
"KLK12",0,1,0,0,0,70,14,1,0,8,222,151,627,3,95
"KLK13",0,0,90,0,0,46,1053,1,13,6,662,334,13,77,167
"KLK14",8,12,98,0,1,0,334,513,8,0,334,4108,21,64,295
"KLK15",0,0,1,2,0,0,6,0,0,0,0,0,1,0,0
"KLK2",1,1,2,0,0,1,0,2,0,10,1,0,71,0,0
"KLK3",0,1,0,1,0,1,1,1,5,0,0,0,147,1,0
"KLK4",0,188,105,1,0,201,122,0,27,0,96,19,226,0,163
"KLK5",48,1081,206,2,0,2164,25131,480,33,59,2171,28934,199,0,25530
"KLK6",356,1268,3462,0,0,11440,243,21695,80,7,1789,11246,4195,174,3930
"KLK7",237,1123,2261,0,0,63,785,3455,31,0,3589,28053,829,8,11461
"KLK8",1,129,122,0,0,182,3474,4823,0,0,697,4718,11202,128,2191
"KLK9",0,0,0,0,0,5,2,0,0,0,0,18,3,0,0
"KLKB1",56,0,5,8,0,0,27,40,292,13544,1,0,6,1,38
"KLLN",97,1,61,43,416,17,105,95,146,60,51,9,10,0,101
"KLRB1",115,300,174,14,121,133,144,126,36,281,46,4,507,1523,90
"KLRC1",467,158,393,15,26,2,30,78,54,91,0,0,580,221,49
"KLRC2",34,0,150,0,2,14,0,13,8,6,1,0,901,93,21
"KLRC3",17,1,9,0,4,0,0,0,10,1,0,0,119,20,0
"KLRC4",0,9,2,1,2,1,1,0,5,8,0,0,71,35,7
"KLRD1",396,519,572,162,237,87,285,223,146,302,34,166,5993,3903,1670
"KLRF1",8,14,483,11,108,22,80,20,2,82,0,0,82,1700,67
"KLRF2",78,0,66,0,0,0,0,2,25,0,0,0,0,0,0
"KLRG1",563,325,649,56,1060,49,791,137,371,569,156,192,989,657,217
"KLRG2",168,1345,2605,5060,1,9,507,1337,674,296,5439,5914,130,410,11153
"KLRK1",73,82,20,0,7,6,2,1,3,21,8,16,199,20,12
"KMO",80,337,660,14376,224,3292,548,335,1222,6395,98,800,4164,822,311
"KMT2A",3800,6309,3374,1503,4437,7484,4233,4220,6518,3589,11071,14392,7554,2798,5826
"KMT2B",429,1102,666,493,437,938,717,831,918,1037,4410,2802,876,617,1518
"KMT2C",5681,9312,5140,8285,7114,7240,10052,7927,23882,4494,21724,18218,8668,3745,6671
"KMT2D",382,866,314,812,717,1653,1146,1081,739,494,2221,1408,1211,729,1240
"KMT2E",9715,10507,5873,7680,9134,12108,9402,8182,12503,6639,24835,19247,10237,7458,28431
"KNCN",1,0,0,0,0,1,15,2,0,0,1,0,0,0,0
"KNDC1",29,10,188,2,33,147,103,17,0,163,1,0,402,4,0
"KNG1",50,63,48,32,77,54,22,54,95,174529,133,111,26,488,100
"KNOP1",4814,3693,3154,4637,981,2238,1915,2356,3075,1951,7455,7203,2736,1318,8468
"KNSTRN",2940,1992,2874,3262,842,1427,1508,2981,4612,2012,2359,6356,1907,805,5404
"KNTC1",1697,827,698,2604,513,601,642,637,1580,1006,7192,2378,1552,1595,3833
"KPNA1",2209,3385,4437,7065,5495,4146,5697,7715,9104,4913,6876,14278,9516,2591,11138
"KPNA2",21762,17362,19900,24030,4385,8667,9687,21188,42122,25359,19899,47284,15618,4405,74152
"KPNA3",2674,3336,3680,3314,4280,3961,3703,4919,7295,4130,3255,8490,4909,1400,14638
"KPNA4",6145,4063,7181,4607,4900,4998,4769,5823,6296,4074,12247,8769,5270,2455,16759
"KPNA5",721,745,449,291,844,651,864,551,1737,470,3361,1252,624,520,1762
"KPNA6",3363,4063,4299,5193,5659,5799,6807,6140,11435,4896,16469,10755,7449,2146,19572
"KPNA7",3,0,45,141,0,51,85,60,28,85,3,172,113,0,7
"KPNB1",9998,7396,8344,16241,8788,12139,10206,11904,15922,8859,15537,21097,12340,6811,10743
"KPRP",2,0,1,1,0,12,0,0,0,0,0,1,1,0,0
"KPTN",1485,1079,2241,1164,872,808,1635,909,1809,1461,4570,2460,1621,566,2751
"KRAS",5687,2665,5433,8487,2602,11262,3953,7596,8166,4974,4050,8167,6236,2078,6042
"KRBA1",481,462,305,490,220,350,388,475,1082,545,1072,493,449,2,330
"KRBA2",108,170,117,124,265,195,163,63,185,110,1735,257,144,0,308
"KRBOX1",490,27,1079,52,148,44,157,20,6,20,47,13,12,0,43
"KRBOX4",1660,719,1280,1038,1519,1379,840,1247,2421,1356,2963,1763,1227,258,1375
"KRCC1",3761,2722,6038,2141,3803,2453,3314,2079,8678,3453,5857,4982,5915,1487,17737
"KREMEN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KREMEN2",2653,139,228,2823,9,167,127,999,1517,4053,294,389,53,3794,2520
"KRI1",2475,2537,2623,3035,2526,1708,3029,3129,4635,1573,4481,4571,3510,617,6355
"KRIT1",3420,2625,2772,3457,2781,1318,1962,1597,8765,2274,4614,4328,3577,1219,5923
"KRR1",2829,6601,2555,5879,2368,2747,2369,3707,4060,2498,5235,4044,2670,1385,3869
"KRT1",10,9,69,0,515,94,3685,63,35,43,297,0,1,13918,6
"KRT10",4903,6211,13502,20017,6032,7874,6858,7343,7110,6240,14779,14007,8598,2644,16194
"KRT12",7,0,14,5,44,2,2,30,0,0,75,115,0,0,3
"KRT13",65,18,2992,34,4,43,31,48,17,27,62,69,28,164,34
"KRT14",10894,6784,696,27,342,1134,543,52990,96,5,16429,579603,503,2149,10882
"KRT15",1527,17939,12519,5373,16,1015,482,17793,5246,4849,48630,112415,4706,877,8433
"KRT16",10571,3122,12312,438,135,11236,7668,73737,41184,157,16986,51442,968,2474,12134
"KRT17",69174,6858,205590,860,51,63975,2361,63101,15516,649,35308,481509,402,26374,44893
"KRT18",34866,25737,84333,319754,1131,43597,17597,49057,48488,46786,56775,47012,88675,4722,48199
"KRT19",16854,16371,532787,914528,523,109408,169773,306034,63012,98351,248549,529744,228742,27195,241298
"KRT2",0,0,15,2,14,20,50,53,0,292,0,0,44,1,7
"KRT20",1,0,5,0,0,0,0,0,0,0,0,2,0,0,0
"KRT222",2,4,3,6,555,8,74,2,16,48,10,6,49,0,5
"KRT23",193,7414,285,2021,808,902,3678,62724,473,1174,16069,145713,178,634,15460
"KRT24",26,37,61,52,62,50,63,52,51,48,103,77,57,37,54
"KRT25",0,2,0,1,35,1,10,1,0,0,0,1,1,0,0
"KRT26",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"KRT27",6,0,0,3,113,0,9,0,7,0,15,2,0,0,0
"KRT28",0,0,2,0,0,0,0,2,0,0,0,0,1,4,0
"KRT3",20,0,8,0,0,0,28,93,0,0,1,0,5,11,6
"KRT31",0,19,0,2,0,9,0,0,0,0,297,1,0,621,0
"KRT32",0,0,34,219,0,26,0,1,52,6,54,68,0,0,69
"KRT33A",2,43,6,60,0,0,0,0,0,0,184,40,0,0,0
"KRT33B",0,0,1,2,0,0,43,0,0,2,0,22,1,0,0
"KRT34",1,0,6,0,0,0,0,0,1,0,0,2,0,1,0
"KRT35",0,0,0,2,0,0,1,1,1,0,1,2,1,6,2
"KRT36",2,0,43,11,8,25,1,2,1,94,4,22,81,15,6
"KRT37",0,0,1,84,0,0,0,0,0,0,0,0,11,0,0
"KRT38",30,0,4,0,1,0,0,4,56,0,0,9,0,1,0
"KRT39",1,22,42,46,1,1,0,1,0,5,26,2,27,0,22
"KRT4",28,26,351,8,25,28,15136,1189,10,22,56,123,37,306,128
"KRT40",0,2,60,587,4,0,20,1,1,0,387,106,5,8,2
"KRT5",36690,732,81805,27,75,3344,3707,24065,72950,228,4310,14492,80,16231,1141
"KRT6A",479,118,10790,8,1,27758,607,129768,1248,4,207,4096,941,3872,134
"KRT6B",24899,7904,42552,1,9,7355,96,19913,210737,304,6901,70424,9,1484,2102
"KRT6C",8,4,35,1,0,163,16,117,571,6,2,23,30,2,1
"KRT7",35538,23801,189412,26620,323,49245,70806,54910,112274,24603,142553,172509,125168,4089,101609
"KRT71",0,0,0,0,0,0,1,0,5,0,1,0,0,0,0
"KRT72",64,1,7,2,7,0,6,0,2,0,0,153,0,0,13
"KRT73",0,1,0,1,4,4,0,31,0,0,0,1,1,4,0
"KRT74",5,0,0,1,0,0,0,0,1,1,0,0,0,95,0
"KRT75",3,1,8,2,0,222,61,3,1,70,1,161,0,854,25
"KRT76",1,0,3,1,0,0,0,0,0,0,14,0,0,0,0
"KRT77",49,2,2,1,11,0,126,2,1,0,1,13,0,531,1
"KRT78",33,0,3,4,0,138,213,2,7,0,96,33,0,54,52
"KRT79",8713,0,7,5,241,92,253,1,0,25,1,19,0,169,0
"KRT8",40963,34227,139599,455824,656,31474,26274,105951,114420,49994,112226,110565,83296,4952,51119
"KRT80",868,1334,3961,7183,4,1844,1525,3702,3210,637,704,5891,3143,22,3116
"KRT81",922,2089,30000,1306,0,1031,35213,8637,61,111,4592,380045,140,252,13966
"KRT82",2,3,13,4,0,2,9,6,20,1,21,11,37,32,7
"KRT83",80,2,138,9,0,1,184,109,30,1,202,1815,19,0,128
"KRT84",0,0,1,0,0,1,0,1,1,0,0,0,5,0,0
"KRT85",2,1,1,1,0,2,1,0,1,5,2,15,1,651,1
"KRT86",962,370,1754,334,4,154,375,915,490,578,699,37401,965,115,469
"KRT9",6,0,9,1,0,26,11,71,8,0,166,714,30,0,32
"KRTAP1-1",0,0,1,2,0,0,0,0,0,0,30,19,0,0,12
"KRTAP1-3",0,1,0,2,0,0,0,1,0,0,31,7,0,1,0
"KRTAP1-4",1,0,0,4,0,1,0,0,1,0,1,0,0,0,0
"KRTAP1-5",0,1,8,5,0,0,1,2,0,0,0,3,1,0,0
"KRTAP10-1",0,0,0,0,0,0,0,0,0,4,0,0,0,24,0
"KRTAP10-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP10-11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"KRTAP10-12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"KRTAP10-2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP10-3",0,0,0,0,0,0,0,0,0,0,0,0,6,8,0
"KRTAP10-4",0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
"KRTAP10-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP10-6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KRTAP10-7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"KRTAP10-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP10-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP11-1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"KRTAP12-1",0,1,0,0,0,7,0,2,9,1,3,5,2,0,3
"KRTAP12-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP12-3",0,0,0,0,1,0,0,1,0,0,0,0,4,0,0
"KRTAP12-4",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"KRTAP13-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP13-2",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"KRTAP13-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP13-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP15-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP16-1",0,0,2,1,1,0,0,0,0,21,0,1,1,0,0
"KRTAP17-1",0,0,0,0,0,0,18,0,0,21,18,1,0,0,0
"KRTAP19-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-6",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP19-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP2-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP2-2",0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
"KRTAP2-3",0,0,1,0,0,29,1,1,1,1,3,21,0,0,1
"KRTAP2-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP20-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP20-2",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"KRTAP20-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP20-4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP21-1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRTAP21-2",0,0,0,0,0,64,0,75,0,0,0,0,0,0,0
"KRTAP21-3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"KRTAP22-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP22-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP23-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP24-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP25-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP26-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP27-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP29-1",0,1,9,0,0,1,0,0,1,21,0,1,0,0,0
"KRTAP3-1",0,0,4,9,0,0,0,68,0,0,0,1,1,29,2
"KRTAP3-2",0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"KRTAP3-3",0,0,1,25,0,0,0,0,0,1,0,2,0,0,0
"KRTAP4-1",0,3,0,0,0,0,0,1,0,0,0,1,0,1,0
"KRTAP4-11",0,0,0,0,0,1,0,0,0,0,0,6,0,0,0
"KRTAP4-12",0,0,2,0,0,1,0,0,0,0,0,2,0,0,0
"KRTAP4-2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"KRTAP4-3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KRTAP4-4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KRTAP4-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP4-6",0,0,0,1,0,0,0,1,0,0,1,2,0,1,0
"KRTAP4-7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP4-8",0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"KRTAP4-9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP5-1",5,5,4,13,0,2,0,0,6,0,1,16,0,0,0
"KRTAP5-10",7,6,8,7,0,0,13,0,10,14,71,59,14,0,22
"KRTAP5-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP5-2",1,0,0,0,2,4,3,5,8,4,5,5,6,10,4
"KRTAP5-3",0,0,0,0,0,1,0,0,0,0,1,0,0,0,5
"KRTAP5-4",0,1,0,0,0,1,0,0,0,0,1,0,0,2,2
"KRTAP5-5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP5-6",0,0,0,0,0,0,0,0,0,1,0,39,1,0,0
"KRTAP5-7",0,0,0,1,0,0,5,0,0,4,0,2,0,0,0
"KRTAP5-8",0,0,1,1,1,0,0,0,0,0,0,40,4,0,43
"KRTAP5-9",6,0,10,0,6,32,15,0,1,0,0,5,0,0,0
"KRTAP6-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP6-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP6-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP7-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP8-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP9-1",0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
"KRTAP9-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP9-3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KRTAP9-4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRTAP9-6",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"KRTAP9-7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"KRTAP9-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KRTAP9-9",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"KRTCAP2",5206,4145,9708,5974,2338,2792,3146,3357,8146,4349,5552,9260,3700,2293,11119
"KRTCAP3",17198,7371,20754,4166,54,2348,2590,10412,23483,9156,16275,17908,808,1428,25440
"KRTDAP",0,0,20,0,0,6,18,61,6,0,1028,17,0,1382,0
"KSR1",265,295,796,153,733,956,1253,807,4616,135,815,750,680,242,501
"KSR2",65,88,179,1,14,155,1,309,302,27,1077,1,35,1,473
"KTI12",1250,1280,2890,1466,1342,1445,1228,1234,3033,1220,1360,2028,1515,923,3518
"KTN1",11480,12377,16290,41190,15873,19509,19519,17405,22465,17795,17709,24758,18770,4393,59224
"KXD1",20870,5676,10983,7158,7325,8142,7227,8369,10305,5876,8409,14627,10486,3419,10923
"KY",1,0,0,5,37,17,1,11,0,1,1,70,15,384,3
"KYNU",413,915,1659,449,610,4261,5619,2395,5202,3836,692,1264,17528,2042,718
"L1CAM",1961,61,503,25,360,805,309,359,2728,275,44,187,205,2148,16
"L1TD1",10,26,24,2,98,90,119,54,12,0,37,24,117,407,53
"L2HGDH",1012,789,646,2120,723,419,851,856,1479,1464,3634,1965,675,129,2074
"L3HYPDH",519,856,1300,551,3693,1161,1352,709,2678,1739,479,818,923,617,1898
"L3MBTL1",4,57,208,184,302,234,397,45,38,133,1372,198,172,73,9
"L3MBTL2",2277,1984,2920,5305,4381,1903,3717,4508,6553,4758,4252,7383,5579,1677,5503
"L3MBTL3",675,423,190,198,385,490,391,303,448,391,1174,385,416,667,554
"L3MBTL4",4446,83,604,26,400,540,510,700,4670,1380,1613,4323,398,319,2374
"LACC1",589,1064,1844,1347,1068,1262,1085,884,794,889,299,1396,3202,128,1790
"LACRT",0,0,0,308,0,0,4,0,0,0,88,0,1,69,0
"LACTB",1535,2271,3481,2469,2678,6899,2493,3948,2193,4351,4427,2285,5158,2137,2664
"LACTB2",798,1427,1739,3491,2071,1319,1890,5661,2977,4071,3349,2188,2302,557,4899
"LACTBL1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"LAD1",19226,7450,10767,19360,270,9640,3667,8867,19246,7529,12524,30420,12047,4697,12880
"LAG3",376,615,584,835,182,334,124,844,226,1460,97,45,11514,258,601
"LAGE3",10313,8165,14752,9750,2585,9768,6922,4261,10232,17537,16610,17574,9250,11058,13180
"LAIR1",732,3509,8014,1937,12681,12327,7884,4897,388,3624,398,2644,18660,1113,4277
"LAIR2",24,55,43,16,202,110,9,57,0,38,4,648,97,52,64
"LALBA",0,1,0,0,0,0,0,0,230,0,0,2,0,0,79
"LAMA1",664,1574,360,57,234,786,238,520,2014,1,95,713,304,255,159
"LAMA2",366,83,341,7,4269,1183,2732,703,117,185,185,300,506,883,518
"LAMA3",180,148,1543,1437,913,4742,1168,3489,321,290,448,6361,333,2256,419
"LAMA4",1246,10432,6090,2486,38328,12294,48179,14770,6678,1505,4691,17114,7398,523,9547
"LAMA5",2414,2955,20985,2545,1837,7924,7095,11662,3930,2507,3568,9816,3672,1645,5100
"LAMB1",5891,7792,7768,3025,33399,10074,25557,15679,20241,1308,26415,22594,7596,2325,9168
"LAMB2",4076,3168,8593,32406,37491,16625,46318,37624,11202,7192,7596,36497,9801,162,18454
"LAMB3",12275,1489,16319,245,4111,27781,4236,15725,3712,842,3542,27795,1231,452,19865
"LAMB4",59,15,15,27,9,39,3,50,67,22,55,34,26,1494,42
"LAMC1",6434,7244,4740,1353,30357,10719,29861,28509,18089,2238,6755,30052,6546,1100,5177
"LAMC2",21845,1741,5754,7,416,34664,1363,67171,14871,1314,3278,52516,772,2260,2589
"LAMC3",0,115,205,16,42,2020,215,6206,321,586,54,1725,108,47,63
"LAMP1",21871,15923,11392,13989,12973,17834,15285,19080,36168,22523,13208,19255,16084,5089,22583
"LAMP2",29186,17131,50555,36359,18317,25983,33821,25983,114777,72810,26666,38989,55924,7205,61293
"LAMP3",2523,2749,3312,134,1688,966,1155,3469,3113,938,1592,1547,3539,583,2671
"LAMP5",87,319,260,87,132,45,828,1446,143,72,66,773,1109,3181,471
"LAMTOR1",5687,8952,16341,18763,11170,12690,10811,7858,9861,11424,12582,10761,12196,4825,9156
"LAMTOR2",16156,9458,21919,21882,7002,11872,8614,7167,16934,19090,13829,30545,12477,4069,20333
"LAMTOR3",9232,3766,5607,6827,4615,5795,3328,6087,11598,4782,5403,5266,6566,2866,5672
"LAMTOR4",22097,14412,32237,7874,12926,17666,12170,14680,13556,8869,25460,18098,12921,17204,28360
"LAMTOR5",13642,17943,32198,11637,11811,16286,10371,13218,32518,10971,38197,19976,13434,9263,38129
"LANCL1",8127,4069,3607,5301,8755,2290,7007,3267,8395,3353,7726,8888,4051,1104,11670
