"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"C3AR1",677,1648,5554,2188,2053,10350,834,4293,358,2582,272,693,7624,325,2356
"C3orf14",1555,3625,3716,21850,642,1338,2046,2995,5203,2031,5032,5697,2709,773,3787
"C3orf18",1279,188,1060,1217,1911,1489,861,563,277,1294,532,887,841,1,1030
"C3orf20",4,6,1,0,1,1,3,0,1,0,6,0,3,4,0
"C3orf22",0,0,1,0,0,0,0,0,0,0,0,0,0,9,0
"C3orf33",1141,699,812,1106,668,361,578,1245,1015,601,3594,1302,661,133,3504
"C3orf38",1905,2171,4217,5029,2913,2887,2242,2604,3512,2168,3293,3740,3046,961,5582
"C3orf49",0,5,3,2,10,16,16,4,3,9,20,1,5,0,12
"C3orf52",93,559,539,1239,216,365,149,493,552,218,370,1560,1481,255,610
"C3orf62",329,540,440,649,582,547,648,496,611,306,1133,684,458,920,729
"C3orf70",6,442,71,2618,365,140,1080,288,316,35,221,12541,139,7,302
"C3orf80",25,600,548,503,318,450,274,297,149,532,133,103,489,10,305
"C3orf84",0,0,0,0,0,0,15,0,0,0,0,0,1,0,0
"C4A",61,83,907,2441,1246,520,791,383,8012,16317,4,44,23605,242,667
"C4B",127,124,610,2760,1733,400,1549,331,7123,8101,4,41,4335,53,474
"C4BPA",148,0,1865,0,260,5429,17,428,6702,88521,9,255,59,254,7
"C4BPB",0,2,2449,0,130,45,27,27,159,15410,4,73,1624,3,28
"C4orf17",0,0,0,1,0,0,0,0,13,0,0,0,0,1,0
"C4orf19",128,2136,707,283,1972,632,1416,667,884,4133,871,820,1600,76,240
"C4orf3",37841,17438,20149,13905,26624,39177,27254,39290,38907,24800,27100,43209,31948,16751,36428
"C4orf33",1503,684,1166,1721,762,618,1066,739,2847,1049,387,763,1292,398,599
"C4orf36",686,270,592,612,609,479,547,287,563,687,386,201,659,554,317
"C4orf45",8,5,8,0,5,2,1,0,3,0,3,14,5,33,2
"C4orf46",5256,1163,1424,2263,1040,575,811,1400,3691,1413,1161,2312,1241,590,2411
"C4orf47",335,106,110,22,26,575,36,213,303,248,532,720,197,14,77
"C4orf48",848,3840,8757,1846,1584,6828,2715,5495,7014,1960,21509,4730,2530,4196,2707
