"GENE_SYMBOL","GSM3461245","GSM3461253"
"AKAP1",5.75112595999462,5.34297304755042
"AKAP10",5.88438607781621,5.61549091521224
"AKAP11",6.85901003116811,8.75726931837544
"AKAP12",8.25299872325438,8.60933271263425
"AKAP13",9.34737581074507,9.1258103420116
"AKAP2",4.61144401827251,4.96617845003771
"AKAP6",4.40122550818487,5.5568382822229
"AKAP7",7.03506903745634,7.50847151052225
"AKAP8",7.71660486089358,7.977451199659
"AKAP8L",8.6995885860908,7.71780107963525
"AKAP9",5.0483952334385,5.14064435133562
"AKIRIN1",9.10616534070367,8.17015836409736
"AKIRIN2",9.39103547207452,9.69836106845284
"AKNA",7.61832455618653,7.19741840180838
"AKR1A1",10.8803314720709,10.6110478111646
"AKR1B1",9.04454122060807,10.2223193376972
"AKR1C2",7.7579960247592,5.09270309558867
"AKR1C3",7.27198901716813,6.24405308976937
"AKR1C4",5.4414461252751,5.22100082548237
"AKR1D1",13.4159663862779,12.7850723413247
"AKR1E2",5.42554549988937,4.75861658743445
"AKR7A2",11.8092932669094,10.835592652264
"AKR7A3",9.27178901940123,8.51246982737668
"AKT1",11.2440004092645,11.128706950466
"AKT1S1",6.35882654448174,6.00933725672713
"AKT3",5.12774656083603,5.06299652480833
"AKTIP",8.97473492750859,8.40963281810349
"ALAD",7.09865493066265,8.51529164413297
"ALAS1",6.86725265619414,5.52027739653468
"ALB",6.29376422378599,5.67397101939969
"ALCAM",7.74409413460871,8.41425783507991
"ALDH16A1",8.06921757010002,7.18904765718892
"ALDH18A1",9.54829635414805,9.31865810571663
"ALDH1A1",8.22573143232099,8.17614845530299
"ALDH1A2",4.95578665892847,10.5065517117689
"ALDH1A3",13.3018348154847,11.2440004092645
"ALDH1B1",6.28862554595028,7.46762265946299
"ALDH1L2",6.073590045046,5.2091243549642
"ALDH2",5.94309347204088,5.9335703185474
"ALDH3A2",9.79037943430552,8.79651199905451
"ALDH3B1",9.0467432497979,6.79345673631105
"ALDH3B2",11.9106375776453,4.53828795741576
"ALDH4A1",8.21649589441164,6.01114469225834
"ALDH5A1",7.22232233729447,7.2920638032608
"ALDH6A1",9.00077183008944,7.17639018904865
"ALDH7A1",10.1746710032715,10.2870750859487
"ALDH8A1",5.24118604017254,5.42756842072793
"ALDH9A1",12.3677289070542,12.2072489371125
"ALDOA",12.5697915277833,12.5617213209186
"ALDOB",5.1232650569203,4.59822358124317
"ALDOC",8.3024978188533,11.5233883464269
"ALG1",5.22629256826152,5.38418633879584
"ALG10",5.10467769680391,4.82541262600266
"ALG10B",5.81221852704479,6.98225697488734
"ALG11",6.03779151361706,5.79349881038907
"ALG12",5.84536119393032,5.26253785871692
"ALG13",8.86987911275817,8.81760969736716
"ALG14",7.92449008230415,7.04297946587307
"ALG1L",4.53691336965548,4.52901999925698
"ALG2",4.72740141266586,4.62828280147583
"ALG3",9.6403365554977,9.26088070644688
"ALG5",7.57129727234566,8.49037088419249
"ALG6",8.72218524238214,7.72527585261722
"ALG8",8.8686319185353,9.26862473297811
"ALG9",8.45604969851904,8.70619148872808
"ALK",7.80762983947779,5.67850489563511
"ALKBH1",6.83637660488502,6.97004374113249
"ALKBH2",8.66600565231741,8.96416100092171
"ALKBH3",9.30484064626429,8.0793270607001
"ALKBH4",6.14490292631226,6.40366600428114
"ALKBH5",13.200566215091,12.280869125502
"ALKBH6",8.70945196862101,7.56396285463292
"ALKBH7",8.51501667915407,7.74125649338005
"ALKBH8",5.40195659076544,5.82605239671287
"ALMS1",5.61703163007305,5.73645180663172
"ALOX15B",5.69392916016888,4.87059816341544
"ALOX5",8.31128489420933,8.62387501382252
"ALOX5AP",9.05874635291365,11.6336016507501
"ALOXE3",4.8604140578731,4.69250523623511
"ALPK1",7.77979392766108,6.78802227523118
"ALPK2",4.73116642999803,6.63935563443201
"ALPL",8.69678013444037,5.98064037744094
"ALPP",11.0081526971459,10.234155254691
"ALS2",9.29106630823859,8.84150062908556
"ALS2CR11",5.30645251156772,4.35840429021264
"ALS2CR12",4.51741893494298,4.54476829479782
"ALX1",8.6691280919676,7.82402989386363
"AMACR",5.37770391006591,6.05553960195781
"AMBRA1",6.14816611291113,5.55781956298066
"AMD1",10.8380703305316,10.0656554003983
"AMDHD1",4.35949927020046,4.71100317114543
"AMDHD2",8.37367308730891,6.67255002127413
"AMFR",9.79627593685627,8.24655777007444
"AMICA1",7.95298206900514,4.6369837816827
"AMIGO1",5.3727684815366,5.04112985481898
"AMMECR1",7.67478327494066,8.51442043281003
"AMMECR1L",7.63495606811842,7.83365696406538
"AMN1",4.94155096545039,4.50793236508943
"AMOT",8.36194262971631,7.91084488314406
"AMOTL2",6.36810506064422,5.41757474597243
"AMPD3",5.22299349921542,4.590574443008
"AMPH",4.47780328914096,4.46179586103265
