"ABCA12",5.42813,0.0212327,0.031765,0.0056557,0.0282283,0.051997,0,0.00536451,0,0.00294887,0.00303665,0.0124508,0.0229017,0.0021828,0,0.0133792,0,0.00240574,0,0,0.00574214,0.0169003,0,0.559488
"ABCA13",0.135775,0.16627,0.00674357,0.00878021,0.0112883,0.040175,0.0382306,0.0173114,0.016257,0.0427212,0.410662,0.0352532,0.136535,0.758345,0.765973,0.0553944,0.10793,0.0199698,0.0558054,0.00481468,0.0116697,0.0617231,0.0661103,0.0264887
"ABCA2",6.11962,8.38882,15.7653,3.54642,23.5203,6.86069,11.7413,6.87941,7.2093,6.9201,45.6905,11.6462,7.0752,11.2564,5.46262,7.90251,11.6775,8.46267,10.8065,19.7691,9.11722,9.73296,10.2282,13.1335
"ABCA3",1.28788,0.826853,5.71283,1.81829,18.0376,0.260617,1.90645,1.49237,6.17796,6.20227,6.48293,0.870734,1.66391,1.44859,1.36125,6.72233,1.61224,8.8662,2.51783,3.9679,0.697844,3.07127,5.19323,14.5864
"ABCA4",0.271942,0.800159,0.00356839,0.209283,0.0389264,0.23842,0.0379381,0.114093,0.0560303,0.105789,0.0390216,0.0817315,0.127579,0.0149507,0.109527,0.066098,0.0861547,0.00300909,0.4266,0.138866,0.0901905,0.239228,0.0988773,0.133034
"ABCA5",4.08488,11.6312,14.6504,8.2703,13.7266,10.5826,4.73561,11.7428,4.72503,7.20312,10.1768,8.00409,3.48042,8.19226,1.91496,4.4213,20.2811,7.81994,3.06023,6.50115,3.94874,14.2924,5.56141,4.36098
"ABCA6",1.15229,0.447893,0.161868,0.204997,0.277263,0.471633,0.307143,1.41923,0.824496,0.22131,3.85932,0.906298,0.947854,1.1541,1.08584,13.8685,0.136091,0.28049,1.7243,2.98748,0.00977424,9.6119,0.958127,0.147384
"ABCA7",1.53006,14.0287,0.67821,1.75833,3.32662,2.06899,3.21675,3.80446,5.02093,1.70085,5.54051,3.17517,5.89661,3.476,0.889226,7.52902,7.02369,3.21324,22.8046,56.4388,2.05608,4.88286,4.4412,2.83082
"ABCA8",2.33408,0.201176,0.332052,0.135705,0.388161,4.09248,0.0104164,27.0164,0.182799,0.258842,22.2194,2.71524,3.22038,8.9873,1.03431,5.11545,1.66069,5.36645,1.99323,3.03254,0.327478,13.7981,1.08845,0.0755647
"ABCA9",0.451787,0.0917979,0.279107,0.200642,0.110786,0.2789,0.14227,0.911184,0.301926,0.180136,0.72375,0.638845,1.20792,0.580373,0.174431,2.05868,2.07664,0.0349214,0.803086,0.865933,0.0399006,2.53644,0.388271,0.112454
"ABCB1",0.802044,17.6916,0.287067,0.695933,0.53668,0.470456,3.71984,91.0664,1.95928,0.169821,2.58443,2.00243,1.86445,2.81582,0.503967,1.40336,1.65933,1.06126,2.4618,4.10038,1.11233,1.3999,0.709778,0.340922
"ABCB10",15.5894,13.1988,6.00343,4.50575,12.4953,3.06394,6.8653,9.07296,8.83843,9.34991,5.2341,3.2928,4.34959,4.86446,4.98987,3.68328,1.90897,5.64451,4.37992,5.87032,6.33325,5.20688,11.4051,8.8821
"ABCB11",0.004292405,0.01107315,0,0,0.004748685,0.003359365,0.00883845,0.0069595,0.0156986,0,0.00901325,0.0141902,0.004191895,0,0.003946225,0.04148125,0.004107565,0,0.0330388,0.078296,0.0238091,0.0083534,0.004607885,0.00212702
