"GENE_SYMBOL","GSM5133931--MGH27","GSM5133940--MGH98"
"APOL2",2419,2709
"APOL3",885,189
"APOL4",181,91
"APOL5",6,0
"APOL6",1697,1913
"APOLD1",2220,2224
"APOM",124,193
"APOO",1993,1769
"APOOL",1080,1188
"APP",71525,35476
"APPBP2",3440,4509
"APPL1",2988,4183
"APPL2",3870,5296
"APRT",11979,7664
"APTX",2173,1757
"AQP1",11849,2668
"AQP10",0,0
"AQP11",189,152
"AQP12A",0,0
"AQP12B",0,1
"AQP2",0,1
"AQP3",197,95
"AQP4",18,1
"AQP5",2,3
"AQP6",8,84
"AQP7",69,56
"AQP8",1,9
"AQP9",24,65
"AQR",2681,3691
"AR",14,62
"ARAF",3909,3505
"ARAP1",7160,5496
"ARAP2",91,489
"ARAP3",4835,2705
"ARC",51,31
"ARCN1",16951,13757
"AREG",10,38
"AREL1",2944,4198
"ARF1",37761,43422
"ARF3",15601,13516
"ARF4",24369,18043
"ARF5",9468,7786
"ARF6",5842,11105
"ARFGAP1",17984,5828
"ARFGAP2",5558,6341
"ARFGAP3",3840,3280
"ARFGEF1",2793,4301
"ARFGEF2",6359,9789
"ARFGEF3",11,176
"ARFIP1",2367,3873
"ARFIP2",4416,2754
"ARFRP1",4052,2493
"ARG1",7,8
"ARG2",50,347
"ARGFX",0,0
"ARGLU1",8364,6247
"ARHGAP1",7311,6881
"ARHGAP10",298,1198
"ARHGAP11A",484,1375
"ARHGAP12",2236,2533
"ARHGAP15",23183,479
"ARHGAP17",2737,3494
"ARHGAP18",2966,1049
"ARHGAP19",3213,293
"ARHGAP19-SLIT1",1,0
"ARHGAP20",10,328
"ARHGAP21",1265,3588
"ARHGAP22",69,68
"ARHGAP23",837,1171
"ARHGAP24",1841,966
"ARHGAP25",314,134
"ARHGAP26",2317,1017
"ARHGAP27",1544,260
"ARHGAP28",108,404
"ARHGAP29",984,389
"ARHGAP30",291,447
"ARHGAP31",7090,8201
"ARHGAP32",2170,1604
"ARHGAP33",1392,406
"ARHGAP35",3055,5059
"ARHGAP36",0,0
"ARHGAP39",1356,2061
"ARHGAP4",1058,408
"ARHGAP40",1,0
"ARHGAP42",2122,1509
"ARHGAP44",71,19
"ARHGAP5",9741,10411
"ARHGAP6",109,3179
"ARHGAP8",0,3
"ARHGAP9",234,151
"ARHGDIA",18284,12462
"ARHGDIB",14134,1809
"ARHGDIG",0,0
"ARHGEF1",8376,6547
"ARHGEF10",3114,2308
"ARHGEF10L",1750,5189
"ARHGEF11",6045,10030
"ARHGEF12",8778,12686
"ARHGEF15",1192,202
"ARHGEF16",7,12
"ARHGEF17",5286,1766
"ARHGEF18",272,374
"ARHGEF19",69,493
"ARHGEF2",8530,10963
"ARHGEF25",327,1201
"ARHGEF26",593,539
"ARHGEF28",66,236
"ARHGEF3",297,1494
"ARHGEF33",4,7
"ARHGEF35",878,65
"ARHGEF37",79,160
"ARHGEF38",23,15
"ARHGEF39",699,188
"ARHGEF4",4,24
"ARHGEF40",6518,14050
"ARHGEF5",2005,324
"ARHGEF6",341,1370
"ARHGEF7",4614,4110
"ARHGEF9",1142,1769
"ARID1A",3963,6229
"ARID1B",2312,3874
"ARID2",1732,2147
"ARID3A",632,584
"ARID3B",646,185
"ARID3C",35,3
"ARID4A",1960,1564
"ARID4B",1675,4476
"ARID5A",836,803
"ARID5B",10431,1802
"ARIH1",4151,6542
"ARIH2",7468,6680
"ARL1",8545,8436
"ARL10",341,2248
"ARL11",52,25
"ARL13A",5,3
"ARL13B",1166,765
"ARL14",0,0
"ARL14EP",2334,3144
"ARL14EPL",0,0
"ARL15",2220,897
"ARL16",2812,2177
"ARL17A",99,55
"ARL2",5022,3246
"ARL2-SNX15",2,0
"ARL2BP",342,948
"ARL3",640,684
"ARL4A",3112,262
"ARL4C",151,2265
"ARL4D",288,489
"ARL5A",2365,3070
"ARL5B",733,1022
"ARL5C",0,0
"ARL6",242,346
"ARL6IP1",7635,13190
"ARL6IP4",189,193
"ARL6IP5",16105,16630
"ARL6IP6",611,1506
"ARL8A",2942,3984
"ARL8B",6769,12008
"ARL9",5,23
"ARMC1",2374,4309
"ARMC10",5381,2812
"ARMC12",36,8
"ARMC2",96,114
"ARMC3",13,5
"ARMC4",1,1
"ARMC5",1131,736
"ARMC6",3568,2245
"ARMC7",980,1157
"ARMC8",2425,2784
"ARMC9",4539,8557
"ARMCX1",2065,6487
"ARMCX2",174,2051
"ARMCX3",2237,14302
"ARMCX4",77,2017
"ARMCX5",1177,1424
"ARMCX6",1207,2082
"ARMS2",0,0
"ARMT1",2835,1219
"ARNT",2628,5661
"ARNT2",4659,6323
"ARNTL",356,483
"ARNTL2",27,26
"ARPC1A",14980,11832
"ARPC1B",43345,12740
"ARPC2",19586,27755
"ARPC3",17555,18119
"ARPC4",7261,6430
"ARPC4-TTLL3",15,9
"ARPC5",8001,17616
"ARPC5L",3583,1507
"ARPIN",1930,2492
"ARPP19",9789,17829
"ARPP21",441,3
"ARR3",35,8
"ARRB1",2402,1933
"ARRB2",880,1153
"ARRDC1",3038,616
"ARRDC2",2732,1088
"ARRDC3",5804,11364
"ARRDC4",1820,10188
"ARRDC5",0,0
"ARSA",6193,3308
"ARSB",1320,2663
"ARSD",2112,3109
"ARSF",0,1
"ARSG",876,757
"ARSH",0,1
"ARSI",862,5512
"ARSJ",12,87
"ARSK",729,741
"ART1",0,0
"ART3",32,587
"ART4",1,10
"ART5",1,12
"ARTN",48,7
"ARV1",3022,4288
"ARVCF",2854,282
"ARX",0,77
"AS3MT",0,0
"ASAH1",48148,55985
"ASAH2",16,19
"ASAH2B",23,74
"ASAP1",6764,6405
"ASAP2",1181,2067
"ASAP3",243,394
"ASB1",2096,2718
"ASB10",0,1
"ASB11",916,464
"ASB12",0,1
"ASB13",741,1200
"ASB14",76,49
"ASB15",0,2
"ASB16",54,30
"ASB17",2,0
"ASB18",0,0
"ASB2",102,308
"ASB3",208,157
"ASB4",3,0
"ASB5",2,0
"ASB6",2291,1150
"ASB7",965,1286
"ASB8",1780,3833
"ASB9",2070,623
"ASCC1",1026,1360
"ASCC2",5220,4511
"ASCC3",1509,1770
"ASCL1",1,13
"ASCL2",12,17
"ASCL3",2,0
"ASCL4",0,0
"ASCL5",0,0
"ASF1A",762,1487
"ASF1B",936,1028
"ASGR1",19,12
"ASGR2",4,2
"ASH1L",2646,6253
"ASH2L",3876,7421
"ASIC1",75,315
"ASIC2",0,1
"ASIC3",619,53
"ASIC4",6,36
"ASIC5",0,0
"ASIP",9,13
"ASL",2283,1060
"ASMT",0,4
"ASMTL",2646,2002
"ASNS",3364,322
"ASNSD1",2944,4517
"ASPA",471,6060
"ASPDH",21,2
"ASPG",230,1
"ASPH",8007,13843
"ASPHD1",13,148
"ASPHD2",23,315
"ASPM",68,1140
"ASPN",457,3465
"ASPRV1",74,93
"ASPSCR1",4105,1550
"ASRGL1",67,717
"ASS1",423,127
"ASTE1",1283,925
"ASTL",14,0
"ASTN1",3,4
"ASTN2",595,427
"ASXL1",5269,5721
"ASXL2",2475,3420
"ASXL3",0,4
"ASZ1",0,0
"ATAD1",4910,170
"ATAD2",1558,1883
"ATAD2B",864,776
