"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"C10orf35",25,438,463,336,555,171,145,401
"C10orf53",0,0,0,2,1,0,0,0
"C10orf54",7396,2396,1414,1173,233,782,1019,1621
"C10orf55",15,2,7,1,1,3,19,3
"C10orf62",0,0,3,0,0,1,0,6
"C10orf67",0,21,2,33,14,7,1,19
"C10orf71",0,0,0,0,0,0,0,0
"C10orf76",1095,2659,1112,910,1503,1023,925,2718
"C10orf82",0,3,1,4,5,1,7,2
"C10orf88",79,579,105,215,403,302,401,767
"C10orf90",10,1444,694,2774,2407,842,394,3147
"C10orf99",0,0,0,0,0,0,2,0
"C11orf1",151,1118,1163,365,351,413,461,603
"C11orf16",0,4,1,66,3,3,1,6
"C11orf21",196,38,14,14,1,18,61,46
"C11orf24",2614,3146,13431,6676,4412,3012,6479,8830
"C11orf30",287,852,582,451,423,211,803,544
"C11orf31",1285,3512,4438,3776,4974,1947,5222,4847
"C11orf40",0,0,0,0,0,0,0,0
"C11orf42",0,3,0,2,3,2,4,9
"C11orf45",143,77,17,6,98,30,42,12
"C11orf49",731,1123,1493,1427,2215,1197,1286,1846
"C11orf52",0,6,0,3,0,0,1,0
"C11orf53",2,0,0,5,0,0,1,0
"C11orf54",122,975,348,263,191,191,451,588
"C11orf57",250,1582,633,531,429,632,1720,1440
"C11orf58",652,6095,1433,2453,2882,2076,6015,7627
"C11orf63",86,410,224,24,141,28,411,235
"C11orf65",0,57,26,4,12,5,24,23
"C11orf68",2788,2385,3161,2391,3336,1238,2760,4895
"C11orf70",3,58,8,41,1,4,6,32
"C11orf71",106,474,606,255,138,125,401,488
"C11orf73",524,852,3623,1059,1651,779,1432,938
"C11orf74",50,838,309,172,707,414,393,1107
"C11orf80",528,323,576,414,903,913,383,1341
"C11orf84",613,1066,2985,1537,2783,1508,1749,2006
"C11orf85",1,13,2,39,2,27,6,4
"C11orf86",0,0,0,0,1,3,1,0
"C11orf87",0,2,1,0,0,0,0,1
"C11orf88",3,0,0,37,1,0,2,2
"C11orf91",0,13,3,13,3,3,10,5
"C11orf94",1,4,0,3,6,8,3,7
"C11orf95",466,1041,681,885,718,954,1505,1587
"C11orf96",408,1264,3083,2981,4029,3312,2342,3305
"C11orf98",130,105,155,246,271,213,269,184
"C12orf10",1644,2058,4189,2486,1975,1595,3376,3378
"C12orf29",48,729,166,128,355,541,943,793
"C12orf4",143,1389,119,178,532,372,833,1041
"C12orf40",0,1,0,0,0,0,1,1
"C12orf42",10,8,0,1,6,1,3,16
"C12orf43",386,1505,1021,695,1747,454,928,920
"C12orf45",192,468,323,194,1016,608,1101,586
"C12orf49",1829,4367,3895,4493,4579,2405,3274,6080
"C12orf50",0,2,1,0,3,4,1,3
"C12orf54",2,0,0,0,0,0,1,0
"C12orf56",0,6,2,35,0,108,0,3
"C12orf57",2683,4008,4858,2974,4369,1350,7511,2756
"C12orf60",8,213,127,31,126,42,62,95
"C12orf65",274,2174,680,320,1511,1276,1737,2173
"C12orf66",63,1535,374,163,533,292,551,653
"C12orf71",0,7,0,0,2,1,5,5
"C12orf73",76,410,268,170,482,486,527,561
"C12orf74",0,0,0,3,0,0,0,3
"C12orf75",356,623,164,84,591,91,231,241
"C12orf76",146,1953,413,1562,958,842,2774,3057
"C12orf79",6,24,10,6,16,7,31,25
"C14orf1",802,4769,3596,2911,2407,1572,1900,5181
"C14orf105",2,1,1,0,0,0,1,0
"C14orf119",1320,3428,2581,3076,3843,2663,3005,3812
"C14orf142",63,610,126,365,195,525,446,1101
"C14orf159",1620,1287,1062,745,213,506,1415,1343
"C14orf166",1829,5396,3600,7708,7509,5364,8806,6780
"C14orf169",522,1152,1001,1469,991,1809,1918,1388
"C14orf177",0,0,0,0,0,0,0,0
"C14orf178",0,1,1,5,0,0,3,3
"C14orf180",0,0,0,3,0,0,0,1
"C14orf2",1133,3063,5359,6048,3965,3561,5969,3712
"C14orf28",73,225,70,91,116,140,245,245
"C14orf37",113,52,124,247,335,64,390,528
"C14orf39",0,12,0,2,54,19,1,106
"C14orf79",85,896,542,1030,741,598,701,1081
"C14orf80",462,431,944,1275,1002,1382,1978,1552
"C14orf93",300,1080,506,1013,472,391,924,792
"C15orf26",0,8,25,68,5,4,33,3
"C15orf27",75,28,26,376,59,9,90,43
"C15orf38-AP3S2",13,39,15,19,21,4,4,10
"C15orf39",4161,4791,9981,11260,4287,2321,4657,7252
"C15orf40",183,1949,685,1153,1338,351,691,1194
"C15orf41",59,1078,162,152,280,227,283,608
"C15orf43",0,0,0,0,0,0,0,1
"C15orf48",229,57,445,112,26,593,103,93
"C15orf52",220,2631,555,529,530,225,3342,2699
"C15orf53",0,0,0,0,0,0,2,1
"C15orf57",363,1069,591,222,245,203,697,942
"C15orf59",81,8,24,74,2158,5,118,9
"C15orf61",138,388,422,801,1239,230,526,544
"C15orf62",54,40,3,12,12,8,84,51
"C15orf65",29,68,28,13,101,41,14,150
"C16orf13",1483,1228,3065,2660,3815,2861,2026,3026
"C16orf45",248,482,105,60,226,276,112,824
"C16orf46",19,116,72,27,28,11,54,66
"C16orf52",93,2017,152,198,426,727,794,1378
"C16orf54",957,193,27,66,8,140,149,282
"C16orf58",1459,4730,5695,4517,2441,644,2251,3175
"C16orf59",83,174,831,666,1126,522,945,533
"C16orf62",2134,3862,2494,2184,2910,2087,2944,3737
"C16orf70",850,1869,1148,732,768,371,825,2045
"C16orf71",44,92,45,127,45,16,23,42
"C16orf72",642,4015,738,1093,1578,1210,1531,3080
"C16orf74",101,10,359,200,115,67,406,31
"C16orf78",0,0,1,0,0,1,0,0
"C16orf86",154,190,337,114,189,152,69,231
"C16orf87",91,493,74,120,134,166,488,753
"C16orf89",1,22,27,1088,106,41,63,21
"C16orf90",2,0,0,6,2,0,0,0
"C16orf91",163,620,474,351,720,391,616,1143
"C16orf92",0,0,0,0,0,0,0,0
"C16orf93",37,40,69,56,72,24,47,84
"C16orf95",40,146,207,77,65,40,213,138
"C16orf96",29,42,20,189,191,19,56,12
"C17orf100",43,136,55,99,174,63,240,123
"C17orf104",1,38,7,65,86,4,24,26
"C17orf105",0,13,2,9,2,0,2,7
"C17orf107",261,166,366,346,29,12,38,88
"C17orf47",0,4,0,0,0,0,12,1
"C17orf49",105,12,44,73,44,39,164,64
"C17orf50",0,0,1,2,3,0,0,0
"C17orf51",205,902,647,182,1070,99,717,180
"C17orf53",95,216,740,603,899,283,404,410
"C17orf58",90,1451,344,302,672,301,918,1603
"C17orf59",956,371,586,510,883,639,711,588
"C17orf62",6038,5907,3859,2836,3127,2225,3970,6571
"C17orf64",6,7,0,2,1,5,1,7
"C17orf67",25,79,112,53,71,31,106,169
"C17orf74",0,0,0,4,0,1,0,0
"C17orf75",34,2447,238,44,317,530,1521,809
"C17orf78",0,5,0,0,1,0,3,2
"C17orf80",157,3488,270,325,977,689,1413,2796
"C17orf85",569,2472,572,1247,2744,854,3542,1355
"C17orf89",290,1645,1863,714,2729,1217,1604,2204
"C17orf96",185,109,663,643,250,315,846,123
"C17orf97",69,99,121,265,353,308,153,55
"C17orf98",2,4,0,0,2,1,1,0
"C17orf99",0,0,0,0,0,7,2,4
"C18orf21",155,737,132,360,351,554,995,818
"C18orf25",196,2687,264,508,743,558,1383,3265
"C18orf32",53,786,77,96,161,215,334,461
"C18orf42",0,2,0,0,1,0,2,0
"C18orf54",22,230,17,21,139,139,321,479
"C18orf63",0,0,0,0,0,0,0,0
"C18orf8",694,2192,1023,653,1078,955,1255,1513
"C19orf12",561,4970,1749,979,3575,1422,2122,6188
"C19orf18",4,7,2,11,15,6,7,18
"C19orf24",2629,2570,5664,2711,6785,2629,3908,3705
"C19orf25",1196,1632,3072,899,2263,969,2275,1696
"C19orf33",7,6,5,109,11,1,4,2
"C19orf35",88,21,212,12,3,11,34,29
"C19orf38",650,64,119,143,73,102,65,65
"C19orf43",4140,3833,5616,6042,9601,8207,6094,7490
"C19orf44",183,694,418,551,561,322,510,634
"C19orf45",2,2,15,67,9,2,2,13
"C19orf47",855,1078,1926,944,2625,776,850,1159
"C19orf48",1200,1112,7585,6479,4792,2826,5757,3192
"C19orf52",328,952,853,612,1304,571,1043,955
"C19orf53",3058,4215,6786,2998,10187,6317,5631,5868
"C19orf54",988,1585,1492,1059,1014,905,1450,1344
"C19orf57",30,927,199,216,351,722,697,322
"C19orf60",1350,1220,1614,2034,3835,1698,1987,2467
"C19orf66",1379,2392,2490,1010,1909,980,1884,2448
"C19orf67",0,4,0,0,1,4,6,4
"C19orf68",423,896,625,617,837,769,704,921
"C19orf70",1851,1322,3942,2957,5625,2664,2664,3156
"C19orf71",34,646,277,448,309,186,466,1335
"C19orf73",12,33,37,45,86,31,47,57
"C19orf80",0,3,7,2,6,5,5,0
"C19orf81",3,2,16,34,111,72,1,0
"C19orf84",108,4,4,0,1,5,8,1
"C1D",113,1217,234,219,266,235,815,740
"C1GALT1",153,4613,252,845,1016,1260,3097,1842
"C1GALT1C1",280,1825,608,459,640,799,1016,1451
"C1orf100",0,55,1,5,7,9,7,14
"C1orf101",7,111,20,59,152,24,15,126
"C1orf105",0,0,0,0,2,0,0,1
"C1orf106",23,7,1,173,0,1,8,15
"C1orf109",76,3306,376,295,789,319,1003,1285
"C1orf110",0,5,0,35,1,0,1,0
"C1orf111",0,2,0,0,0,0,0,15
"C1orf112",49,933,298,609,630,104,1000,677
"C1orf115",377,3494,37,144,1833,40,314,2058
"C1orf116",2,34,7,2743,1,41,50,16
"C1orf122",1327,3197,5581,2596,3413,866,2242,2812
"C1orf123",949,2997,1445,1241,2209,826,2488,2592
"C1orf127",257,35,11,198,13,8,39,9
"C1orf131",62,732,65,138,289,353,813,739
"C1orf141",0,0,1,0,0,0,0,0
"C1orf145",13,38,0,49,17,3,24,16
"C1orf146",0,1,0,2,0,0,5,5
"C1orf158",1,0,0,51,0,0,0,0
"C1orf159",234,672,877,747,1988,469,1020,857
"C1orf162",5029,462,564,272,39,361,460,417
"C1orf167",34,0,5,1,1,1,1,3
"C1orf168",0,2,0,4,0,1,0,2
"C1orf174",228,1897,430,459,1618,492,1124,1078
"C1orf177",2,10,0,0,0,0,0,0
"C1orf185",0,0,0,0,0,1,0,0
"C1orf186",67,15,0,7,1,17,6,39
"C1orf189",0,4,2,50,4,3,4,8
"C1orf194",1,8,0,202,1,1,6,6
"C1orf198",1492,5753,1993,3704,7105,1811,1938,3179
"C1orf204",9,122,31,78,111,59,91,147
"C1orf21",656,12545,946,3742,2512,2837,4998,6049
"C1orf210",3,1,0,66,0,1,0,1
"C1orf216",804,9315,4217,2469,3326,1340,2433,8026
"C1orf226",220,308,194,265,250,174,256,2242
"C1orf228",57,73,19,48,21,57,55,293
"C1orf233",878,548,7780,6796,16559,1489,3840,560
"C1orf234",0,6,1,3,2,1,1,10
"C1orf27",84,2139,136,371,590,547,1835,1506
"C1orf35",338,1859,818,664,1788,610,1503,1750
"C1orf43",3528,32118,18373,18387,15083,8733,15747,19919
"C1orf50",201,628,191,259,367,165,334,702
"C1orf52",89,1751,145,223,242,380,867,1330
"C1orf53",17,199,62,224,118,45,247,162
"C1orf54",278,320,200,237,276,412,396,379
"C1orf56",198,1128,955,554,942,400,343,403
"C1orf61",5,6,2,9,4,112,6,3
"C1orf64",0,1,1,0,3,0,0,0
"C1orf68",0,0,0,0,0,0,0,0
"C1orf74",56,855,266,531,282,126,214,564
"C1orf87",0,0,0,105,0,0,0,0
"C1orf94",5,0,0,0,0,0,2,1
"C1orf95",205,25,2,132,194,85,35,65
"C1QA",64821,9223,3133,2778,628,5803,7882,4123
"C1QB",50461,11548,4322,2692,529,6787,7830,3461
"C1QBP",1070,2484,5550,3546,8088,3257,8258,2958
"C1QC",43563,10082,3432,2463,580,5171,7619,4001
"C1QL1",25,119,562,369,454,22,59,25
"C1QL2",0,0,1,9,1,0,2,0
"C1QL3",2,5,1,12,4,2,23,80
"C1QL4",2,35,529,69,75,0,13,27
"C1QTNF1",1882,7321,11895,448,1082,359,904,16615
"C1QTNF2",79,16,46,39,77,11,32,94
"C1QTNF3",48,38,5,14,45,753,551,84
"C1QTNF3-AMACR",0,3,0,0,0,0,8,3
"C1QTNF4",12,4,6,5,49,27,34,25
"C1QTNF5",0,0,0,0,0,0,0,0
"C1QTNF6",11533,1316,3122,4390,678,522,6014,1185
"C1QTNF7",84,0,1,6,0,2,193,7
"C1QTNF8",0,0,0,0,0,0,0,1
"C1QTNF9",2,1,0,0,0,1,5,1
"C1QTNF9B",0,8,2,3,2,3,4,4
"C1QTNF9B-AS1",8,35,49,95,54,45,37,29
"C1R",34195,6632,6569,2519,289,6711,7455,4106
"C1RL",1489,606,557,322,37,792,1219,1329
"C1S",38300,5888,2202,1520,162,6313,11865,4472
"C2",9658,1282,749,1041,375,4526,1310,478
"C20orf141",2,1,0,1,2,10,0,0
"C20orf144",1,28,33,39,13,10,30,25
"C20orf173",0,0,0,0,0,0,0,0
"C20orf194",676,3466,877,1197,857,441,1202,1652
"C20orf195",11,7,30,99,3,6,6,13
"C20orf196",150,204,293,145,220,168,250,351
"C20orf202",8,1,15,6,4,3,4,9
"C20orf24",520,1237,1820,853,1294,843,920,1281
"C20orf27",2728,3750,6535,4705,4033,1857,3319,3477
"C20orf62",0,0,0,0,0,0,0,0
"C20orf85",0,0,0,598,0,0,0,0
"C20orf96",251,363,308,365,549,187,534,429
"C21orf140",0,0,0,0,0,0,0,0
"C21orf2",1318,1907,1517,1220,2535,551,3587,1473
"C21orf33",95,38,11,90,195,210,16,20
"C21orf58",65,367,318,496,292,125,1285,242
"C21orf59",207,2020,638,541,1909,1309,1228,1450
"C21orf62",1,37,2,0,5,0,2,6
"C21orf62-AS1",13,193,6,21,25,4,19,55
"C21orf91",139,4965,869,47,7425,406,556,6610
"C22orf15",0,2,2,69,3,4,4,1
"C22orf23",27,196,37,183,110,112,191,188
"C22orf29",450,1916,1124,2605,1459,435,2146,1541
"C22orf31",0,0,0,0,0,0,0,0
"C22orf39",455,2464,777,1391,1237,520,1387,1409
"C22orf42",1,17,1,0,6,0,0,4
"C22orf46",595,3286,1233,4393,2292,979,1707,1942
"C2CD2",292,11600,629,131,1040,451,196,1326
"C2CD2L",847,1264,3976,1018,552,726,862,1093
"C2CD3",684,1862,2209,1031,1638,584,980,1669
"C2CD4A",1,0,2,5,2,0,0,4
"C2CD4B",36,4,37,26,9,6,10,7
"C2CD4C",13,5,12,437,295,416,11,17
"C2CD4D",8,541,112,333,157,80,188,124
"C2CD5",342,2622,251,432,893,692,1777,2087
"C2orf15",2,52,19,8,21,83,21,42
"C2orf16",27,98,56,19,19,25,131,80
"C2orf40",1,7,2,122,0,0,8,9
"C2orf42",291,1795,591,382,644,213,504,769
"C2orf44",114,2501,409,421,838,356,679,882
"C2orf47",140,989,556,356,663,343,894,707
"C2orf49",116,1454,201,188,593,398,699,1076
"C2orf50",1,4,5,42,4,7,0,9
"C2orf54",0,0,0,173,0,1,0,0
"C2orf57",0,0,0,1,0,0,0,0
"C2orf61",0,14,0,0,1,0,1,0
"C2orf66",0,18,0,0,4,2,35,21
"C2orf68",920,2462,1889,1347,1218,604,1710,2124
"C2orf69",57,2097,123,131,541,361,736,1466
"C2orf70",0,334,367,9,580,106,256,21
"C2orf71",0,4,0,14,3,28,5,6
"C2orf72",2,70,402,6,108,86,5,497
"C2orf73",1,23,2,7,9,0,4,10
"C2orf74",8,298,40,74,180,94,104,262
"C2orf76",47,794,262,218,543,246,588,408
"C2orf78",0,0,0,0,0,0,0,0
"C2orf80",0,0,2,0,3,3,1,3
"C2orf81",334,1187,257,229,405,750,120,612
"C2orf82",13,158,11,17,23,24,124,105
"C2orf83",0,0,1,1,2,0,0,0
"C2orf88",56,3122,81,263,498,411,554,299
"C2orf91",3,1,0,0,1,0,0,0
"C3",38740,9081,1611,10821,151,1421,11411,10295
"C3AR1",3236,945,805,196,23,333,596,410
"C3orf14",98,1487,693,707,993,393,1143,906
"C3orf17",412,4178,584,1690,1307,1008,5421,3747
"C3orf18",209,1159,1645,50,53,441,207,563
"C3orf20",7,14,5,35,1,12,6,14
"C3orf22",0,0,0,0,0,0,2,0
"C3orf30",0,0,1,0,0,6,0,5
"C3orf33",19,381,78,25,132,163,235,141
"C3orf36",17,9,10,10,10,2,15,16
"C3orf38",240,1398,407,410,639,444,1138,1388
"C3orf49",0,10,0,1,2,7,10,6
"C3orf52",8,229,284,57,195,35,71,214
"C3orf58",200,756,140,159,447,228,258,1507
"C3orf62",309,995,296,265,532,509,453,775
"C3orf67",6,1103,108,80,279,730,163,445
"C3orf70",65,605,154,285,220,155,54,58
"C3orf80",58,12,44,7,17,6,162,27
"C3orf84",8,0,0,1,0,0,0,0
"C4A",529,80,7,407,18,37,72,176
"C4B",515,27,20,393,15,12,53,94
"C4BPA",0,1,0,87,1,44,4,21
"C4BPB",0,0,2,1,0,3,4,2
"C4orf17",0,0,0,0,0,0,1,0
"C4orf19",0,259,3,222,83,4,773,92
"C4orf22",2,0,0,7,0,0,0,3
"C4orf26",0,0,1,0,0,0,1,2
"C4orf27",118,1171,282,215,369,434,1369,1376
"C4orf29",53,620,74,63,66,80,385,462
"C4orf3",2785,13508,7071,4516,3668,1239,6639,9384
"C4orf32",68,179,27,37,108,310,163,728
"C4orf33",27,651,60,74,143,164,464,578
"C4orf36",29,354,56,47,97,51,88,100
"C4orf45",0,4,0,0,0,1,2,0
"C4orf46",86,867,166,179,360,205,1173,1074
"C4orf47",5,145,14,23,9,14,15,134
"C4orf48",208,268,423,687,2440,728,690,780
"C4orf50",8,4,1,1,6,1,1,2
"C4orf51",0,0,0,0,0,0,0,2
"C5",17,444,19,232,51,67,380,147
"C5AR1",2422,475,791,191,31,162,178,240
"C5AR2",180,35,47,22,5,26,32,24
"C5orf15",685,7954,923,1734,2091,1336,4192,5243
"C5orf22",218,4902,806,3680,1615,840,3628,2848
"C5orf24",137,4961,257,933,1651,1097,3489,6664
"C5orf28",34,724,115,191,204,273,441,754
"C5orf30",66,917,236,598,789,473,1515,3037
"C5orf34",12,221,81,118,155,337,398,265
"C5orf38",124,1,0,83,398,10,42,5
"C5orf42",47,1879,93,184,361,158,921,737
"C5orf45",117,1387,140,802,615,85,1045,801
"C5orf46",7,3,35,11,7,1,5,2
"C5orf47",2,4,0,1,1,5,1,2
"C5orf49",6,9,0,176,21,16,3,48
"C5orf51",406,4296,582,1899,2338,1813,2201,2737
"C5orf52",0,0,0,1,0,0,0,0
"C5orf56",155,322,13,38,30,106,348,221
"C5orf63",21,301,40,163,76,13,135,301
"C6",1,5,0,82,1,0,3,6
"C6orf1",1231,2348,3471,6300,6497,3166,3946,2157
"C6orf10",3,2,0,0,17,20,0,0
"C6orf106",6308,12142,9602,15571,20613,11364,8079,10302
"C6orf118",0,0,4,20,0,1,0,0
"C6orf120",258,2449,422,240,510,356,1024,1290
"C6orf132",240,9,55,311,11,20,36,19
"C6orf136",326,863,1202,1056,2964,1052,1600,1209
"C6orf141",3,0,0,2,0,17,8,1
"C6orf15",0,0,0,0,0,0,1,0
"C6orf163",0,24,1,1,12,19,21,37
"C6orf165",0,11,1,4,5,0,14,25
"C6orf201",0,8,0,2,7,0,10,7
"C6orf203",133,658,223,231,555,427,1204,849
"C6orf222",0,0,0,3,0,7,3,1
"C6orf223",2,7,19,65,181,8,1,6
"C6orf226",203,179,292,763,967,196,487,574
"C6orf229",0,0,0,0,0,0,2,0
"C6orf25",19,5,1,3,6,0,3,9
"C6orf47",1312,1688,1766,3114,3219,2256,3621,2715
"C6orf48",2389,3320,5960,31508,5903,6317,13135,8418
"C6orf52",3,79,26,198,113,30,104,84
"C6orf58",1,14,2,7,0,2,14,8
"C6orf62",1679,12919,1261,3875,6732,6378,22333,18127
"C6orf89",2971,12425,6343,8224,7558,3918,4264,6182
"C7",108,335,15,330,20,10,52,1561
"C7orf25",3,110,3,29,52,25,55,32
"C7orf26",1340,3103,2895,3274,2338,1013,3919,1826
"C7orf31",251,788,307,1123,834,298,774,313
"C7orf33",0,1,0,0,0,0,2,0
"C7orf34",2,0,2,4,2,0,1,0
"C7orf43",705,1947,2632,1817,1909,854,2008,668
"C7orf49",1036,3708,2538,3319,1968,986,3984,1901
"C7orf50",2924,3253,8804,13625,5934,3091,7389,3837
"C7orf55",165,672,1303,997,872,247,1650,725
"C7orf55-LUC7L2",478,3248,798,2326,1747,1230,5697,2283
"C7orf57",0,13,9,20,8,16,8,22
"C7orf60",69,2022,144,143,194,295,780,939
"C7orf61",3,24,10,11,14,11,12,14
"C7orf62",0,0,0,0,0,0,0,0
"C7orf72",0,0,0,0,0,0,0,2
"C7orf73",1258,5307,2978,3075,2274,2015,5469,3073
"C8A",0,0,0,0,0,0,0,0
"C8B",4,0,0,0,0,0,0,0
"C8G",5,83,7,40,44,40,116,37
"C8orf22",0,0,0,0,1,0,0,0
"C8orf33",855,4917,2607,3747,3169,3056,5839,5984
"C8orf34",0,1,2,20,1,1,3,2
"C8orf37",10,206,17,49,80,152,219,291
"C8orf4",52,114,68,183,61,86,129,172
"C8orf44",14,131,71,74,133,91,194,223
"C8orf44-SGK3",0,10,1,2,2,1,3,8
"C8orf46",5,423,11,369,231,400,2100,374
"C8orf48",14,352,5,103,105,115,68,73
"C8orf58",369,1278,1789,775,601,489,1065,1005
"C8orf59",144,829,688,453,676,1256,1193,1255
"C8orf74",0,0,1,0,1,0,0,0
"C8orf76",51,250,137,144,229,395,599,420
"C8orf82",802,543,1916,1190,625,1131,2293,2643
"C8orf86",0,3,0,0,0,0,0,0
"C8orf88",10,205,61,49,66,55,33,210
"C8orf89",0,1,1,0,0,0,5,4
"C9",0,1,0,1,1,0,0,3
"C9orf114",1247,3075,2708,2710,2382,1331,4125,3106
"C9orf116",50,28,204,136,151,220,86,97
"C9orf117",54,107,37,156,86,108,133,150
"C9orf129",0,0,0,1,0,0,0,0
"C9orf131",0,0,0,0,0,0,0,0
"C9orf135",0,0,0,38,0,0,0,0
"C9orf142",1390,1062,3020,1688,2995,1509,2661,1749
"C9orf152",0,1,0,69,4,2,4,6
"C9orf153",0,2,2,0,1,2,5,4
"C9orf156",195,923,192,418,549,266,973,793
"C9orf16",4084,2044,3932,3462,3927,1525,3330,2664
"C9orf171",1,1,4,122,7,1,5,0
"C9orf172",152,508,233,332,705,114,455,565
"C9orf173",0,13,0,10,4,3,39,6
"C9orf24",9,19,4,302,0,1,4,8
"C9orf3",224,630,607,722,784,320,1007,390
"C9orf40",63,293,274,205,423,183,760,583
"C9orf43",10,37,19,29,87,22,41,69
"C9orf47",0,1,1,1,2,1,4,5
"C9orf50",4,12,4,32,1,12,59,12
"C9orf57",0,0,0,0,0,0,0,0
"C9orf64",243,1800,447,404,719,315,893,1138
"C9orf66",29,38,2,16,11,5,27,15
"C9orf69",1727,3639,5862,3742,2775,2556,4276,6670
"C9orf72",73,1034,31,104,107,181,385,385
"C9orf78",1233,4659,1609,1741,3568,1998,3431,3804
"C9orf84",0,13,0,2,2,17,22,16
"C9orf85",73,778,177,342,390,279,846,817
"C9orf89",855,1150,2241,458,1857,1565,2265,4183
"C9orf9",198,960,909,927,666,73,490,724
"C9orf91",903,4254,4598,2783,4154,2555,5353,3318
"C9orf92",0,0,1,1,3,1,5,3
"CA1",0,0,0,0,0,0,0,0
"CA10",3,0,0,0,0,0,0,3
"CA11",321,444,1385,540,89,619,176,1029
"CA12",785,101,854,24,13,2180,114,2972
"CA13",20,63,32,19,20,13,80,75
"CA14",63,6445,1314,13151,820,3915,14782,322
"CA2",355,46,98,22,71,43,426,86
"CA3",3,2,0,0,1,2,14,9
"CA4",6,4,8,301,11,1,11,0
"CA5A",2,0,0,0,4,2,0,2
"CA5B",88,685,197,446,84,123,1865,2322
"CA6",0,0,0,1,11,44,1,6
"CA7",1,14,8,0,2,0,0,3
"CA8",1,2152,719,244,827,737,8,2543
"CA9",29,3,81,34,26,28,0,210
"CAAP1",75,792,87,211,292,167,671,1475
"CAB39",989,9368,500,1091,1921,1812,2106,4664
"CAB39L",63,1098,121,61,481,398,638,899
"CABIN1",4001,9380,6939,13382,7407,1674,7249,5931
"CABLES1",987,26543,5613,14825,9256,3626,9045,20022
"CABLES2",448,796,1550,1420,785,401,1223,415
"CABP1",8,0,190,5,30,6,16,10
"CABP2",0,0,0,0,0,0,0,0
"CABP4",26,16,6,3,1,41,13,22
"CABP5",0,0,0,0,1,0,0,0
"CABP7",4,17,13,3,22,2,11,6
"CABS1",0,0,0,0,0,0,0,0
"CABYR",28,325,11,143,60,110,50,229
"CACFD1",889,1111,1742,2666,3205,982,2501,1972
"CACHD1",106,1306,1270,246,132,39,536,506
"CACNA1A",123,34,137,11,7,933,277,148
"CACNA1B",8,14,4,38,37,1,0,2
"CACNA1C",713,49,120,51,67,19,312,99
"CACNA1D",8,790,310,314,76,10,603,10
"CACNA1E",108,8,13,4,11,13,50,10
"CACNA1F",28,107,30,7,2,34,10,42
"CACNA1G",50,5,22,7,3,2,80,6
"CACNA1H",599,26,772,462,5888,22,102,89
"CACNA1I",15,3,1,3,4,4,3,64
"CACNA1S",1,2,2,2,2,0,0,3
"CACNA2D1",53,1361,8,340,89,16,1125,135
"CACNA2D2",35,31,31,486,622,207,58,28
"CACNA2D3",35,6,13,1,0,3,17,27
"CACNA2D4",319,78,66,38,96,69,85,137
"CACNB1",157,663,248,166,340,118,318,456
"CACNB2",3,17,8,10,19,7,234,41
"CACNB3",649,356,1248,1061,757,665,950,1257
"CACNB4",28,26,3,1,11,2,36,29
"CACNG1",0,1,0,0,0,1,0,1
"CACNG2",1,1,0,0,0,0,0,1
"CACNG3",0,0,0,0,0,4,0,1
"CACNG4",3,0,1,140,12,6,5,0
"CACNG5",0,2,6,0,2,0,0,0
"CACNG6",2,1,0,189,0,1,0,0
"CACNG7",0,0,50,0,2,1,0,0
"CACNG8",11,5,15,1,27,11,24,6
"CACTIN",791,1499,1373,1566,1617,732,1885,1617
"CACUL1",521,4794,433,742,1809,1415,1295,5131
"CACYBP",449,5844,1357,2945,4173,2095,5690,5597
"CAD",3043,14526,9306,11596,4532,1607,7202,6175
"CADM1",1574,11477,1255,562,167,135,2342,613
"CADM2",0,0,0,14,3,3,0,3
"CADM3",50,71,67,23,7,18,108,247
"CADM4",125,3042,2130,941,697,1205,946,377
"CADPS",46,2564,73,69,99,29,317,6
"CADPS2",224,3167,139,897,283,417,3673,1622
"CAGE1",0,3,1,0,1,3,3,8
"CALB1",0,3,0,0,1,2,23,6
"CALB2",2,3,59,2,1,23,2,1
"CALCA",0,0,0,21,0,2,1,1
"CALCB",2,0,1,0,0,1,0,1
"CALCOCO1",3406,4971,4064,2497,1118,843,5416,4362
"CALCOCO2",1796,10859,858,1290,2777,1380,3863,5009
"CALCR",4,49,1,0,1,6,15,0
"CALCRL",148,166,149,73,39,30,363,464
"CALD1",2913,15729,2505,4035,5579,2419,16539,9178
"CALHM1",2,2,0,1,0,2,2,6
"CALHM2",2866,1544,560,220,512,840,796,2547
"CALHM3",12,2,0,1,0,0,1,6
"CALM1",6688,25755,6909,11041,12566,17499,21573,31110
"CALM2",3660,30172,8496,9136,10541,8819,27449,32420
"CALM3",15568,13466,24323,14936,28816,8678,13765,9622
"CALML3",0,0,0,0,0,0,0,0
"CALML4",43,111,19,108,170,70,104,171
"CALML5",0,0,0,0,0,0,0,0
"CALML6",0,13,0,10,4,9,57,9
"CALN1",12,1,2,1,3,3,2,2
"CALR",37304,50202,151160,40132,54286,39627,35363,73265
"CALR3",4,10,2,0,6,0,0,1
"CALU",3952,56096,40885,28938,13576,13474,30053,25363
"CALY",4,3,2,2,3,0,3,4
