"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"TANGO2",1731,3077,3993,3342,4418,886,2953,2118
"TANGO6",386,3537,1254,1137,1194,511,1299,1498
"TANK",154,2683,164,277,635,545,1335,1583
"TAOK1",429,12519,402,1013,1333,1805,3529,5153
"TAOK2",2818,5370,4369,3935,4933,2364,4254,6589
"TAOK3",711,3798,605,1017,2514,738,3273,3898
"TAP1",7114,21088,6314,3137,5036,5732,15115,12449
"TAP2",2003,6712,3173,646,2906,2771,2682,2837
"TAPBP",27384,23772,17137,12750,9745,14817,14625,19885
"TAPBPL",3422,2050,2396,1569,468,598,3729,1014
"TAPT1",183,2454,143,399,995,1206,1601,1521
"TARBP1",128,3182,370,787,1014,608,3464,2481
"TARBP2",847,2022,4875,3858,1434,1340,8550,2483
"TARDBP",1521,8861,2323,3088,5843,3055,7238,7968
"TARM1",0,1,0,0,0,0,0,0
"TARS",892,4881,2344,3694,3862,3285,6825,6138
"TARS2",832,6736,3403,4252,6480,1204,1858,2638
"TARSL2",208,918,231,183,1466,232,593,1018
"TAS1R1",13,12,3,0,6,7,4,5
"TAS1R2",0,0,0,0,0,0,0,0
"TAS1R3",550,125,145,24,16,30,15,108
"TAS2R1",0,0,0,0,3,0,0,0
"TAS2R10",0,4,0,0,1,0,9,6
"TAS2R13",0,4,0,0,0,1,0,0
"TAS2R14",4,49,18,13,31,42,93,45
"TAS2R16",0,0,0,0,0,0,0,0
"TAS2R19",0,11,2,1,6,3,16,4
"TAS2R20",0,27,0,0,8,3,32,53
"TAS2R3",0,6,0,0,0,0,0,0
"TAS2R30",0,9,0,1,0,0,1,0
"TAS2R31",0,10,0,0,5,0,15,2
"TAS2R38",0,0,0,0,0,0,0,0
"TAS2R39",0,1,0,0,0,0,0,0
"TAS2R4",0,56,0,9,4,9,28,10
"TAS2R40",0,0,0,1,0,0,0,0
"TAS2R41",0,0,0,0,0,0,0,0
"TAS2R42",0,0,0,0,0,0,1,0
"TAS2R43",0,6,0,0,0,0,4,2
"TAS2R46",0,8,0,0,0,0,0,0
"TAS2R5",0,94,0,3,11,4,33,34
"TAS2R50",0,1,0,0,0,1,1,1
"TAS2R60",1,0,0,0,0,0,0,0
"TAS2R7",0,0,0,0,0,0,1,0
"TAS2R8",0,0,0,0,0,0,0,0
"TAS2R9",0,0,0,0,0,0,0,0
"TASP1",44,1018,144,190,320,86,377,588
"TAT",0,8,0,6,0,0,0,3
"TATDN1",78,754,112,380,348,494,1108,1495
"TATDN2",1503,1987,1559,1706,2760,1015,2878,2092
"TATDN3",137,2271,216,638,425,591,959,949
"TAX1BP1",584,15593,1060,3623,4992,10474,15409,9566
"TAX1BP3",1790,648,2304,2586,1717,602,4131,1089
"TAZ",892,1306,1207,1228,1615,1227,1886,1276
"TBATA",1,0,0,0,1,1,0,0
"TBC1D1",3683,4151,867,1927,3064,1622,4485,2025
"TBC1D10A",616,3583,1806,1194,1392,688,1112,2598
"TBC1D10B",4251,3466,5122,4430,6079,2988,4085,4514
"TBC1D10C",2460,516,105,130,18,317,559,888
"TBC1D12",95,629,28,109,197,170,468,1020
"TBC1D13",1857,3901,3297,3736,2564,1616,4033,3909
"TBC1D14",411,7769,1134,2190,2177,472,2630,5363
"TBC1D15",178,3411,241,372,1177,1037,2002,2561
"TBC1D16",3383,20378,28321,33819,62912,3560,15335,26728
"TBC1D17",2845,3848,3258,2670,3141,1200,2358,3847
"TBC1D19",40,614,96,92,303,106,303,237
"TBC1D2",3527,2237,1232,748,2949,1110,491,957
"TBC1D20",1842,8111,5110,4475,5470,1359,3453,4456
"TBC1D21",0,0,0,0,1,0,0,0
"TBC1D22A",3117,2445,4464,7691,4450,2490,1832,3447
"TBC1D22B",407,1673,1383,1392,1742,741,1100,1170
"TBC1D23",117,2543,206,455,687,587,1418,2369
"TBC1D24",356,2041,1010,870,2010,702,1137,1679
"TBC1D25",993,1848,1773,1151,1265,499,1080,1300
"TBC1D26",0,0,0,0,0,0,0,0
"TBC1D28",0,0,0,0,0,0,0,0
"TBC1D29",0,26,1,0,0,1,1,11
"TBC1D2B",3441,5116,3899,1875,3093,734,2949,2799
"TBC1D3",0,0,0,0,0,0,0,0
