"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"RNF38",1490,693,1393,928,364,2,1050,1065,0,658,2012,798,196,1789,1059,514,12,808,49,29
"RNF39",39,0,0,10,0,0,9,63,0,51,25,43,0,26,0,0,0,1,0,66
"RNF4",2325,638,2326,1504,378,5,1943,789,4,2448,3474,1333,192,3545,1901,356,31,2529,289,128
"RNF40",173,5,6,209,51,1,260,257,0,173,223,225,51,400,277,86,0,273,93,69
"RNF41",1322,651,633,1577,407,3,920,673,26,2417,1687,568,261,2589,1468,497,0,1106,225,55
"RNF43",408,3,371,76,672,1,374,332,4,645,646,903,154,57,198,0,1,686,652,8
"RNF44",568,54,1079,318,558,1,448,964,5,233,177,621,20,198,330,100,6288,248,648,115
"RNF5",1511,450,262,1066,616,6,1548,556,4,6515,1932,320,153,3730,1255,1135,24,2135,324,53
"RNF6",2072,247,1251,576,513,1,1275,191,0,1639,1713,21,89,1599,1895,1228,0,3143,329,54
"RNF7",3507,1544,1780,1363,1215,2,3682,1958,10,6226,4146,775,379,5338,6290,3228,0,5057,1395,554
"RNF8",634,168,212,254,293,0,608,351,10,1513,675,169,52,1174,796,272,41,798,545,19
"RNFT1",1320,350,408,1857,394,1,1325,519,0,1017,1855,231,186,1650,1891,186,0,1514,120,18
"RNFT2",114,0,17,12,104,0,747,34,5,387,123,3,244,175,1411,0,1,231,9,136
"RNGTT",557,9,811,584,195,1,777,315,4,662,1109,332,147,1039,1230,426,0,479,98,84
"RNH1",679,440,313,412,147,2,684,226,0,552,2035,394,61,1662,2260,368,15447,1328,63,285
"RNLS",399,25,175,66,51,0,7,392,21,1,223,82,27,267,6,328,12,323,10,0
"RNMT",2221,1158,1728,3001,431,4,2895,2018,1,3967,2301,584,385,2443,2643,908,2035,2645,900,75
"RNPC3",2570,2209,2225,4059,1893,11,2436,4116,140,2986,2271,3640,325,1689,3116,1705,91,1369,1997,687
"RNPEP",2062,752,351,1320,540,7,1392,900,33,1660,1280,1323,173,1224,1819,495,1,1196,297,96
"RNPEPL1",119,146,106,93,97,0,182,171,37,34,58,197,60,160,383,183,58,249,210,72
"RNPS1",2075,847,1424,2363,1372,1,2030,1476,12,1770,1045,1056,528,1473,2704,1560,107,1336,895,554
"ROBO1",828,345,1370,45,1171,5,1575,1798,1,696,761,940,550,4772,1247,422,4,573,460,139
"ROBO2",468,53,577,1,38,0,0,734,4,27,693,7,56,610,87,32,0,48,422,7
"ROBO3",39,48,32,20,19,1,11,49,0,52,98,6,18,41,76,23,4,35,17,1
"ROBO4",182,1986,299,159,139,4,213,908,3,73,916,146,15,255,580,507,80,64,54,133
"ROCK1",5586,5537,6432,1442,630,10,3793,5020,4,6058,4169,2008,416,4792,3711,2932,7318,3451,2179,43
"ROCK2",4699,8282,3586,3456,699,12,2109,2788,6,4014,3246,1409,497,2760,7066,6576,59,2895,1827,181
"ROGDI",52,43,46,12,14,0,100,103,4,82,113,48,5,149,156,113,0,46,34,1
"ROM1",213,42,0,17,20,0,126,2,0,77,163,4,6,80,31,27,0,28,27,61
"ROMO1",2606,1736,1807,2241,1449,24,4963,1124,8,5357,2193,1499,269,2942,4209,4881,2,3897,1036,485
"ROPN1",466,58,0,17,530,1,580,391,0,5087,304,0,113,68,814,0,3,1033,134,1
"ROPN1B",1218,95,0,1224,896,3,1899,707,0,2786,432,1639,75,1194,1005,32,2,2298,389,83
"ROPN1L",0,0,0,3,2,0,1,0,0,0,115,0,52,4,55,0,0,2,0,0
"ROR1",739,210,855,32,83,72,133,323,0,233,411,70,258,1163,1055,240,1,205,246,36
"ROR2",144,0,355,26,10,0,0,43,0,91,75,61,52,708,368,0,0,132,48,14
