"GENE_SYMBOL","GSM4673094--P2","GSM4673095--P2","GSM4673096--P2","GSM4673106--P7","GSM4673113--P23","GSM4673114--P23"
"ADAM12",5,3,1,0,0,1
"ADAM15",22,54,22,44,37,58
"ADAM17",33,43,26,27,19,21
"ADAM18",0,0,0,0,0,0
"ADAM19",15,13,16,10,9,10
"ADAM2",0,0,0,0,0,0
"ADAM20",0,0,0,1,0,0
"ADAM21",0,0,0,0,0,0
"ADAM22",2,0,1,0,0,2
"ADAM23",1,9,0,3,0,0
"ADAM28",7,18,7,0,1,2
"ADAM29",0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0
"ADAM32",7,2,4,0,0,0
"ADAM33",3,0,1,1,14,3
"ADAM7",0,0,0,0,0,0
"ADAM8",2,7,2,9,5,3
"ADAM9",97,145,116,60,57,89
"ADAMDEC1",25,8,6,8,20,30
"ADAMTS1",22,13,6,18,2,11
"ADAMTS10",1,6,3,21,1,4
"ADAMTS12",5,6,2,6,0,1
"ADAMTS13",6,7,3,8,5,8
"ADAMTS14",1,2,0,1,4,2
"ADAMTS15",3,1,7,4,9,31
"ADAMTS16",1,1,1,3,0,0
"ADAMTS17",13,33,4,9,0,4
"ADAMTS18",0,1,2,0,0,0
"ADAMTS19",0,0,0,0,1,0
"ADAMTS2",27,12,4,55,5,0
"ADAMTS20",0,0,0,0,0,0
"ADAMTS3",0,1,0,0,0,0
"ADAMTS4",6,3,2,5,0,5
"ADAMTS5",2,3,1,6,0,0
"ADAMTS6",0,3,5,0,2,1
"ADAMTS7",0,1,0,1,0,0
"ADAMTS8",17,7,11,0,8,17
"ADAMTS9",4,5,5,12,0,7
"ADAMTSL1",0,1,0,1,0,7
"ADAMTSL2",2,3,4,4,0,4
"ADAMTSL3",1,0,1,10,1,3
"ADAMTSL4",1,1,0,17,3,4
"ADAMTSL5",5,6,8,2,19,5
"ADAP1",196,261,133,288,193,274
"ADAP2",14,3,2,12,2,10
"ADAR",86,61,105,53,23,43
"ADARB1",45,40,12,36,18,27
"ADARB2",3,1,0,1,0,0
"ADAT1",16,7,18,2,2,2
"ADAT2",5,13,4,6,8,15
"ADAT3",4,3,2,5,1,6
"ADCK1",3,1,1,0,0,2
"ADCK2",228,242,121,178,136,217
"ADCK5",28,27,17,9,18,26
"ADCY1",3,4,0,61,2,5
"ADCY10",0,0,0,2,2,1
"ADCY2",0,0,0,0,0,0
"ADCY3",235,203,143,104,87,139
"ADCY4",1,2,1,6,4,7
"ADCY5",3,5,6,8,2,2
"ADCY6",34,61,58,87,40,58
"ADCY7",8,15,10,8,4,6
"ADCY8",0,0,0,0,0,0
"ADCY9",4,8,1,6,1,2
"ADCYAP1",0,0,0,0,0,0
"ADCYAP1R1",0,0,0,0,0,0
"ADD1",39,31,49,42,22,48
"ADD2",0,2,0,0,0,0
"ADD3",290,164,129,64,57,56
"ADGB",0,0,0,0,3,0
"ADGRA1",0,0,0,0,0,0
"ADGRA2",16,19,39,41,4,23
"ADGRA3",13,7,30,15,14,20
"ADGRB1",0,0,6,4,2,2
"ADGRB2",0,3,0,1,0,1
"ADGRB3",0,0,0,0,2,0
"ADGRD1",3,2,0,3,2,3
"ADGRD2",0,0,0,3,0,0
"ADGRE1",4,1,2,0,0,1
"ADGRE2",6,4,6,2,3,5
"ADGRE3",0,4,0,0,0,0
"ADGRE5",540,635,505,1230,534,972
"ADGRF1",2,1,1,2,0,3
"ADGRF2",0,0,0,1,0,0
"ADGRF3",0,0,0,1,2,1
"ADGRF4",3,2,3,6,1,2
"ADGRF5",36,26,8,30,7,18
"ADGRG1",98,73,103,56,27,44
"ADGRG2",0,2,0,0,0,0
"ADGRG3",1,0,2,0,0,0
"ADGRG4",0,0,0,0,0,0
"ADGRG5",1,3,2,0,1,1
"ADGRG6",1,9,7,21,2,5
"ADGRG7",4,5,4,1,0,0
"ADGRL1",22,19,14,24,9,9
"ADGRL2",5,6,11,13,0,0
"ADGRL3",7,2,0,0,1,3
"ADGRL4",10,2,2,12,1,2
"ADGRV1",1,1,0,5,0,1
"ADH1A",0,0,0,98,0,0
"ADH1B",1,2,1,664,8,4
"ADH1C",9,10,86,163,27,7
"ADH4",0,0,0,379,1,0
"ADH5",57,61,65,36,46,69
"ADH6",3,6,8,25,2,1
"ADH7",0,0,0,0,0,0
"ADHFE1",0,0,1,8,0,0
"ADI1",100,145,99,86,60,84
"ADIG",0,0,0,0,0,0
"ADIPOQ",0,0,0,0,0,0
"ADIPOR1",48,63,44,27,52,40
"ADIPOR2",49,58,68,65,24,37
"ADIRF",4,3,3,16,15,13
"ADK",44,29,45,18,18,11
"ADM",14,11,41,23,9,16
"ADM2",52,60,66,30,12,43
"ADM5",0,0,2,0,0,1
"ADNP",35,46,35,33,12,16
"ADNP2",24,8,26,10,15,9
"ADO",56,107,66,49,37,92
"ADORA1",3,5,1,0,1,0
"ADORA2A",4,5,0,0,0,0
"ADORA2B",3,2,20,2,5,5
"ADPGK",64,32,43,17,11,23
"ADPRH",4,5,4,2,0,2
"ADPRHL1",4,2,2,3,21,3
"ADPRHL2",19,13,17,37,12,38
"ADPRM",1,0,1,4,3,2
"ADRA1A",0,0,0,2,0,0
"ADRA1B",1,0,0,0,0,0
"ADRA1D",0,0,0,0,0,0
"ADRA2A",0,1,6,5,3,2
"ADRA2B",0,0,0,3,1,1
"ADRA2C",16,5,4,6,1,3
"ADRB1",3,4,0,2,0,2
"ADRB2",0,0,0,0,1,0
"ADRB3",0,0,0,0,0,0
"ADRM1",117,118,81,57,14,34
"ADSL",47,40,26,17,12,19
"ADTRP",28,28,8,1,13,17
"AEBP1",22,17,16,30,10,2
"AEBP2",123,109,118,106,48,107
"AEN",86,119,81,44,72,60
"AFAP1",68,93,128,39,60,72
"AFAP1L1",5,2,2,13,0,6
"AFAP1L2",11,2,1,1,4,5
"AFF1",24,36,28,50,52,53
"AFF2",0,0,0,0,0,0
"AFF3",0,0,0,2,0,0
"AFF4",265,320,222,392,274,525
"AFG3L2",26,63,71,12,42,37
"AFM",0,0,0,35,0,0
"AFMID",12,21,29,17,11,16
"AFP",0,0,0,1,0,0
"AFTPH",94,52,89,43,24,48
"AGA",10,15,20,8,11,9
"AGAP1",184,268,163,133,112,209
"AGAP2",8,7,3,20,12,4
"AGAP3",30,18,12,32,14,17
"AGAP4",1,0,0,2,0,0
"AGAP5",1,2,0,1,3,5
"AGAP6",0,2,8,8,1,1
"AGAP9",2,1,2,1,0,1
"AGBL1",0,0,0,0,0,0
"AGBL2",1,1,1,0,4,6
"AGBL3",6,4,4,5,1,1
"AGBL4",0,1,0,0,0,0
"AGBL5",97,82,59,30,52,85
"AGER",0,1,0,1,2,1
"AGFG1",37,49,49,36,9,20
"AGFG2",81,116,93,206,60,67
"AGGF1",31,30,14,20,12,28
"AGK",21,9,6,5,5,5
"AGL",8,7,8,21,14,24
"AGMAT",290,151,140,240,111,98
"AGMO",4,7,0,27,0,1
"AGO1",38,75,20,79,43,45
"AGO2",120,180,138,160,53,123
"AGO3",7,18,7,10,6,11
"AGO4",21,15,12,51,34,59
"AGPAT1",32,36,23,32,12,16
"AGPAT2",97,69,26,89,45,90
"AGPAT3",78,127,97,200,70,75
"AGPAT4",1,8,8,3,0,0
"AGPAT5",34,24,38,20,20,23
"AGPS",55,27,50,31,15,23
"AGR2",138,226,194,125,615,623
"AGR3",136,22,45,6,181,183
"AGRN",55,59,22,55,16,33
"AGRP",0,0,0,0,0,0
"AGT",128,79,46,2045,36,71
"AGTPBP1",16,5,5,11,5,11
"AGTR1",0,0,0,3,0,0
"AGTR2",0,0,0,0,0,0
"AGTRAP",17,18,4,25,7,9
"AGXT",0,0,0,158,0,0
"AGXT2",0,0,0,29,0,0
"AHCTF1",34,27,43,14,2,18
"AHCY",267,203,145,115,71,86
"AHCYL1",226,137,93,87,83,129
"AHCYL2",86,61,67,20,82,81
"AHDC1",3,22,2,34,32,38
"AHI1",32,30,23,16,31,21
"AHNAK",386,219,214,314,269,373
"AHNAK2",12,4,0,25,8,15
"AHR",32,31,8,17,17,17
"AHRR",0,6,1,2,1,0
"AHSA1",113,76,81,43,21,27
"AHSG",0,0,0,4878,1,9
"AHSP",0,0,0,0,0,0
"AICDA",0,0,0,1,0,0
"AIDA",23,15,21,4,10,12
"AIF1",24,4,3,14,5,3
"AIF1L",6,12,1,7,4,7
"AIFM1",54,42,28,24,18,11
"AIFM2",31,42,43,42,10,30
"AIFM3",7,3,9,14,24,32
"AIG1",45,22,21,44,14,11
"AIM2",0,1,0,0,0,0
"AIMP1",63,40,65,23,25,24
"AIMP2",32,26,28,8,7,7
"AIP",20,20,19,20,23,16
"AIPL1",0,0,0,0,0,0
"AIRE",0,0,0,0,0,0
"AJAP1",1,0,0,1,0,0
"AJUBA",14,24,19,21,5,8
"AK1",25,68,27,10,23,17
"AK2",204,89,85,79,85,101
"AK3",55,32,34,49,48,45
"AK4",6,6,3,22,13,14
"AK5",0,2,0,0,1,1
"AK6",16,5,9,1,9,11
"AK7",0,1,1,5,0,0
"AK8",0,2,0,0,0,0
"AK9",5,3,5,2,2,6
"AKAP1",96,109,159,70,77,82
"AKAP10",6,13,2,0,4,4
"AKAP11",32,38,23,53,24,26
"AKAP12",16,9,1,43,32,35
"AKAP13",102,123,168,129,137,165
"AKAP14",2,0,0,0,0,1
"AKAP17A",247,309,244,192,142,221
"AKAP3",8,0,5,4,5,8
"AKAP4",0,0,0,0,0,0
"AKAP5",2,4,6,0,13,13
"AKAP6",0,0,1,1,0,0
"AKAP7",13,21,58,25,66,31
"AKAP8",30,47,41,37,37,40
"AKAP8L",23,10,15,30,29,18
"AKAP9",345,269,291,325,263,228
"AKIP1",34,15,13,4,8,9
"AKIRIN1",42,29,28,18,21,29
"AKIRIN2",28,42,15,28,14,36
"AKNA",13,10,20,31,8,24
"AKNAD1",0,0,0,0,0,0
"AKR1A1",50,26,41,80,51,51
"AKR1B1",32,6,16,5,1,2
"AKR1B10",1,0,3,5,10,6
"AKR1B15",0,0,0,0,0,0
"AKR1C1",3,4,2,36,1,2
"AKR1C2",14,2,0,26,0,0
"AKR1C3",76,43,14,31,26,14
"AKR1C4",11,5,0,20,0,0
"AKR1D1",0,0,0,49,0,0
"AKR1E2",1,0,3,0,4,1
"AKR7A2",36,48,25,27,29,46
"AKR7A3",27,20,13,35,18,22
"AKT1",163,192,150,237,157,208
"AKT1S1",14,28,21,20,15,29
"AKT2",178,196,182,302,123,196
"AKT3",7,4,4,2,1,2
"AKTIP",20,10,19,16,9,2
"ALAD",121,44,77,63,44,62
"ALAS1",163,173,97,164,47,116
"ALAS2",0,0,0,0,0,0
"ALB",0,0,0,9449,0,0
"ALCAM",12,33,5,25,11,9
"ALDH16A1",23,31,27,17,19,12
"ALDH18A1",477,751,593,458,183,205
"ALDH1A1",185,66,48,84,2,3
"ALDH1A2",0,1,2,5,3,3
"ALDH1A3",40,63,35,41,23,42
"ALDH1B1",63,30,78,7,6,22
"ALDH1L1",11,3,10,91,28,10
"ALDH1L2",4,3,3,2,0,1
"ALDH2",1107,1788,1493,7513,1111,1706
"ALDH3A1",21,18,13,10,58,59
"ALDH3A2",81,33,40,109,65,17
"ALDH3B1",38,20,8,12,40,20
"ALDH3B2",1,4,2,0,2,0
"ALDH4A1",52,33,8,259,13,19
"ALDH5A1",22,16,15,17,8,10
"ALDH6A1",11,7,17,70,23,10
"ALDH7A1",25,23,25,41,49,51
"ALDH8A1",0,0,0,28,0,0
"ALDH9A1",49,28,35,31,31,25
"ALDOA",234,434,274,426,190,347
"ALDOB",10,7,2,593,7,5
"ALDOC",22,2,8,23,5,9
"ALG1",16,21,23,13,18,17
"ALG10",11,1,4,0,2,1
"ALG10B",0,2,2,3,0,1
"ALG11",21,4,10,4,1,8
"ALG12",14,27,25,39,18,47
"ALG13",10,16,10,17,5,20
"ALG14",13,1,5,5,5,7
"ALG1L",0,5,0,0,6,2
"ALG1L2",1,0,1,0,2,5
"ALG2",31,23,19,16,16,19
"ALG3",238,294,243,121,77,120
"ALG5",100,48,62,40,21,34
"ALG6",4,5,2,6,5,7
"ALG8",14,8,10,6,8,12
"ALG9",3,1,3,1,0,1
"ALK",0,0,0,1,1,0
"ALKBH1",10,7,3,0,3,4
"ALKBH2",23,54,57,28,40,51
"ALKBH3",10,11,13,7,6,3
"ALKBH4",5,5,11,9,1,0
"ALKBH5",34,38,35,26,26,34
"ALKBH6",9,3,9,7,5,6
"ALKBH7",30,18,10,42,34,26
