"GENE_SYMBOL","GSM5133918--MGH200","GSM5133935--MGH253","GSM5133942--MGHPDL002"
"ADCY2",1322,473,16
"ADCY3",2807,2313,2564
"ADCY4",1776,371,796
"ADCY5",128,341,142
"ADCY6",2518,5516,3570
"ADCY7",5213,105,2780
"ADCY8",2,6,0
"ADCY9",1850,1506,2734
"ADCYAP1",11,13,86
"ADCYAP1R1",99,88,39
"ADD1",14632,14798,18738
"ADD2",530,37,246
"ADD3",16014,2886,6671
"ADGB",27,8,2
"ADGRA1",0,0,0
"ADGRA2",12250,6440,2917
"ADGRA3",3973,13269,5628
"ADGRB1",447,19406,204
"ADGRB2",1217,1123,543
"ADGRB3",124,4,175
"ADGRD1",1904,857,346
"ADGRD2",0,20,2
"ADGRE1",331,11,107
"ADGRE2",1079,28,1212
"ADGRE3",3,2,7
"ADGRE5",3959,5140,8862
"ADGRF1",0,51,2
"ADGRF2",0,3,0
"ADGRF3",127,20,84
"ADGRF4",0,5,2
"ADGRF5",4510,1974,1381
"ADGRG1",7421,26088,56919
"ADGRG2",486,36,187
"ADGRG3",38,24,28
"ADGRG4",0,4,1
"ADGRG5",200,3,1039
"ADGRG6",681,121,4340
"ADGRG7",0,0,1
"ADGRL1",2794,3430,2289
"ADGRL2",8986,2408,580
"ADGRL3",287,83,38
"ADGRL4",2652,185,1123
"ADGRV1",155,53,108
"ADH1A",118,12,3
"ADH1B",254,10,492
"ADH1C",37,33,31
"ADH4",157,0,0
"ADH5",3376,7402,14029
"ADH6",127,440,26
"ADH7",0,0,5
"ADHFE1",668,4570,787
"ADI1",413,17580,5605
"ADIG",10,1,0
"ADIPOQ",2,0,332
"ADIPOR1",4687,10494,13953
"ADIPOR2",1973,4727,8488
"ADIRF",0,0,0
"ADK",3901,353,1408
"ADM",226,3983,492
"ADM2",6,234,343
"ADM5",0,657,70
"ADNP",9792,26768,12898
"ADNP2",3208,7768,2213
"ADO",209,3403,2846
"ADORA1",1,12,304
"ADORA2A",0,37,65
"ADORA2B",185,109,108
"ADPGK",1953,14578,7267
"ADPRH",306,376,2347
"ADPRHL1",65,142,121
"ADPRM",919,419,566
"ADRA1A",0,0,2
"ADRA1B",30,10,64
"ADRA1D",10,41,16
"ADRA2A",459,319,1737
"ADRA2B",0,28,31
"ADRA2C",4,2393,2395
"ADRB1",1,32,24
"ADRB2",958,13,494
"ADRB3",0,22,1
"ADRM1",1912,7313,7216
"ADSL",4007,6396,6485
"ADTRP",116,85,159
"AEBP1",104835,188984,185849
"AEBP2",2887,774,2181
"AEN",700,5550,4468
"AFAP1",2344,2256,6955
"AFAP1L1",2039,6478,3206
"AFAP1L2",1801,1773,917
"AFF1",20413,1590,7129
"AFF2",83,29,93
"AFF3",801,269,3921
"AFF4",15275,3588,8950
"AFG3L2",4671,9553,7633
"AFM",0,0,0
"AFMID",641,7906,1295
"AFP",2,0,0
"AFTPH",3232,1715,2633
"AGA",1129,2111,2914
"AGAP1",3527,4108,2380
"AGAP2",364,405,973
"AGAP3",4798,33515,14001
"AGAP4",2166,3111,307
"AGAP5",123,43,32
"AGAP6",5295,16457,665
"AGAP9",7392,4517,256
"AGBL1",0,20,0
"AGBL2",487,225,107
"AGBL3",258,447,283
"AGBL4",96,1,81
"AGBL5",1808,2428,2295
"AGER",541,3461,649
"AGFG1",8262,3567,5590
"AGFG2",1349,664,1651
"AGGF1",5705,1868,4570
"AGK",1722,4491,3219
"AGL",8458,738,2148
"AGMAT",59,105,169
"AGMO",14,13,72
"AGO1",6575,5470,3572
"AGO2",2058,12236,4013
"AGO3",5520,5247,1426
"AGO4",5176,6928,3217
"AGPAT1",1290,5530,7553
"AGPAT2",729,10030,5947
"AGPAT3",3247,9342,6493
"AGPAT4",1528,6384,326
"AGPAT5",683,2197,2551
"AGPS",8399,2164,6028
"AGR2",0,0,3
"AGR3",0,0,0
"AGRN",5387,230864,16206
"AGRP",36,3,2
"AGT",19,67,11
"AGTPBP1",4201,3042,2735
"AGTR1",3462,15,86
"AGTR2",0,0,0
"AGTRAP",1068,6917,2727
"AGXT",0,9,34
"AGXT2",0,0,0
"AHCTF1",7506,9903,5922
"AHCY",2295,13500,13951
"AHCYL1",9648,4829,9817
"AHCYL2",16533,4336,14792
"AHDC1",2635,8010,1595
"AHI1",9789,9328,1759
"AHNAK",260910,7377,26728
"AHNAK2",28645,1147,1019
"AHR",22030,661,8286
"AHRR",137,708,165
"AHSA1",3503,2669,9052
"AHSG",0,0,1
"AHSP",0,0,3
"AICDA",0,14,53
"AIDA",4657,1304,3557
"AIF1",4791,88,4752
"AIF1L",2370,3938,19636
"AIFM1",2947,1915,5016
"AIFM2",332,1211,1642
"AIFM3",149,158,291
"AIG1",884,1242,1239
"AIM2",224,6,2414
"AIMP1",2193,10087,5227
"AIMP2",609,920,1317
"AIP",1121,1452,4594
"AIPL1",0,1,1
"AIRE",5,95,42
