"GENE_SYMBOL","D06","D01","N10","N09","D08","N04","D07","N03","N06","D03","N05","N08","D05","D09","N07","D04","D02","N11","N12","N01","N02"
"CCR1",307.333056327262,98.6038433550107,15.3689265254668,1.69971811098155,50.4738640482731,69.4209774597063,90.9377511395285,128.535041919882,292.010311898864,142.851374946122,240.166518996563,6.84723213414151,47.2408276513621,59.6238314002062,254.222132285693,280.547514655188,159.916315663107,27.9060435580989,23.465268862315,150.948915309502,184.090765210938
"CCR2",348.430100121614,237.894291635751,5.5265301964532,2.84160083125747,107.730186591958,27.1583436494976,153.519807426493,63.792485254449,125.971232550865,89.1858715796317,243.432734157655,11.1836633735664,7.70214514274359,55.115156838822,188.789795863626,185.179265277031,87.4574800063043,6.85137311649034,11.6625621316717,67.482028521482,22.0771932803546
"CCR4",34.2938443824938,327.922934789798,0.468216945482797,5.63850618664519,33.1473750808606,36.3019364644068,244.020275429411,40.33547837,45.8735366185752,5.75149056889821,134.287244780745,11.3622948082539,7.30887743000518,167.318222055377,94.485908044929,4.66319637926717,80.989243071419,2.84894825330734,14.2899899222552,14.600574122295,24.7619829919196
"CCR5",626.243052452332,455.910886593133,20.0198699420085,14.4402528320952,260.586292051344,32.6136063484379,373.126496238899,389.691978300274,296.260067121157,124.142503838794,768.752225156869,40.3635022319941,56.1322595650587,317.434135739118,232.38313495973,69.231755118813,368.426785145614,8.62852109209876,73.2424823455509,105.673523884272,75.6260660465063
"CCR6",178.286169027526,1849.85769498902,53.4645224623169,6.43846925187547,1494.75192523896,167.698657135094,2118.76414148144,1225.34565445885,476.315302852218,0,1733.05295503025,83.3691269665861,116.540791386037,2220.53861224002,379.397261534253,98.0437038740923,536.034034344762,5.78336495421391,128.865480273906,106.978862861996,69.6976991860795
"CCR7",83.9495927583721,684.329927613028,4.18158276241584,4.87581159980638,71.3336777123791,33.0761376886697,213.67191715241,61.7752182327194,23.4300068161029,34.8710376842717,253.066868185557,12.1094821292248,10.1930313124329,419.105524119323,173.537155240877,42.4333502929032,173.475782083724,3.7694184990221,15.4579985527721,61.0583366839129,34.4535773867195
"CD14",43319.0254997893,12055.4221363923,3572.42269077321,2027.71031628686,14767.8026724917,6410.16082898275,19527.7997628448,34049.4472078839,22372.4691568623,25998.7926752551,18484.8198519145,1713.8159771359,8976.82927197306,33307.3657804607,25815.4223156825,11606.046482171,24554.6985482541,3465.62654344919,5074.11800677396,16670.6236534841,32461.9640604992
"CD160",30.0482307349763,5.98643949344038,0.772360677625765,0,16.8356312280363,0,0,6.6329265073838,0,52.2219933439221,0,0,0.796530029666902,0,51.7636713168725,50.3052601379773,5.46197417473119,0.139246347212213,2.5788676713629,5.88739442487483,7.55151636446287
"CD163",25178.093911691,5595.61622739699,1108.6961625391,260.010351361727,5615.62625761267,1709.31041837788,5805.63511336967,5279.07639811541,4231.00052452077,6599.86981956738,7784.6892512853,550.140227468566,1394.0734874486,7070.27698081626,3200.48169758742,4533.53982888317,4922.49710589285,484.870213435822,761.686633660259,3688.32676425666,6332.26278349466
"CD19",246.699631710093,1304.506909,3.35651710525756,27.1397358599235,301.836050389517,48.2982300597506,0,23.935297017396,378.597347075071,0,432.341040134016,8.97246209505859,2.42758194121067,1694.30366443481,290.289945064045,45.4818480937493,1134.10589246575,29.5651840708693,21.6139178375662,178.682300790988,314.534663673013
"CD1C",279.573628347326,3314.60829239916,135.254619739106,38.3749822959465,1514.44929599023,1036.13086919398,3608.59122538991,3080.99070212431,2558.89494201109,173.973067373792,1090.3842195167,109.318457876715,17.3280048717543,2097.59421131356,411.432460769762,334.499414450546,204.997307169798,11.4901290481071,218.119261356366,68.454695079836,63.5713511540701
"CD1D",187.285849946114,108.344521692455,8.36316552483169,5.03567427520987,74.0511511490412,0.791716061696882,46.5936559429263,77.4327778712892,131.255854510617,46.2856579334398,10.708048019135,8.73279961242172,7.05671398553045,153.01899520016,119.886355338163,124.65583617203,174.157148077769,6.78495329823978,25.8048846808373,40.5158284944948,103.80320104783
"CD2",309.782055743998,484.768462436125,7.21899963949126,9.15345869707605,277.009263341786,11.9468666941679,641.881721108238,172.517987818521,184.965151118491,22.6654732753403,387.319219443477,28.4101257817907,24.622967820917,415.599949511315,115.533547225558,36.7367260391312,222.555284112109,0.805683990763859,46.4142061011176,27.3946564204749,9.37013020605528
"CD209",403.915851844197,987.281946566126,74.5231053472768,109.828972035941,195.795570671286,146.613622355223,482.018332807752,248.496294793285,273.452635265522,369.4427537,160.075275787728,10.3697038477689,109.01831951585,846.99615237301,156.365603840623,10.0122923246852,507.121943216039,19.1827307464548,109.435127925841,125.0813745,280.52964269009
