"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"EVC",3485,2303,1595,2578,607,1594,1398,767,1264,1845,600
"EVC2",721,560,114,515,169,319,118,28,300,454,110
"EVI2A",508,384,91,30,90,67,335,89,35,48,15
"EVI2B",2614,977,154,36,257,364,1482,370,114,174,47
"EVI5",1245,1070,1437,1069,460,994,772,539,645,710,422
"EVI5L",4054,1572,4006,2858,2794,4033,2374,1383,1802,3485,2479
"EVL",14024,3297,6379,2860,6905,2671,2511,2811,2893,4492,1681
"EVPL",4276,11076,21824,32460,102570,43675,23177,46600,55373,73798,62129
"EVPLL",158,82,394,195,1036,561,128,5,1205,657,505
"EVX1",0,0,0,0,0,1,0,2,0,0,0
"EVX2",0,0,1,0,0,0,0,7,0,0,1
"EWSR1",20385,11454,26483,22627,17008,16996,12435,12932,20173,19486,20917
"EXD1",9,3,5,6,0,11,19,1,0,2,1
"EXD2",2477,996,2393,1064,1438,1246,1762,899,1470,1528,540
"EXD3",935,340,939,1244,1155,878,398,612,682,2028,711
"EXO1",572,508,951,951,310,812,537,418,979,428,234
"EXO5",792,297,450,544,403,222,221,351,396,501,307
"EXOC1",2019,1697,2109,3181,2373,3450,2748,3075,3354,3141,1779
"EXOC2",2457,1543,3044,2422,1798,4044,2397,3216,3254,1684,2577
"EXOC3",6309,3465,6515,6920,4944,5194,5427,6283,21950,6036,12514
"EXOC3L1",479,399,277,392,80,212,149,207,159,128,132
"EXOC3L4",27,0,45,36,13,421,65,81,543,6,134
"EXOC4",5469,2636,5005,4947,3804,3857,7158,5289,3349,6688,3506
"EXOC5",3896,2486,3564,2857,1629,3275,4020,2639,4319,2334,1484
"EXOC6",612,192,267,166,171,388,603,672,606,721,161
"EXOC6B",4023,2968,9158,7238,5183,5954,7249,4791,10616,5439,5710
"EXOC7",12047,5745,8191,7038,10368,9266,8770,9817,11476,9699,7869
"EXOC8",1040,780,1136,993,664,1523,1029,1049,1919,1180,679
"EXOG",827,439,293,251,247,217,190,264,268,358,108
"EXOSC1",2516,1197,1570,1840,2224,2585,1293,2315,2330,1502,1377
"EXOSC10",9100,3663,6003,5872,5577,5186,4502,5569,7171,5736,4714
"EXOSC2",1635,1368,2428,3854,1635,1916,1749,680,2641,1726,1497
"EXOSC3",1185,1027,2725,1410,1582,2411,908,1164,2792,1021,644
"EXOSC4",2701,1329,5303,3594,2542,3029,2357,3538,2797,2067,2948
"EXOSC5",1618,602,1960,2065,1706,1428,1056,2082,1885,1527,1032
"EXOSC6",3394,2075,3009,3110,2451,2916,1841,3504,3482,2719,3011
"EXOSC7",2343,1208,2045,2912,2347,1865,1121,1386,2630,2632,1630
"EXOSC8",1091,1312,2016,2713,1673,1295,602,1310,1098,1723,1012
"EXOSC9",1566,1162,981,2597,1558,1185,758,1357,1807,1633,1188
"EXPH5",1062,841,1266,408,3716,2018,2233,1557,1188,7538,1440
"EXT1",15911,5977,13794,13567,4211,8425,17407,7791,16890,1449,8932
"EXT2",14791,6272,10562,8412,2496,10430,4451,9765,7541,2680,3481
"EXTL1",263,1,4,7,21,13,15,0,1,1271,5
