"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"SEC23A",31.69021118,33.06606997,125.731396,17.72883925,17.72883925,62.89773418,17.72883925,36.48524445,59.05014492,17.72883925
"RAB26",17.72883925,17.72883925,17.72883925,28.41857314,53.88921423,17.72883925,35.74597171,49.72369698,17.72883925,29.01122319
"PRRX2",118.5491957,453.7710034,132.1250794,71.06979215,124.4885588,146.0743788,859.6011712,576.4176593,243.97662,219.0725099
"RABGGTB",491.78392255,375.04744475,489.35215955,388.36324735,696.02522635,672.57574005,343.4637519,378.6109033,543.133555,310.8905311
"ZNF574",36.5470914,33.93425441,33.29565576,42.56367226,17.72883925,38.61190824,36.8342018,30.13052096,48.07124172,31.81823309
"SLC25A28",1616.741231,1277.624263,658.7781114,895.1626422,459.2304988,2683.201711,1229.810551,316.4022241,2211.000392,1087.493343
"LUM",375.725554625,3193.5591883,885.604905625,54.9819218,444.600948925,418.263548975,1163.10704432,556.41526633,465.080031575,324.965031675
"PHACTR2",35.35573593,268.3162872,77.28960274,46.94732541,59.30825696,94.21770324,53.04809527,138.5925745,94.63674372,57.85879623
"MAP2K3",638.0121549,523.3465262,363.5241606,473.8004786,488.7128533,236.5505678,684.0370454,408.6510849,1209.419031,787.4108604
"CCDC146",28.98456125,47.11615961,17.72883925,17.72883925,30.47593313,17.72883925,25.49254971,17.72883925,30.76153264,32.95513792
"EYA3",206.9370537,26.87838287,110.6732142,56.22593534,54.90674749,127.1538609,51.79766631,100.5152407,57.7651541,99.35571768
"METTL13",605.9289435,481.39227465,744.79522065,681.61627485,477.3441106,406.56330365,402.98490985,755.1357174,409.6262848,758.9203994
"SLC35F2",17.72883925,78.70696959,22.91001409,45.188216535,73.903216,291.4750024,89.91472395,279.7481303,103.037059745,44.20878009
"TFAP2E",49.25647045,17.72883925,28.41155334,49.25904987,25.89236194,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925
"ATPAF1",603.3906631,372.951535,338.6459849,489.3008902,606.6491083,473.1592088,265.5283889,590.4502183,330.4937652,536.6758879
"C11orf80",484.9728379,129.9336704,159.1078276,274.6800651,98.88571692,68.44356157,148.7903998,62.95100986,101.4666598,216.1588735
"PDE6D",377.7050658,233.5550877,575.9945585,176.7982712,450.035807,620.8725351,237.3618964,237.7548179,279.6446621,233.1728877
"CRISPLD2",214.1758276,1371.854982,261.2381508,75.97240161,202.7173776,508.394713,448.8033543,80.33646973,409.7182162,173.7710126
"C1orf189",17.72883925,17.72883925,32.01530024,17.72883925,38.79490749,27.27812446,17.72883925,29.19914995,17.72883925,28.66923116
