"GENE_SYMBOL","GSM4799045--1050685","GSM4799049--1081893","GSM4799054--1005994","GSM4799056--1040211","GSM4799059--1005335","GSM4799060--1006796","GSM4799071--1055419","GSM4799075--1087088","GSM4799076--1096936","GSM4799079--1064719","GSM4799085--1096489","GSM4799086--1045404","GSM4799091--1028337","GSM4799095--1062786","GSM4799096--1045396","GSM4799102--1020143","GSM4799108--1046677","GSM4799111--1028265","GSM4799113--1097176","GSM4799116--1014302","GSM4799120--1091717","GSM4799122--1030566","GSM4799128--1028046","GSM4799129--1011434","GSM4799130--1064847","GSM4799131--1042693","GSM4799132--1081897","GSM4799133--1042013"
"BMP1",0,897,1241,775,209,71,900,335,0,214,90,396,268,11,1072,1,108,958,203,744,1535,140,756,882,1202,0,339,1456
"BMP10",0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BMP15",0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"BMP2",0,10,254,0,51,56,40,29,0,141,0,3640,91,2,10,0,20,9,5,180,84,5,245,128,24,0,4,39
"BMP2K",4,397,1722,584,652,148,736,793,0,529,79,286,293,37,917,0,360,727,578,374,831,579,1255,595,522,0,325,859
"BMP3",0,30,0,0,407,62,52,0,0,0,0,0,0,4,64,0,0,0,0,0,2,58,0,0,0,0,0,8
"BMP4",1,85,906,154,337,171,0,64,0,724,3,0,118,7,69,0,169,0,32,1015,280,20,755,1586,158,0,11,417
"BMP5",0,21,0,0,255,71,4,2,0,9,0,0,2,0,0,0,0,0,12,0,0,16,0,114,0,0,0,67
"BMP6",0,2,3,10,83,1,91,45,0,26,0,320,101,0,0,0,0,3,0,1,84,4,472,0,0,0,0,36
"BMP7",2,33,0,80,11,52,43,96,0,1,0,5,0,2,375,0,0,138,0,2,2,8,296,0,22,0,1,224
"BMP8A",0,0,15,5,4,0,0,0,0,0,0,0,0,0,10,0,0,9,1,3,29,7,4,0,5,0,0,1
"BMP8B",0,1,484,37,23,13,2021,43,0,108,0,1,5,6,461,0,60,7963,199,18,1085,533,227,34,1085,0,0,354
"BMPER",1,15,1567,11,28,177,0,84,0,4,0,0,0,4,22,0,0,103,12,208,17,4,0,41,1,0,0,38
"BMPR1A",0,69,1965,610,479,175,543,520,0,439,35,1308,342,14,1195,0,596,1024,767,600,1899,1550,1839,1498,605,1,759,1110
"BMPR1B",0,6,409,387,12,228,1744,28,0,0,0,1991,34,1,113,0,352,429,226,1351,92,53,3,6,2,0,37,702
"BMPR2",0,505,6665,2662,4836,817,1533,1323,0,1160,246,1630,815,7,3620,0,1846,2390,3017,1647,4863,2431,5033,3415,2603,2,2782,5558
"BMS1",2,822,4845,2597,2379,89,1910,1544,0,1633,582,1843,873,72,3476,0,1540,2647,1108,2429,2224,2582,2605,3030,2363,143,592,3067
"BMX",0,0,2,20,863,45,51,9,0,938,1,2,259,1,99,0,0,7546,7,0,190,32,636,13,1,0,125,32
"BNC1",0,0,2808,7,5,21,0,113,0,0,0,0,0,2,0,0,812,0,0,171,0,0,898,0,57,0,241,190
"BNC2",82,465,3085,2858,4487,490,922,917,0,597,261,476,713,70,6851,0,2893,339,3358,8589,2091,6358,2031,7501,3040,12,438,3449
"BNIP1",1,0,856,1039,803,96,693,198,0,260,4,1022,80,1,695,0,1284,614,146,587,674,1029,821,557,540,0,36,855
"BNIP2",9,259,4150,4228,3388,267,1085,1431,5,2420,57,1209,827,46,2690,1,27,2148,1557,3243,3593,4890,2538,3214,2286,8,1005,5325
"BNIP3",0,160,5112,1382,478,64,637,200,0,674,7,1353,187,0,387,0,319,462,359,2024,728,1093,681,800,390,0,35,458
"BNIP3L",646,567,15842,8789,5690,299,3638,1285,0,3053,335,2212,937,18,9941,0,926,6412,3467,7747,3527,11980,5803,4901,4129,167,224,7207
"BNIPL",1,43,33,20,165,124,35,0,0,1,1,4,0,1,14,0,49,37,58,139,2,16,2588,28,329,0,182,18
"BOC",1,242,704,152,149,37,146,109,0,159,0,24,89,11,584,0,157,18,8,168,379,255,1801,231,374,0,7,110
"BOD1",1,1294,921,1347,815,65,638,307,0,1105,51,1814,227,0,800,0,1097,890,350,1759,1120,806,927,1430,1088,22,227,697
"BOD1L1",522,4932,11878,6244,6675,264,5701,12551,0,6958,7258,8276,1995,307,5612,0,4176,4924,3021,9531,8829,3031,6862,7780,1979,676,1442,5446
"BOD1L2",0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BOK",0,37,511,123,22,0,2,0,0,85,0,4,26,4,27,0,0,14,7,1,57,75,130,257,505,0,21,133
"BOLA1",0,1,248,391,258,13,106,72,0,248,2,230,2,0,138,4,519,334,44,986,497,169,216,154,489,0,35,384
"BOLA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLA2B",0,0,2,2,0,0,2,1,0,1,0,14,0,0,4,0,2,1,0,3,0,2,1,1,3,0,0,14
"BOLA3",1,38,1036,1828,764,37,800,107,0,160,19,833,32,6,712,269,309,1201,262,1192,585,1058,374,611,546,1,76,755
"BOLL",0,1,10,22,40,8,49,41,0,0,0,2,5,0,0,0,0,14,4,0,18,4,82,0,0,0,0,6
"BOP1",0,154,463,631,98,17,833,158,0,337,824,4001,203,31,294,0,428,591,74,165,291,132,242,201,336,0,658,640
"BORA",0,13,974,284,365,13,159,77,1,0,22,723,45,1,515,0,59,336,240,916,195,522,627,196,217,0,5,618
"BPGM",15,5,1421,2751,3812,96,1128,451,0,1634,338,193,138,0,1874,0,636,2429,1696,1764,1533,4153,856,646,1483,715,90,2476
"BPHL",1,247,1057,2061,569,121,346,93,0,180,1,370,5,4,503,0,351,415,413,1380,1179,1136,462,1958,815,4,573,1132
"BPI",0,4,1,7,56,53,23,24,0,99,0,0,84,3,13,0,0,5,8,67,92,0,0,2,34,0,0,30
"BPIFA1",0,0,0,0,20,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFA2",0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFA3",0,0,0,0,0,49,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"BPIFB1",0,1,0,1,921,41,0,1,0,8,0,0,0,1,0,0,0,68,0,0,29,0,0,0,0,0,0,0
"BPIFB2",0,0,1,0,36,10,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0
"BPIFB3",0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BPIFB4",0,0,0,3,10,12,0,0,0,0,0,0,0,1,0,0,0,39,2,0,0,0,0,0,0,0,0,0
"BPIFB6",0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFC",0,7,2,0,4,135,28,4,0,1,0,0,0,2,0,0,0,0,1,0,2,0,330,0,118,0,45,0
"BPNT1",0,49,1061,2010,1403,128,517,141,0,159,430,442,155,8,1559,0,103,1407,861,800,464,908,451,736,1247,1,247,1481
"BPTF",443,6725,12449,16871,9872,251,7172,11631,0,5307,5910,11431,2796,444,10754,105,7172,7744,4549,9894,11885,7772,12344,8808,5046,83,3396,8248
"BPY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAF",191,157,1210,1482,2062,186,1025,493,0,383,158,284,261,13,1003,0,253,1609,620,2183,1521,1599,653,752,638,0,245,876
"BRAP",22,73,1563,456,1025,158,425,485,0,193,73,363,221,5,918,0,1707,1078,472,1662,904,1045,1308,1342,825,1,13,875
"BRAT1",6,148,102,137,59,14,66,134,0,77,60,101,36,27,90,1,65,216,48,36,195,104,164,188,149,0,189,166
"BRCA1",0,196,2995,3581,707,325,1005,1300,0,153,722,461,17,84,5086,0,1830,1332,974,1463,547,1264,548,1356,2041,329,443,4172
"BRCA2",2,378,7020,2276,1096,200,1012,2252,0,331,232,2094,160,21,1631,0,1199,997,1340,1632,905,944,974,1193,1844,1,380,2663
"BRCC3",2,132,5981,1570,1874,43,1538,689,0,236,329,774,488,67,1890,0,1955,2262,776,2094,1741,1571,1730,1184,544,0,829,1772
"BRD1",2,273,984,625,263,47,236,440,0,93,122,362,101,16,553,0,514,494,156,638,1008,405,410,565,927,1,306,396
"BRD2",247,4947,7976,8182,6851,492,3878,4543,1,4524,1665,6373,2668,347,3660,0,2036,5475,2874,6020,8305,5679,6060,6264,8217,131,3409,6466
"BRD3",3,229,1126,1027,332,134,277,485,0,655,185,857,276,38,483,1,516,1008,424,1215,1285,545,1088,1625,1263,57,157,667
"BRD4",149,1078,3447,1702,910,138,2108,789,3,1298,629,2042,1165,130,1498,2,1059,1407,820,3397,2825,2013,2664,1310,1618,510,1172,2500
"BRD7",5,460,3477,1269,1897,58,971,1550,0,853,699,1032,383,26,1322,0,321,1319,851,1596,1874,1263,2028,1608,1237,40,372,1652
"BRD8",8,2114,6263,7664,10596,388,4475,3922,1,875,136,3108,836,221,6684,0,3605,5340,10674,4322,9481,9407,5448,5852,5028,0,1738,5143
"BRD9",1,481,594,887,376,55,1057,265,0,720,342,1196,156,94,503,0,960,1378,410,697,1487,788,954,1198,970,16,1030,1018
"BRDT",0,3,0,0,0,125,0,4,0,7,0,0,0,2,0,0,0,0,8,0,0,0,0,0,10,0,0,5
"BRF1",19,111,174,122,129,212,119,130,0,39,34,331,253,20,117,0,148,75,42,207,246,127,281,242,288,12,56,96
"BRF2",0,1,257,245,208,9,123,1,0,4,0,0,0,0,295,0,35,311,43,1,252,436,352,224,205,0,0,359
"BRI3",0,788,1328,1071,1401,162,2005,839,0,355,116,1333,693,55,1957,12,1163,3656,909,981,932,1878,744,2475,1569,33,712,1511
"BRI3BP",0,50,2121,723,725,242,825,154,0,80,33,515,322,11,1597,0,563,994,629,954,468,752,2946,831,937,0,163,1836
"BRICD5",0,83,10,67,2,1,33,1,0,1,1,4,1,0,37,0,0,43,3,11,28,35,35,41,159,0,49,34
"BRINP1",0,2,284,0,0,16,0,0,0,0,0,0,0,2,1,0,0,0,1,0,24,0,122,0,0,0,0,38
"BRINP2",0,3,0,0,0,27,0,2,0,1,0,0,0,6,0,0,0,14,0,0,3,0,0,0,0,0,0,0
"BRINP3",0,0,0,0,82,9,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BRIP1",0,25,1403,2039,320,146,227,553,0,1,107,556,66,20,883,0,345,714,233,429,216,557,159,902,1180,0,9,783
"BRIX1",4,164,3709,4835,2037,194,2121,434,0,429,896,3724,125,12,2928,0,171,4295,1394,2744,2226,3778,1823,2197,1160,1,694,3326
"BRK1",18,778,16493,11003,10101,598,16246,1153,0,6603,915,7453,1663,134,9906,1,3055,15480,5151,13199,9178,15897,10531,8703,10893,2231,1673,16811
"BRMS1",1,83,2933,1047,1602,42,1562,61,0,1234,9,586,500,12,927,675,956,2309,679,1432,1858,2710,1793,1075,1745,0,1383,1725
"BRMS1L",0,248,1018,583,698,154,310,14,0,688,4,1008,63,9,456,0,1320,311,204,625,641,575,1522,879,359,0,45,667
"BROX",291,646,13775,12062,11519,134,3877,1922,2,2361,121,2388,560,37,9565,5,1029,15175,7115,3418,6064,13108,4651,3742,4153,700,1358,12325
"BRPF1",14,265,688,375,160,109,315,455,0,265,19,327,43,2,339,0,252,324,296,720,358,338,112,613,679,0,70,454
"BRPF3",0,25,1179,1090,915,51,705,238,0,155,6,821,93,3,875,0,174,657,416,744,1291,598,658,955,565,1,542,943
"BRS3",0,0,0,0,0,69,0,1,0,1,0,0,0,0,12,0,0,0,0,0,4,0,2,0,0,0,0,0
"BRSK1",0,0,0,7,3,15,0,1,0,17,59,17,2,4,0,0,0,155,0,1,25,8,0,0,1,0,24,6
"BRSK2",2,22,1,0,0,0,10,11,0,6,0,0,0,15,8,0,0,0,1,10,0,1,4,1,14,1,22,4
"BRWD1",70,2081,7623,4921,5107,330,3840,4319,0,2972,795,2849,1420,160,4539,40,2599,2971,1455,4085,5530,2756,6081,1900,3088,22,2653,3800
"BRWD3",0,423,2982,1396,1325,135,952,1503,1,338,389,1330,300,47,1130,2,1659,544,739,2355,1644,1436,1254,1305,545,0,1044,1522
"BSCL2",1,38,281,277,902,40,428,41,0,4,0,8,11,14,332,0,438,600,148,304,407,529,356,130,313,17,24,732
"BSDC1",11,196,5023,3387,2428,283,2317,740,1,477,104,1548,488,45,3889,0,678,3936,1796,3644,4844,4919,2937,2920,5463,0,2512,3554
"BSG",496,246,20210,20506,8044,273,11883,531,1,1808,475,6254,580,49,25553,6,4069,19556,4242,29783,7833,12106,6019,12500,30816,252,3992,20177
"BSN",6,14,21,11,57,21,43,8,0,1,1,1,0,11,23,0,49,88,36,44,68,2,51,27,17,0,0,13
"BSND",4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BSPH1",0,0,0,0,1,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BSPRY",0,3,3,38,59,80,4,26,0,1,0,26,21,0,56,0,1,14,7,0,25,22,312,8,274,0,10,5
"BST1",1,15,402,108,261,127,193,134,0,372,4,170,51,1,88,0,60,347,50,380,117,173,143,235,536,0,3,187
"BST2",27,231,3331,10577,29784,891,10550,1645,0,1785,64,16425,1928,17,3721,496,243,9877,3178,1075,13120,25206,1943,8186,3601,1,248,21363
"BSX",7,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTAF1",144,2336,4450,1312,1592,274,993,2617,0,462,629,1172,524,106,1260,0,23,987,1479,1576,2321,2008,4000,1908,1624,5,1630,1307
"BTBD1",2,212,3192,2267,1392,101,1208,414,0,110,25,811,206,4,1512,90,329,1946,1100,1464,1564,1409,505,1380,1425,7,280,2085
"BTBD10",1,691,2923,2013,3993,259,1014,393,0,548,54,1971,395,4,1228,0,875,1814,994,6601,1413,3025,2400,1006,1549,0,206,3404
"BTBD11",0,54,36,4,70,79,42,80,0,8,0,109,0,1,62,0,0,6,23,1,27,4,1087,1,173,0,295,29
"BTBD16",0,0,5,0,1,35,254,0,0,5,0,0,0,1,0,0,0,8,5,0,30,3,100,0,38,0,31,14
"BTBD17",0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTBD18",0,0,32,57,128,23,51,0,0,0,0,0,14,1,15,1,0,40,13,100,161,86,15,41,122,0,23,22
"BTBD19",0,246,1522,363,1007,77,770,128,1,232,6,1171,340,47,2033,0,131,2044,1169,494,2047,1712,389,313,2289,0,242,758
"BTBD2",1,4,141,70,49,3,55,16,0,12,43,216,12,3,40,0,6,210,12,170,325,97,159,170,195,0,27,124
"BTBD3",1,180,2110,2174,1142,222,2030,308,0,558,184,1312,66,195,1423,1,1765,2298,713,3455,2275,506,573,2997,1946,0,312,1140
"BTBD6",0,96,633,691,336,16,365,285,0,44,15,564,40,8,725,0,224,475,275,419,695,872,1072,1399,1425,331,357,446
"BTBD7",3,906,2887,1731,2095,367,1054,1391,0,923,254,1814,570,98,1474,0,1194,1130,1008,2127,2887,1603,2521,3535,1602,0,468,1215
"BTBD9",0,53,654,528,536,67,243,260,0,31,30,1,74,26,409,0,80,280,469,344,920,568,356,757,1080,0,584,487
"BTC",0,4,38,0,67,2,16,1,0,1,0,57,0,7,0,0,0,145,3,0,41,11,307,0,11,67,0,1
"BTD",3,183,908,2080,1846,11,1044,101,0,76,12,15,151,0,1989,0,402,1270,520,508,936,3949,1661,1470,2055,0,223,1677
"BTF3",82,191,20114,14710,10808,342,13078,3000,1,9317,610,17349,2152,71,12066,6,4454,7023,5784,14976,9694,31269,15497,9442,11189,1345,2643,12014
"BTF3L4",1,131,9422,4258,4949,354,2989,755,0,261,23,2251,521,20,4445,1,700,3287,2234,2665,3277,5184,1998,3748,4423,0,1001,4553
"BTG1",217,1215,12409,2438,4464,588,1847,2771,1,2344,114,3079,1830,116,2539,1,5294,3514,2365,3025,3980,5042,6785,3504,3089,311,1743,1707
"BTG2",1,177,1628,1182,1881,116,897,1084,0,546,8,515,773,6,1155,0,0,1255,578,315,1365,1447,2573,975,1233,257,533,747
"BTG3",1,27,1644,1022,416,98,690,295,0,52,39,3039,186,2,769,0,121,1388,640,366,650,583,1585,612,807,0,268,634
