"GENE_SYMBOL","GSM4799045--1050685","GSM4799049--1081893","GSM4799054--1005994","GSM4799056--1040211","GSM4799059--1005335","GSM4799060--1006796","GSM4799071--1055419","GSM4799075--1087088","GSM4799076--1096936","GSM4799079--1064719","GSM4799085--1096489","GSM4799086--1045404","GSM4799091--1028337","GSM4799095--1062786","GSM4799096--1045396","GSM4799102--1020143","GSM4799108--1046677","GSM4799111--1028265","GSM4799113--1097176","GSM4799116--1014302","GSM4799120--1091717","GSM4799122--1030566","GSM4799128--1028046","GSM4799129--1011434","GSM4799130--1064847","GSM4799131--1042693","GSM4799132--1081897","GSM4799133--1042013"
"IL36G",0,0,13,0,0,8,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60,0,401,0
"IL36RN",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,27,0,135,0,531,0
"IL37",0,0,22,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,113,0,1,0,0,0
"IL3RA",1,360,154,200,520,8,210,80,0,171,23,467,548,79,425,0,242,256,145,236,182,206,1184,338,215,1,1,295
"IL4",0,0,4,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,5,3,16,0,0,2,28,0,0,6
"IL4I1",0,101,27,55,51,6,20,42,0,0,0,42,4,1,69,0,0,9,34,1,58,84,0,21,22,0,0,15
"IL4R",15,3124,671,291,447,83,875,401,0,212,0,2545,444,198,470,1,132,800,625,358,1383,538,2314,282,516,0,713,725
"IL5",0,0,0,1,9,10,8,2,0,1,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,0,0,8
"IL5RA",0,2,1,2,39,108,1,2,0,1,0,0,0,0,0,0,0,0,3,203,0,5,0,14,64,0,0,9
"IL6",0,5,345,50,41,11,94,53,0,0,0,123,1,1,23,0,0,442,177,291,228,69,30,6,0,0,1,74
"IL6R",3,2088,529,246,803,562,1491,590,1,670,9,304,133,69,3288,0,1028,959,568,930,1036,4398,1403,1316,2217,4,1070,5464
"IL6ST",1,3452,6612,3978,8077,287,7482,4257,1,3859,127,8527,2709,139,7856,0,6780,6801,2946,14398,11852,5762,12172,10325,2998,623,1410,4092
"IL7",0,99,150,178,234,53,149,210,0,0,3,812,26,4,74,0,252,143,369,176,342,347,130,108,25,0,20,249
"IL7R",372,4607,419,223,2674,73,1921,1271,0,697,1,1749,995,158,1547,10,585,2021,242,23,1477,819,1943,302,584,0,48,585
"IL9",0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"IL9R",0,0,0,5,17,5,1,0,0,1,0,4,0,0,13,0,0,12,21,0,83,13,0,0,0,0,0,0
"ILDR1",1,3,0,0,35,45,2,29,0,1,0,164,0,0,0,0,0,0,5,0,6,14,35,0,0,0,0,0
"ILDR2",0,0,1185,2,11,186,0,63,0,1,0,0,0,2,76,0,147,0,2,360,22,18,0,0,473,1,0,88
"ILF2",100,1031,20877,33353,16771,621,11677,1585,0,450,214,11419,1981,22,14584,2,4142,11295,5913,44080,7786,19027,11986,6686,15247,56,1616,17003
"ILF3",8,5315,8693,7260,3653,505,5329,3691,0,1430,3153,7148,1245,964,4269,1,6835,6096,2870,7909,6189,3474,8562,7538,8777,16,5719,5644
"ILK",0,41,1189,376,878,30,714,145,0,152,36,389,365,1,432,0,18,753,366,690,1353,1067,717,219,919,0,183,1224
"ILKAP",2,389,1084,1057,1031,236,588,70,0,574,73,742,358,22,654,1,1199,1425,1199,984,1018,602,1390,1215,1441,5,623,578
"ILVBL",8,293,925,5860,3360,50,522,249,0,53,108,1587,347,9,2811,0,1789,955,490,2940,621,2711,1644,2393,3568,119,733,1110
"IMMP1L",0,51,1279,1621,1295,64,543,191,1,107,41,510,45,39,511,0,526,833,283,594,456,832,529,727,623,0,184,890
"IMMP2L",1,16,588,794,1386,38,714,117,0,1296,189,501,70,5,4120,0,328,1388,593,720,801,5991,821,3932,2447,0,40,913
"IMMT",5,1700,9633,10631,6669,253,4777,855,0,1715,100,2085,560,63,5558,11,1891,9952,2026,7320,4579,8137,5284,3859,5173,7,936,8357
"IMP3",0,113,476,654,354,46,369,508,0,222,55,421,187,3,514,0,485,1006,267,420,456,628,688,911,713,0,131,902
"IMP4",0,118,2322,2338,908,86,1335,595,0,274,157,3938,362,8,736,0,620,4792,683,1991,2222,1965,1205,1566,3372,1,1528,1689
"IMPA1",17,101,2489,2081,2128,205,1100,441,0,916,255,3211,43,11,1979,7,227,1404,652,609,784,2271,370,806,1571,36,710,4331
"IMPA2",1,0,679,541,256,150,163,2,0,20,0,49,56,1,234,0,4,1224,160,15,186,432,2079,118,839,3,230,355
"IMPACT",1591,79,3321,1220,2229,98,1237,258,0,159,287,1369,144,1,1801,0,7,1227,837,940,1522,702,504,80,1473,12,394,1634
"IMPAD1",16,209,6796,4965,3319,252,7109,840,0,1217,191,13150,377,11,4963,0,2123,4948,1641,5087,2406,3345,721,2463,3350,11,911,4404
"IMPDH1",1,126,102,245,64,9,230,78,0,23,70,276,68,8,78,0,24,384,15,149,570,102,166,403,298,1,51,408
"IMPDH2",35,124,12521,10539,3542,271,6710,674,1,3885,402,14982,2601,75,7674,229,668,5497,2186,18097,7201,23296,9496,7250,19544,647,2278,11686
"IMPG1",0,14,6,0,0,51,0,0,0,8,0,0,0,1,0,0,0,2,1,0,1,15,1,1,0,0,0,3
"IMPG2",0,5,81,54,29,112,304,30,0,9,0,0,14,2,65,0,0,52,73,1,86,12,25,50,3,0,0,94
"INA",0,1,0,0,0,8,0,61,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,26,0
"INAFM1",0,3,25,44,20,0,44,69,0,48,24,103,61,8,21,0,152,92,6,5,118,43,42,60,45,0,7,48
"INCA1",0,50,206,119,81,13,41,33,0,3,7,5,14,2,48,0,0,58,35,125,129,74,174,101,88,0,4,83
"INCENP",0,35,191,136,79,10,301,70,1,34,45,44,1,12,167,0,59,67,133,61,46,302,194,295,331,1,61,393
"INF2",318,174,460,362,99,21,369,54,0,145,71,294,59,5,306,1,293,314,103,371,586,277,294,848,863,0,265,262
"ING1",0,124,557,262,206,72,396,273,0,1,2,76,207,1,398,0,145,167,262,309,719,375,804,702,394,0,10,514
"ING2",0,6,208,205,566,42,290,48,0,4,5,523,2,8,301,0,135,236,111,502,187,90,174,284,178,0,28,168
"ING3",7,143,2404,2106,4718,234,710,834,1,1465,81,165,216,28,2655,1,480,1722,630,860,1880,3784,243,1814,1135,0,15,3746
"ING4",0,385,1539,1171,2363,164,1273,425,0,1016,48,1793,804,15,1449,0,899,1401,920,1814,2850,2398,1947,1816,1894,10,1283,2347
"ING5",429,688,676,671,490,67,608,679,0,460,425,843,199,81,402,0,641,1102,262,669,765,463,1046,561,833,0,682,763
"INHA",0,0,36,21,26,16,28,6,0,0,0,0,0,4,14,0,1,219,5,4,13,7,0,90,87,0,66,33
"INHBA",1,1266,349,790,762,102,392,553,0,259,1,833,871,19,316,0,34,160,179,35,3396,98,530,276,387,0,522,2340
"INHBB",0,21,36,18,0,6,22,18,0,466,1,64,34,5,17,0,84,20,16,16,29,17,314,12,49,0,0,9
"INHBC",0,0,0,0,11,11,0,0,0,1,0,0,0,0,0,0,143,0,36,0,3,0,0,0,0,0,0,7
"INHBE",0,0,68,4,8,2,8,1,0,0,0,0,0,4,17,0,0,22,110,64,0,6,26,21,62,0,0,17
"INIP",876,296,2836,3342,1793,281,861,447,0,927,149,1818,260,23,1219,1,672,2639,1136,2040,1553,2080,2516,1872,1313,106,246,1916
"INMT",16,81,19,58,2355,72,169,94,0,10828,222,0,1380,1,296,0,0,69,149,133,665,515,2611,220,1008,1781,1,1897
"INO80",111,1222,1752,636,871,243,769,843,0,335,137,775,440,30,722,0,253,645,517,800,1368,682,1336,653,715,237,116,1083
"INO80B",0,34,29,31,37,9,48,148,0,11,29,8,34,4,45,0,15,92,16,12,114,81,61,111,76,0,206,53
"INO80B-WBP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,1
"INO80C",866,46,538,602,557,168,589,325,0,17,1,681,196,1,545,0,53,333,206,320,416,445,615,133,581,154,415,497
"INO80D",982,1506,4330,1760,2227,576,2218,2367,0,1148,97,1802,680,99,1585,0,1447,4017,2274,3586,3750,3312,2901,3936,3185,1,1145,2032
"INO80E",0,43,33,93,47,1,53,26,0,34,16,115,27,2,45,0,1,75,20,54,131,92,35,58,102,0,24,68
"INPP1",0,132,1168,689,1521,55,727,341,0,203,43,314,127,1,552,0,10,2100,461,549,909,750,2025,611,558,0,494,1033
"INPP4A",108,1858,1633,665,1168,253,1110,1351,1,677,107,953,514,99,756,0,21,1661,847,694,1907,1290,1445,993,1639,0,79,1331
"INPP4B",0,396,5888,11706,2790,801,3632,2326,0,1429,147,2215,761,51,10179,0,7061,3885,4575,28223,4286,3993,1931,7601,4847,85,789,17476
"INPP5A",8,8,254,92,127,26,204,72,0,745,0,906,133,0,111,0,1,248,137,322,393,207,906,239,308,16,33,191
"INPP5B",9,545,1329,1591,1551,236,1062,438,0,139,4,1093,57,12,1474,0,597,1775,613,1228,1583,1632,988,1251,1965,6,729,2045
"INPP5D",6,2690,933,308,509,107,490,2189,1,446,70,100,979,157,458,4,361,891,675,126,992,597,908,356,185,0,44,689
"INPP5E",0,417,370,356,123,30,212,213,0,2,57,281,55,35,179,0,28,426,100,528,154,150,736,297,347,0,821,139
"INPP5F",1,566,835,823,576,122,3104,606,0,25,125,349,79,19,3354,0,347,3212,2235,335,3858,6369,444,2263,3341,2,201,2038
"INPP5J",0,1,10,11,0,10,0,1,0,60,0,6,0,15,0,4,0,4,1,0,30,0,1,0,2,0,1,13
"INPP5K",1,187,556,646,489,84,784,494,0,880,141,266,221,156,646,1,206,992,416,202,1151,1030,1173,667,1085,148,261,774
"INPPL1",0,791,304,532,176,42,156,354,0,279,128,878,155,24,164,0,359,418,136,389,633,230,280,799,345,1,164,237
"INS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INS-IGF2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INSC",0,0,0,1725,2572,73,0,188,0,0,0,1,0,2,0,0,1,12,5,512,1086,6,283,62,184,0,0,70
"INSIG1",0,40,1596,1053,713,178,876,788,0,548,46,1520,215,7,1086,0,1420,3008,799,1656,1059,528,1907,452,679,0,144,1043
"INSIG2",9,96,5232,2024,2163,153,944,319,0,480,4,1026,260,15,629,0,765,2466,585,2026,1445,2444,891,1216,1168,3,15,963
"INSL3",0,203,14,16,0,10,16,70,0,0,0,16,0,12,13,0,14,10,8,4,35,2,198,0,18,0,0,11
"INSL4",0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0
"INSL5",0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"INSL6",0,66,225,75,197,14,59,487,0,0,0,0,89,0,120,0,0,36,83,142,342,53,14,78,0,0,0,67
"INSM1",0,2,11,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,17,0,0,0,0
"INSM2",0,1,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,11,0,1,0,10
"INSR",508,1086,4036,3442,3061,459,1566,630,0,881,48,4502,1225,284,6160,0,2356,5633,1201,2781,4569,5931,5774,2722,1697,559,702,6607
"INSRR",0,2,0,0,0,9,0,27,0,16,0,0,4,5,0,0,72,3,0,0,11,0,1,0,0,0,4,0
"INTS1",28,53,33,89,14,10,58,8,0,56,49,122,12,6,85,2,74,121,18,192,235,31,26,119,63,0,31,87
"INTS10",3,826,3694,2430,1262,263,1984,785,1,329,152,1529,413,35,3601,0,638,3519,798,2846,2905,3667,2394,1660,2343,6,738,3643
"INTS12",0,174,2233,2058,2161,44,1607,466,0,334,20,337,79,0,2124,0,444,954,784,2225,1184,1958,940,1415,985,0,277,1697
"INTS2",0,15,1343,1593,931,162,260,192,0,89,8,2280,29,1,1085,0,226,706,369,177,925,967,803,613,954,0,113,816
"INTS3",19,492,2654,1844,1380,294,912,728,0,679,263,1506,518,90,2342,0,2149,1603,1285,3663,2108,1748,2333,1507,4436,1,1192,2495
"INTS4",0,249,1849,6667,3224,236,937,569,1,324,62,747,90,48,1980,0,241,1445,1016,1149,2137,2723,1611,1305,638,1,1607,1730
"INTS5",0,13,338,115,259,10,181,12,0,16,0,697,56,2,88,0,0,514,68,732,327,206,252,247,301,0,19,251
"INTS6",2,106,11595,1764,3213,712,1983,1819,0,688,359,1224,328,38,1994,19,1231,2080,1933,3780,2675,2209,2677,2519,1720,1,1057,2530
"INTS7",1,60,1595,3416,1642,113,709,293,0,212,18,1721,305,65,1492,1,22,1410,701,965,745,1406,1466,1599,2139,0,229,2676
"INTS8",1,242,1981,2195,1666,182,909,941,0,308,16,2835,382,4,1366,0,0,1351,498,803,1031,805,1286,964,389,1,561,2316
"INTS9",1,3,1667,1689,1239,205,817,196,0,11,189,296,41,21,2960,0,405,1392,488,1661,984,1630,1320,666,2394,0,165,4361
"INTU",1,809,2520,1105,1623,397,676,506,0,216,129,1465,138,44,850,0,1202,1109,855,2434,1115,573,2257,716,666,0,680,1308
"INVS",3,444,1435,1223,716,37,675,370,0,52,27,728,116,16,813,0,1,823,460,1532,1014,884,2099,711,1330,0,155,1081
"IP6K1",0,3,541,907,316,18,823,55,0,830,15,451,94,3,459,0,1873,924,725,1108,984,669,995,1035,2015,0,187,596
"IP6K2",18,1485,5473,5356,3402,240,3596,1378,0,906,84,1765,1051,75,2988,0,1267,3332,2610,8542,4107,5112,7648,5558,3668,88,1184,5970
"IP6K3",0,2,682,834,500,60,0,14,0,2,0,0,0,1,614,0,0,0,35,331,0,189,0,391,196,0,0,31
"IPCEF1",4,101,298,156,662,76,188,387,1,42,2,0,54,5,93,0,3,131,187,5,137,417,223,84,0,0,0,98
"IPMK",0,122,597,229,140,38,143,291,0,187,1,124,125,1,182,0,43,132,265,13,451,138,275,729,285,0,66,306
"IPO11",1,100,1330,1114,1161,252,590,282,0,328,6,354,288,4,1036,0,1584,711,334,929,503,780,1474,1216,978,8,51,1338
"IPO13",0,85,1984,1523,1285,182,1349,349,0,247,10,520,626,88,1350,2,1166,2005,426,1968,1354,1333,1364,1206,1657,24,1861,1538
"IPO4",0,25,241,212,58,12,179,62,0,0,7,428,17,25,229,0,283,87,124,198,200,146,295,293,396,0,95,173
"IPO5",27,224,14030,4373,3582,225,3206,701,0,2026,287,3206,848,55,4745,0,2055,4539,2116,5093,2491,4090,5526,2467,3701,11,649,5930
"IPO7",19,762,10634,4724,4562,546,3548,1478,0,1729,91,12748,1023,119,4857,0,3636,3009,2587,5218,3694,5304,3972,4234,5788,4,1157,6124
"IPO8",3,752,2639,1171,1503,173,1309,714,0,171,37,6050,346,51,1132,0,668,1646,837,1799,1603,1777,1595,1837,1974,1,765,1430
"IPO9",7,1393,7867,10806,5293,809,3421,2968,1,379,770,2495,484,199,6322,0,1815,4821,2349,2835,4141,5089,3591,4431,9806,12,1742,6678
"IPP",134,162,1571,704,894,126,1211,371,3,207,13,68,59,18,842,1,160,1420,310,1524,753,416,379,294,1038,37,142,901
"IPPK",0,1,36,105,61,21,20,0,0,1,1,11,0,1,36,0,0,78,16,95,54,58,193,48,150,0,12,63
"IQCA1",0,19,23,72,121,27,57,188,0,578,4,0,200,24,11,0,0,7,5,0,84,37,508,20,93,0,0,216
"IQCA1L",0,0,0,1,0,8,0,0,0,2,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"IQCB1",10,1496,4884,987,1404,49,1085,817,0,581,411,903,294,60,2685,0,394,1455,1181,1840,1614,1927,1472,400,588,48,162,2294
"IQCC",0,1,277,768,569,10,50,22,0,116,2,1,127,0,313,1,36,332,80,749,163,248,296,83,491,0,3,348
"IQCD",1,10,120,95,171,37,17,28,0,1,0,0,112,0,67,0,0,155,62,0,167,122,20,87,245,0,0,263
"IQCE",1,157,565,570,350,135,157,158,0,760,12,412,80,78,246,0,548,555,348,1003,370,265,227,141,570,28,290,423
"IQCF1",0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF2",0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF3",0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"IQCF5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCG",0,654,1189,543,802,270,293,289,0,177,40,1420,171,43,1129,29,1382,990,1337,551,871,1250,800,855,441,0,38,816
"IQCH",0,37,573,170,146,116,60,68,0,0,0,0,3,3,247,0,0,130,67,202,98,105,75,139,315,0,12,368
"IQCJ",0,1,0,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,37,0,0,0,0,1,0,0,0,0
"IQCK",19,127,763,2215,1105,49,147,33,0,551,14,165,21,2,990,0,0,621,218,380,499,1136,275,422,435,0,2,204
"IQGAP1",28,1949,38616,13242,12756,603,18360,4568,0,3309,238,5357,2434,98,15163,5,3276,14735,12711,9381,13074,15981,10505,12987,7786,22,3009,21834
"IQGAP2",2401,666,942,664,1849,100,1414,2854,0,442,228,1047,915,87,7688,1,24,406,2477,326,989,14845,1840,3178,431,1,1,927
"IQGAP3",1,191,2276,997,37,173,234,190,0,1,65,1415,12,40,820,0,1560,592,385,1374,142,125,134,480,1373,10,159,964
"IQSEC1",2,564,690,618,337,32,968,489,0,598,135,1283,831,91,307,0,337,1236,307,978,1277,584,1092,1005,855,0,92,1040
"IQSEC2",1,8,121,147,199,13,514,15,0,15,4,17,11,0,177,0,1,505,46,52,222,266,83,84,217,0,13,150
"IQSEC3",0,0,1,3,12,15,1,100,1,2,1,2,0,10,0,0,0,3,12,1,49,0,0,13,0,1,6,9
"IQUB",0,2,5,35,76,56,1,0,0,0,0,0,1,2,3,0,0,1,1,0,15,7,2,4,0,0,0,71
"IRAK1",1,362,2951,674,426,8,1211,91,0,852,25,2643,431,9,813,27,518,2102,704,235,1902,619,1101,601,1234,7,567,933
"IRAK1BP1",4,27,354,250,565,148,139,92,0,5,23,129,0,23,92,0,71,121,131,282,366,330,425,607,345,0,21,249
"IRAK2",0,33,277,9,85,60,332,31,0,0,0,406,171,2,48,0,0,661,46,0,325,71,56,61,95,0,0,252
"IRAK3",40,709,404,84,919,134,1207,516,0,1400,24,221,849,18,253,0,609,516,150,279,794,597,1332,260,614,1,342,2833
"IRAK4",2,769,1291,1099,1627,232,734,1435,0,292,14,75,329,34,1556,2,1547,1244,927,5114,1373,1926,1469,943,1645,0,334,2053
"IREB2",4,120,4580,2744,3302,404,1261,948,0,420,111,1519,307,65,2271,0,2315,2558,1472,3212,2070,2357,3940,2462,1826,5,276,4351
"IRF1",234,945,3753,4955,3347,334,3807,4058,0,567,216,411,318,39,1466,691,1979,794,4001,1967,10730,5541,1847,1273,1557,50,59,1706
"IRF2",3,472,2039,1403,2199,154,1595,2032,0,1056,32,929,252,12,1644,0,748,1507,1253,2433,3210,2237,1397,1371,584,0,218,1415
"IRF2BP1",0,9,13,38,15,0,34,27,0,30,0,109,3,0,16,0,21,70,19,56,79,46,84,41,48,0,100,36
"IRF2BP2",70,966,7171,5570,3161,177,2697,1118,0,1136,109,4163,1040,150,6407,0,2188,2373,2902,5684,4716,6358,5288,3578,6936,4,770,4467
"IRF2BPL",2,88,437,354,266,9,249,195,0,247,28,452,97,25,344,0,699,520,190,497,818,367,523,1036,546,73,291,293
"IRF3",4410,331,477,521,397,81,572,717,0,720,25,655,433,123,381,2,1002,690,286,807,1015,519,1245,433,900,6,989,627
"IRF4",0,36,262,257,6270,339,512,1019,0,350,684,3,274,6,5404,0,885,728,3775,1566,359,2408,1181,909,3991,4,1417,3260
"IRF5",1,710,318,86,232,9,263,380,0,0,0,7,234,86,148,0,264,1030,181,0,531,109,91,242,296,0,49,301
"IRF6",0,0,46,6,239,49,38,0,0,0,0,317,0,0,0,0,0,122,46,0,1,22,5020,1,679,0,544,58
"IRF7",0,300,135,182,388,43,354,855,0,103,3,763,64,17,60,4,372,204,132,75,1408,134,452,342,147,1,175,204
"IRF8",0,1420,828,268,907,47,530,691,0,9,0,1,912,37,574,1,91,343,479,244,1345,852,1247,510,341,0,0,827
"IRF9",1,65,867,715,1200,65,317,167,0,53,8,600,117,1,473,0,444,294,549,578,1277,1255,279,1042,578,0,162,337
"IRGC",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IRGM",0,12,7,1,13,9,0,0,0,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"IRGQ",1,113,1460,1796,1762,274,1158,257,0,650,37,1294,435,3,1216,0,760,2731,522,2887,1786,2063,1523,1515,1659,1,136,2796
"IRS1",0,81,6923,150,121,128,66,204,0,43,51,199,26,5,54,15,0,37,113,490,310,183,251,970,137,0,22,193
"IRS2",1,52,2120,1124,1253,266,2187,128,0,95,43,466,243,8,2105,0,5435,2195,1646,9012,1646,3955,1087,4170,2153,0,1601,3496
"IRS4",0,0,0,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,28,1,0,0,0,0,0,0
"IRX1",0,0,0,1,1,0,7,7,0,20,0,0,0,0,0,0,0,0,1,8,29,0,25,0,1,0,25,0
"IRX2",0,0,1,53,125,51,19,102,0,10,0,354,0,0,139,0,0,18,0,190,451,34,1826,167,156,6,510,114
"IRX3",0,8,251,83,75,11,37,17,1,7,33,37,0,2,59,0,272,55,90,52,50,23,730,82,101,25,128,71
"IRX4",0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,1,0,65,0,15,0,5,0
"IRX5",0,9,112,55,16,3,31,1,0,1,8,94,0,2,104,1,20,10,34,27,106,36,92,60,37,0,4,41
"IRX6",5,0,120,252,32,8,121,1,0,2,0,0,0,3,164,0,156,0,1,122,34,135,34,18,108,0,111,223
"ISCA1",1,101,2755,2600,1313,136,786,113,0,729,10,717,200,4,1332,0,400,822,449,1770,914,2396,1275,1353,971,0,1,2329
"ISCA2",0,19,403,524,342,45,298,142,0,475,1,437,10,0,238,0,503,328,193,167,498,554,359,845,781,0,5,188
"ISCU",22,162,2282,945,1436,97,1207,1168,0,681,187,1904,444,20,769,7,745,2614,1063,582,1797,1615,1747,2280,1255,63,744,1504
"ISG15",18,143,1665,1117,4632,48,4540,219,0,1132,0,11578,142,2,222,14,101,1023,487,165,5273,1764,500,5153,1000,2,124,966
"ISG20",8,518,664,545,2340,126,1076,1034,0,276,4,1207,663,125,1066,0,0,162,1662,301,1326,5744,1046,1657,3224,115,48,775
"ISG20L2",2,83,1600,2947,1260,270,730,391,0,158,12,1546,420,5,1891,14,3018,1067,784,6277,1663,2172,1432,1375,3930,0,694,2235
"ISL1",0,1,0,174,0,30,0,0,0,0,0,0,0,0,91,0,176,0,1,580,1,160,0,551,0,0,0,10
"ISL2",0,11,0,18,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,4
"ISLR",0,66,20,987,1118,21,915,984,0,2876,1,405,1353,6,1131,0,339,262,202,756,7174,204,1191,818,1942,91,1,1238
"ISLR2",0,24,0,2,4,28,1,2,0,17,0,0,0,17,1,0,0,1,0,10,11,4,0,0,0,0,0,0
"ISM1",0,0,58,30,42,8,26,11,0,22,0,0,0,0,87,0,0,1,69,27,72,21,300,273,57,0,0,89
"ISM2",0,4,0,0,0,11,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"ISOC1",1,7,340,254,258,21,285,204,0,83,0,137,122,18,242,0,1003,347,266,111,344,393,786,673,408,1,98,165
"ISOC2",2,3,189,1002,744,24,191,50,1,143,1,11,62,7,223,3,346,795,87,578,374,567,251,246,1041,1,36,639
"IST1",17,1543,9762,5266,11313,523,5517,2022,2,1077,577,4045,1385,311,6231,0,2897,4523,3074,7448,7558,7909,7022,4508,7881,28,1394,7148
"ISX",0,0,0,0,0,10,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISY1",156,207,1769,669,687,120,1013,300,0,367,120,1321,372,8,1560,1,72,1267,644,699,1259,1064,1916,688,1110,17,76,1222
"ISY1-RAB43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ISYNA1",1,331,65,1137,371,163,429,75,0,58,184,1227,276,1,836,0,842,561,520,560,1090,418,311,1814,1156,0,0,954
"ITCH",15,1630,7764,2947,3393,337,2201,1577,0,552,485,2245,209,31,3380,1,564,3298,1194,4602,3358,3163,2034,3473,2910,32,501,5526
"ITFG1",3,363,2761,888,1440,166,2563,583,0,260,193,895,193,28,1656,0,153,2744,916,1889,1948,1001,1793,2202,1078,3,158,1173
"ITFG2",1,225,1396,1089,2565,226,468,714,1,655,130,1005,278,25,2349,0,485,1432,776,2512,2415,2274,921,2001,1404,0,661,2237
"ITGA1",0,458,2491,1890,2231,307,5082,2600,0,1586,440,1924,1190,91,696,0,1109,4542,978,2994,8783,862,1890,1966,515,18,471,4446
"ITGA10",0,27,416,32,107,263,19762,80,0,82,1,2984,44,19,522,0,0,8390,166,32,1055,152,461,103,190,0,853,107
"ITGA11",2,289,2962,549,424,139,227,660,0,89,32,0,245,95,284,0,147,3158,164,1182,3369,277,51,204,318,1,80,1478
"ITGA2",0,37,721,662,768,72,1073,239,0,40,1,18675,273,1,493,0,1619,2354,142,3353,3905,1622,6688,0,1044,0,359,1179
"ITGA2B",26,5,8,97,13,65,33,20,0,1,20,147,0,0,1,0,254,48,2,5,0,5,0,0,36,0,162,25
"ITGA3",35,29,4559,43,281,151,1314,148,0,209,172,9657,35,38,2245,0,43,6733,1044,241,1453,718,2230,1382,5012,3,2793,541
"ITGA4",690,402,5256,302,1185,106,344,2416,0,44,26,0,223,59,398,5,109,561,638,1026,1396,927,568,354,415,4,1,978
"ITGA5",10,474,10882,541,394,79,1635,556,0,936,47,6937,1249,43,835,0,506,1355,311,1415,2198,613,3438,542,1957,275,500,1501
"ITGA6",0,854,9052,1778,945,184,6210,1189,0,1997,11,2245,1673,25,810,0,953,12513,1408,3475,8108,1733,7924,4697,3471,1,1765,3336
"ITGA7",0,115,3784,32,149,48,51,100,0,945,36,130,165,69,797,0,6,225,229,3,304,71,587,231,917,13,575,115
"ITGA8",2,22,161,44,182,160,0,210,0,45,7,304,73,6,55,0,0,134,5,0,11,56,1029,195,7,139,0,67
"ITGA9",0,4,513,259,544,64,1359,109,0,84,75,1767,482,6,658,0,256,627,483,1200,1226,306,1091,681,379,0,90,436
"ITGAD",0,3,194,37,75,53,8,112,0,96,0,0,18,1,105,0,1,20,72,176,45,361,0,16,25,0,0,84
"ITGAE",3,62,2409,2535,1901,130,1528,970,0,516,514,648,422,11,2198,199,758,2336,679,2321,1372,2262,1571,1331,2092,0,170,2339
"ITGAL",279,2163,1281,740,977,133,792,2580,0,44,4,98,768,82,609,0,207,265,1219,247,1719,1766,961,729,831,0,2,794
"ITGAM",0,870,707,275,548,88,484,433,0,170,1,960,576,7,319,0,591,864,366,317,641,742,434,425,493,0,6,93
"ITGAV",4,1629,7689,1840,2845,259,3557,827,0,436,101,2161,794,89,2129,1,1316,3387,1800,3245,5405,2708,2710,5965,1832,0,649,2866
