"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"LRSAM1",381,427,608,683,228,217,260,335,969,340,582,1163,625,548,852,590,525
"LRTM1",0,0,0,1,1,0,0,0,3,0,1,2,0,0,0,0,0
"LRTM2",301,360,0,0,0,2,32,1,12,0,2,1389,0,0,1,2,0
"LRTOMT",303,322,206,225,235,339,243,266,341,141,404,241,676,71,347,127,149
"LRWD1",603,700,924,475,139,240,309,448,1307,197,1797,1869,775,1066,920,413,199
"LSAMP",36,27,617,207,13,92,115,43,435,5,64,29,17,299,126,11,3
"LSG1",1186,1325,944,919,907,1132,1954,1147,1686,442,2148,1111,744,1863,1505,458,687
"LSM1",826,771,358,158,146,557,327,284,912,92,754,477,493,1019,674,155,167
"LSM10",607,646,817,393,243,446,441,548,748,193,846,447,1208,2814,801,277,322
"LSM11",104,120,213,89,69,91,730,180,306,44,166,247,221,252,161,85,111
"LSM12",115,134,65,68,42,137,70,54,97,9,192,103,169,206,76,27,32
"LSM14A",1474,1596,2375,1435,1554,2462,3349,2696,4714,522,4832,4235,1889,5408,3101,1012,1089
"LSM14B",846,964,1114,1145,627,1196,1182,977,2500,313,1883,4108,778,3000,3494,470,510
"LSM2",746,760,646,557,775,725,936,233,1469,163,897,1445,3213,1813,519,207,209
"LSM3",1197,1265,825,843,793,2076,2085,980,1224,490,1039,847,2604,2285,655,611,901
"LSM4",1862,2057,2061,2337,2070,2684,4071,2215,6288,952,3814,3531,15868,3470,3481,939,938
"LSM5",487,504,629,348,471,782,873,584,761,252,1151,1093,2504,1933,773,427,490
"LSM6",380,432,588,320,266,765,774,231,618,130,448,602,1920,517,431,176,249
"LSM7",1430,1561,1257,1058,747,1041,1166,689,2425,654,1642,3863,3546,2176,1095,607,736
"LSM8",437,446,1012,890,478,993,705,581,2053,197,1041,973,8329,935,702,335,312
"LSMEM1",52,57,37,44,96,5,12,10,27,101,37,87,30,70,39,131,77
"LSMEM2",1,4,3,0,6,1,4,2,1,1,0,5,0,0,0,3,1
"LSP1",447,556,5152,3133,487,304,195,1590,3720,168,1014,114,462,432,913,372,88
"LSR",4028,4462,2434,2685,4382,1882,1083,5465,8515,3764,3319,5713,4029,2483,5296,3481,5759
"LSS",834,954,815,891,336,926,998,1227,1752,3039,1587,1782,350,9596,4479,1996,4737
"LST1",48,42,514,683,136,128,23,385,452,158,396,53,146,116,223,266,81
"LTA",0,2,292,192,21,6,1,64,90,6,29,3,2,1,44,14,3
"LTA4H",3015,3007,1618,2444,1186,1143,1204,802,2931,464,3100,4409,3785,1511,2914,678,733
"LTB",30,34,10712,4977,163,76,322,1995,4941,171,249,216,592,55,540,257,55
"LTB4R",248,238,455,486,46,28,117,147,298,528,314,1225,52,387,421,717,575
"LTB4R2",44,46,87,41,3,7,29,26,72,30,34,134,11,33,76,83,85
"LTBP1",1426,1544,1263,444,96,212,2022,2127,1189,192,973,718,256,1797,699,1071,255
"LTBP2",1459,1530,2178,1887,561,449,1094,2694,4962,107,1468,715,1050,155,3455,472,81
"LTBP3",1916,2380,4980,6220,4517,1949,2604,6381,7729,3676,18135,16800,4303,3610,8176,4279,3615
"LTBP4",474,544,2252,1179,613,923,1917,1592,4023,925,1049,2761,501,2310,3202,2225,877
"LTBR",3656,3942,1839,2491,2179,2726,518,1500,4507,1279,2053,2380,2515,5904,6917,1684,2053
"LTC4S",1,1,3,3,0,0,0,4,2,1,1,4,3,0,3,3,1
"LTF",17,22,157,380,11,101,27,15352,606,30,28,15,13,14,7287,21,3
"LTK",72,84,162,161,5,4,17,21,53,131,33,28,21,307,110,254,108
"LTN1",572,503,810,298,213,364,875,877,717,179,912,853,185,829,706,313,321
"LTV1",442,447,419,244,253,146,202,241,533,102,982,455,288,684,332,157,154
"LUC7L",1311,1341,1969,1840,594,291,1225,430,2437,1365,992,4783,1065,1840,5112,1628,1609
"LUC7L2",918,912,953,634,493,517,1058,916,1702,496,1652,1776,1457,1142,1334,820,1058
"LUC7L3",4430,4258,5657,9625,3524,2061,2408,3799,6790,3779,3106,11964,4171,6532,8118,4911,5868
"LUM",5219,5193,6753,3237,281,7405,1510,470,4667,163,590,243,8057,1305,4244,674,177
"LURAP1",77,85,14,1,3,15,69,48,9,2,22,14,14,58,6,7,17
"LURAP1L",540,627,206,60,15,105,29,357,265,145,222,319,124,1020,87,162,266
"LUZP1",1103,1256,665,492,262,291,664,1089,746,102,581,695,450,1006,792,149,102
"LUZP2",6,7,17,1,0,18,0,1,3,0,0,1,0,2,74,0,1
"LUZP4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LUZP6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LVRN",6,3,0,1,7,47,3,2,6,1,2,4,6,500,12,1,1
"LXN",173,200,426,177,120,680,249,304,404,27,1408,154,357,14,213,68,6
"LY6D",7,10,0,2,1,1,7,0,183,0,2,0,9,0,2,0,0
"LY6E",9738,11285,18099,26319,11841,2682,19242,22125,12937,7453,18190,4904,49894,11128,5222,5011,11255
"LY6G5B",49,59,114,131,27,2,49,36,210,53,152,333,12,29,105,86,154
"LY6G5C",46,55,42,33,16,9,12,25,69,11,40,111,42,22,41,22,16
"LY6G6C",0,1,37,64,218,27,1,569,33,0,3,2,250,0,7,0,2
"LY6G6D",0,0,0,1,1,1,0,2,0,0,0,0,4,8,0,0,0
"LY6G6F",0,0,2,2,1,0,0,0,1,0,0,1,4,0,1,1,0
"LY6H",36,33,10,3,0,4,128,4,4,0,9,272,18,75,4,3,1
"LY6K",29,28,2,8,2,147,934,0,319,1,8,51,645,456,743,2,2
"LY75",381,372,926,346,191,91,102,931,567,10,181,6,140,92,226,35,16
"LY75-CD302",3,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0
"LY86",45,44,500,251,44,50,18,124,261,21,89,21,91,85,47,44,16
"LY9",3,6,665,355,13,13,7,120,301,17,54,4,2,12,31,33,9
"LY96",59,57,294,133,33,127,19,49,97,14,65,8,87,845,57,38,13
"LYAR",262,279,388,629,342,410,883,245,791,144,894,729,1014,1182,813,238,168
"LYG1",3,7,25,55,47,7,16,9,45,46,20,41,37,6,51,35,37
"LYG2",19,10,78,11,9,18,18,1,26,2,55,5,54,36,179,6,4
"LYL1",141,159,1168,749,34,38,79,151,657,74,161,38,54,152,143,73,24
"LYN",662,737,2375,1407,262,437,321,945,1397,126,1423,277,464,1808,1006,310,171
"LYNX1",571,556,313,206,53,209,1005,314,1164,1056,68,301,932,315,257,1135,2366
"LYPD1",47,52,674,2262,924,1326,1571,102,3379,19,2567,4411,8991,49,155,112,2
"LYPD2",1,0,8,86,26,10,1,135,42,7,2,0,483,0,0,16,3
"LYPD3",401,485,63,68,26,43,26,619,46,13,14,2,50,81,1375,3,10
"LYPD4",0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"LYPD5",29,38,20,28,22,14,40,84,43,1,26,32,81,12,45,5,1
"LYPD6",74,64,55,133,37,90,367,275,409,3,171,36,376,215,108,15,0
"LYPD6B",12,20,1263,1882,886,1955,863,1395,2217,26,205,32,4608,12,441,83,4
"LYPD8",12,11,14,0,19,6,1,1,1,0,11,0,2,117,1,0,0
"LYPLA1",1817,1761,1081,642,514,1058,1594,712,712,238,1524,931,1295,1230,2042,503,710
"LYPLA2",3056,3354,1217,980,1142,922,1694,1877,2451,693,1139,2282,3725,4559,2041,792,959
"LYPLAL1",37,50,568,135,83,366,13,438,87,227,571,58,67,397,41,300,563
"LYRM1",313,281,576,463,249,341,290,890,420,361,772,338,1416,399,514,634,1005
"LYRM2",1044,1078,675,711,693,698,497,366,678,189,700,982,1560,1924,1377,316,321
"LYRM4",507,538,574,525,602,678,313,182,1511,162,625,1390,3204,1290,839,209,204
"LYRM7",242,230,580,283,230,310,262,627,466,164,447,337,274,385,417,260,376
"LYRM9",146,150,132,97,47,49,62,53,75,58,52,261,65,46,92,92,135
"LYSMD1",217,187,137,146,148,136,350,115,387,69,324,1001,176,312,448,116,132
"LYSMD2",124,127,591,320,55,180,78,200,307,74,337,45,166,253,96,134,159
"LYSMD3",514,553,564,234,153,220,251,574,339,113,424,237,149,991,575,257,311
"LYSMD4",31,40,165,110,49,191,172,127,239,81,164,245,158,415,188,320,108
"LYST",478,474,1233,548,236,182,262,453,598,265,513,633,184,1002,2475,387,556
"LYVE1",106,91,32,17,3,8,4,7,43,101,20,13,14,1347,67,301,19
"LYZ",200,168,5246,2737,1048,612,309,1998,3284,263,1931,102,104,135,4446,726,163
"LYZL1",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,12
"LYZL2",0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0
"LYZL4",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"LYZL6",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"LZIC",397,457,320,171,283,227,427,477,429,114,590,369,1448,795,511,146,194
"LZTFL1",796,751,434,251,197,485,339,458,439,82,783,544,351,270,287,190,223
"LZTR1",1686,1830,1830,1143,337,223,611,635,1981,975,1271,4373,908,2701,6554,1777,1057
"LZTS1",802,885,170,80,9,70,113,53,194,21,157,154,35,132,143,42,3
"LZTS2",1322,1538,1505,1687,826,952,2788,2183,3532,413,3598,6932,1758,3752,4962,581,562
"LZTS3",1729,1815,1874,331,954,1031,264,2454,1773,268,1147,2232,1190,1012,3944,315,524
"M1AP",54,49,24,28,21,62,116,243,363,3,137,56,254,5,294,5,4
"M6PR",1044,1106,1941,1037,838,577,63,1787,2342,219,3737,1632,1060,5698,1602,369,443
"MAATS1",556,545,235,117,166,84,40,112,186,19,159,757,184,12,75,57,47
"MAB21L1",5,9,12,1,2,20,7,2,4,4,4,6,4,13,2,3,0
"MAB21L2",6,4,8,2,6,21,5,2,2,44,3,10,2,3,3,20,14
"MAB21L3",25,34,1,0,1,1,3,2,2,4,0,5,0,10,12,2,3
"MACC1",21,30,328,54,562,53,24,1125,220,7,61,832,119,4,31,5,10
"MACF1",5053,5070,7020,3759,1707,833,2837,5287,7828,2181,11574,4311,2133,2756,5269,2584,3401
"MACROD1",261,309,183,376,329,423,366,433,1496,1153,1130,948,2177,472,941,1095,1490
"MACROD2",18485,18753,208,194,239,101,106,174,139,14,269,652,213,103,589,60,51
"MAD1L1",543,610,526,612,347,449,589,479,1502,317,1419,1181,406,1571,744,334,345
"MAD2L1",261,304,589,263,389,579,758,182,797,13,740,756,1446,894,791,34,19
"MAD2L1BP",631,658,338,514,307,1081,321,208,618,182,758,689,749,1480,327,179,213
"MAD2L2",961,968,707,688,630,516,611,403,1259,305,1184,735,3464,2205,1426,418,358
"MADCAM1",34,30,26,388,3,1,18,6,36,72,32,61,33,102,109,53,49
"MADD",517,581,1457,1231,330,406,895,838,1936,545,1355,1677,381,2714,1259,658,775
"MAEA",1685,1842,1525,1597,914,856,2329,1011,2307,1113,1355,5446,2707,4626,3521,1085,804
"MAEL",3,4,73,3,5,3,27,14,1,5,40,5,8,42,2,1,5
"MAF",381,387,1601,662,103,284,378,499,887,1080,1132,491,243,9939,684,1924,1398
"MAF1",3830,4461,3019,4292,2353,3033,9119,3570,8010,965,3435,4688,19259,4131,4812,1004,1091
"MAFA",19,16,4,4,2,62,14,0,9,3,27,37,10,110,5,3,1
"MAFB",587,635,1623,1285,568,741,1119,979,2249,640,3157,699,517,912,1079,666,832
"MAFF",1458,1584,521,840,230,329,122,568,1171,70,1967,393,514,568,386,50,77
"MAFG",535,579,902,968,353,569,475,291,1183,373,1941,1835,446,2410,2113,504,583
"MAFK",1909,2005,1155,504,173,177,171,460,1159,258,1817,979,127,773,1105,338,341
"MAG",2,2,10,7,23,60,638,38,113,9,4,9,258,3,0,37,0
"MAGEA1",0,0,6,0,0,177,0,0,25,0,5,0,60,2845,0,0,0
"MAGEA10",0,0,0,5,351,47,0,3,1,0,0,2,32,2048,535,0,0
"MAGEA11",1,0,31,4,2,7,1045,2,1,0,3,0,12,527,627,2,0
"MAGEA12",0,0,200,0,2,0,0,0,0,0,0,0,16,4262,0,0,0
"MAGEA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGEA2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGEA3",0,0,1,0,50,0,0,0,0,0,0,0,21,5410,0,0,0
"MAGEA4",1,0,3,2,198,1196,0,101,11,0,9,0,1324,1667,1913,0,0
"MAGEA6",0,0,1,0,200,1,0,0,0,0,0,0,17,4322,0,0,0
"MAGEA8",2,0,1,9,1,19,42,1,1,0,13,0,0,19,0,0,0
"MAGEA9",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"MAGEA9B",0,0,1,0,0,0,2,0,0,0,0,0,2,198,0,0,0
"MAGEB1",0,0,0,0,0,3,25,0,0,0,19,0,10,2160,4,0,0
"MAGEB10",0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"MAGEB16",7,4,0,0,0,0,0,0,0,0,0,0,1,187,0,0,0
"MAGEB17",2,0,2,0,3,1,3,0,0,0,3,1,10,947,2,0,0
"MAGEB18",0,0,1,0,0,0,1,0,0,0,61,0,1,3,0,0,0
"MAGEB2",0,0,2,0,0,883,0,0,0,1,0,0,26,5289,0,0,0
"MAGEB3",0,0,0,0,0,2,3,6,0,1,12,0,0,6,2,0,0
"MAGEB4",0,0,1,0,0,0,2,1,0,1,65,0,0,0,6,0,0
"MAGEB5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MAGEB6",0,0,1,0,3,1,0,0,0,0,0,0,1,66,1,0,0
"MAGEC1",1,0,11,0,56,115,0,3,0,0,2,0,89,31,3,0,0
"MAGEC2",0,0,0,1,4,0,0,0,0,0,14,1,0,49,0,0,0
"MAGEC3",300,296,1,0,16,0,0,0,1,0,1,3,1,0,1,2,0
"MAGED1",5205,5302,4415,1389,1757,1932,13726,2332,3337,1112,10938,4364,4937,12855,4569,1252,1359
"MAGED2",4638,4859,3292,1490,1064,1475,12560,2260,2616,634,4485,3878,11578,5466,3055,1420,841
"MAGED4",1,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0
"MAGED4B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGEE1",141,172,175,84,8,78,221,49,50,13,151,207,137,4,89,20,14
"MAGEE2",9,2,0,0,0,8,42,0,0,0,21,2,21,0,0,0,1
"MAGEF1",1680,1745,904,956,854,2229,3945,801,2071,234,2047,2539,3734,3386,3230,422,478
"MAGEH1",272,280,418,201,94,225,1015,220,245,131,784,45,545,1816,384,227,280
"MAGEL2",4,13,12,13,1,40,171,1,10,1,2,0,12,710,7,15,1
"MAGI1",783,790,359,302,246,261,886,606,584,903,844,1025,514,404,838,1073,1480
"MAGI2",216,185,131,67,51,114,319,73,247,67,111,254,293,185,392,83,99
"MAGI3",291,307,197,377,212,165,746,970,886,190,313,290,255,482,543,270,389
"MAGIX",786,890,106,202,98,248,298,77,262,291,251,102,791,412,311,218,234
"MAGOH",665,654,559,441,349,843,977,611,1353,229,2520,1003,1154,1533,628,391,391
"MAGOHB",428,479,343,267,335,348,7,153,465,101,650,511,867,313,338,163,176
"MAGT1",3473,3714,1651,1137,1415,1006,1962,2118,1620,825,3047,1249,1786,1868,2278,948,1250
"MAK",69,63,56,76,85,14,21,8,78,8,39,84,46,17,31,15,28
"MAK16",353,323,297,200,101,307,336,303,209,59,388,565,289,459,263,157,124
"MAL",238,248,1206,811,4532,341,705,5539,912,10,67,437,524,105,1094,30,6
"MAL2",5132,5392,1327,3301,4124,7243,4633,7670,7054,281,1530,2752,15706,24,4035,582,728
"MALAT1",73444,77964,80916,177517,98346,32645,24799,30153,38835,66401,43190,73592,8872,15857,59940,21886,69667
"MALL",22,24,43,9,16,10,0,83,29,1,17,2,19,2,31,2,2
"MALRD1",1,1,3,3,1,8,0,4,8,0,1,10,0,74,3,1,0
"MALSU1",569,605,465,254,311,619,363,627,778,312,2638,625,1917,1610,936,356,537
"MALT1",222,238,1400,638,323,273,538,534,1154,411,2068,725,485,383,438,496,657
"MAMDC2",43,43,19,16,3,23,664,23,16,4,124,4,38,16,2,6,5
"MAMDC4",269,303,312,334,103,10,112,124,443,1887,350,876,56,103,330,1844,1483
"MAML1",940,990,1514,767,346,774,1267,1505,1734,291,1243,1869,767,1490,1064,439,378
"MAML2",291,318,535,533,493,419,832,976,1056,22,335,251,820,290,950,50,40
"MAML3",93,81,249,92,54,218,301,243,289,135,810,1369,222,92,1325,149,173
"MAMLD1",35,34,186,219,69,32,152,326,113,49,1359,384,265,11,82,120,78
"MAMSTR",19,26,39,80,161,52,93,238,82,8,43,57,399,135,102,86,17
"MAN1A1",541,526,1705,425,378,197,120,652,1196,1148,898,459,316,2445,487,2966,3169
"MAN1A2",1655,1565,1881,2043,741,1368,871,1419,1822,682,1199,1071,777,1516,3386,649,1188
"MAN1B1",3281,3352,1599,1780,656,666,1288,1180,3078,885,1703,2580,2302,3553,3037,1054,1221
"MAN1C1",108,118,580,252,29,42,98,326,303,817,182,476,131,5551,124,773,712
"MAN2A1",886,854,1246,661,334,242,229,1070,1316,743,732,1089,179,1545,2481,1162,1498
"MAN2A2",1139,1227,1520,859,242,701,2007,1016,2194,1329,1533,2612,411,997,1534,1921,1845
"MAN2B1",2891,3132,3484,1845,260,522,759,1595,3367,397,4938,4612,477,2291,3235,845,571
"MAN2B2",1612,1668,1568,986,627,220,1526,945,1757,543,993,1086,366,3034,3077,961,1017
"MAN2C1",779,822,2460,1282,291,132,1022,784,2862,1712,1009,2824,625,549,1908,2017,1829
"MANBA",351,394,1052,520,341,181,415,454,884,242,709,968,247,1009,1339,361,360
"MANBAL",1057,1053,844,662,1226,707,957,621,886,250,1041,1742,1755,1947,1401,313,352
"MANEA",320,321,567,118,154,161,204,184,267,97,380,452,149,337,562,292,318
"MANEAL",954,968,96,111,41,170,80,223,176,41,871,598,354,559,221,81,138
"MANF",3440,3672,1301,1876,911,1072,2467,1264,2316,657,3843,1972,4630,6309,2673,1001,466
"MANSC1",1261,1314,1027,152,524,354,8,837,624,84,418,496,510,132,988,141,122
"MANSC4",1,1,2,3,1,0,2,3,2,0,1,10,1,0,0,0,1
"MAOA",172,142,104,33,20,169,116,30,131,1531,357,449,55,636,780,2243,2843
"MAOB",9,9,394,109,97,96,158,25,189,2523,791,494,103,2755,254,4368,5791
"MAP10",10,9,97,44,17,96,205,48,128,54,62,118,145,214,318,59,69
"MAP1A",314,340,641,212,40,832,289,195,356,10,197,97,108,3768,120,41,8
"MAP1B",583,619,1328,1102,800,3252,287,340,1454,128,1769,294,264,5933,835,283,47
"MAP1LC3A",1370,1529,885,766,870,528,238,278,781,724,583,115,1643,834,313,431,962
"MAP1LC3B",1582,1551,1381,594,308,1117,820,616,812,170,2007,660,739,2057,1403,315,294
"MAP1LC3B2",10,9,29,42,8,2,11,14,10,5,45,3,20,39,11,8,6
"MAP1LC3C",7,3,105,12,3,2,137,11,13,0,7,31,5,52,5,2,0
"MAP1S",1018,1235,1147,1204,364,716,1162,1325,3267,203,2518,2846,1671,1556,1426,241,209
"MAP2",52,60,86,47,124,417,174,111,307,45,174,6605,1240,465,690,68,46
"MAP2K1",985,996,1199,705,477,671,798,953,1605,452,1075,995,921,2423,1176,1048,813
"MAP2K2",2684,2914,2844,2500,1626,2104,1875,1934,2912,1511,7020,5397,4751,6313,3380,1554,1572
"MAP2K3",988,1166,1034,1348,682,601,558,959,1728,624,1241,786,843,901,937,703,888
"MAP2K4",608,659,573,270,246,399,539,407,508,173,478,881,243,838,746,240,326
"MAP2K5",263,263,373,333,192,293,408,340,458,207,465,803,561,1275,485,206,279
"MAP2K6",169,175,158,77,64,199,162,72,200,38,77,329,231,677,6498,98,176
"MAP2K7",1191,1290,1295,981,530,379,589,660,1652,699,1810,3726,395,1222,2355,843,1221
"MAP3K1",607,646,1712,865,290,505,686,1689,1990,96,698,853,274,1044,641,210,181
"MAP3K10",877,981,597,408,141,160,396,267,493,224,940,1834,125,667,1204,375,261
"MAP3K11",1509,1807,2262,3609,1005,1072,1468,2850,4186,2033,4437,2644,1582,2298,3421,2008,2553
"MAP3K12",374,430,720,560,113,128,208,1014,417,97,564,3124,341,795,1329,394,85
"MAP3K13",764,707,628,943,2129,915,1336,1173,818,599,1479,624,1757,1856,1866,785,783
"MAP3K14",259,277,1375,746,128,62,106,330,849,215,1663,1331,179,449,170,294,260
"MAP3K15",46,35,6,7,1,7,78,7,124,0,201,4,4,125,17,10,0
"MAP3K19",0,1,38,0,5,0,0,1,8,2,2,0,3,0,4,1,4
"MAP3K2",986,1081,1942,1073,865,913,920,1309,1783,574,836,872,697,3015,1812,959,1237
"MAP3K3",1274,1350,1113,677,327,356,429,656,1242,430,1072,1806,439,1328,900,469,435
"MAP3K4",990,927,749,343,466,130,696,371,677,230,906,1297,682,1010,513,278,434
"MAP3K5",985,952,741,465,232,105,140,391,619,326,392,308,160,960,292,360,312
"MAP3K6",1209,1308,824,658,260,98,417,1557,1694,239,410,560,1519,878,3002,575,118
"MAP3K7",1065,1010,1239,744,843,1087,996,511,1199,225,1872,2178,1387,1371,1546,395,369
"MAP3K7CL",52,44,144,94,17,58,13,49,125,75,108,24,36,71,159,71,99
"MAP3K8",381,370,709,545,143,567,95,375,713,81,522,760,417,446,284,114,76
"MAP3K9",657,719,271,254,248,66,193,488,450,100,398,799,117,909,665,145,168
"MAP4",2333,2527,4015,2861,1980,1940,2262,5057,5601,980,4334,3732,1621,4490,3144,1313,1021
"MAP4K1",24,29,2276,1041,162,148,549,584,1191,104,281,101,175,202,746,216,58
"MAP4K2",239,284,1209,726,338,638,569,521,1111,152,968,365,469,649,782,384,152
"MAP4K3",606,548,388,254,312,396,733,731,636,152,348,924,475,591,1589,276,277
"MAP4K4",1726,1879,3613,1992,804,1778,4517,1231,4494,830,3020,3276,1362,3461,2556,1350,1390
"MAP4K5",917,812,852,439,540,482,875,736,914,104,1214,1698,549,1025,1443,304,228
"MAP6",167,160,182,67,6,207,63,39,49,38,196,271,87,193,123,54,31
"MAP6D1",115,127,50,64,33,96,291,29,201,24,313,187,86,179,86,37,32
"MAP7",1892,2070,780,269,558,418,376,629,1075,253,924,1281,834,720,1456,460,582
"MAP7D1",1324,1611,3393,1998,717,1047,1703,2522,3536,294,6540,2421,2372,8823,1916,598,315
"MAP7D2",9,17,15,352,9,114,966,41,261,4,189,24,81,1489,102,8,9
"MAP7D3",147,201,379,290,279,128,429,314,335,168,1849,317,308,755,152,175,169
"MAP9",976,948,1164,307,446,800,337,276,378,18,377,1230,243,662,550,44,31
"MAPK1",2143,2243,2558,1508,1016,1235,1425,1728,2286,487,2185,1764,1657,4514,2903,736,823
"MAPK10",43,36,31,41,18,175,56,6,19,23,46,462,17,297,649,55,21
"MAPK11",582,565,533,699,82,195,213,75,435,129,168,74,243,222,1677,148,73
"MAPK12",314,343,250,330,16,120,275,58,272,113,204,1570,460,1590,1486,189,80
"MAPK13",442,491,1512,1070,1204,214,685,594,1333,130,305,824,1198,2140,1929,298,144
"MAPK14",2055,2335,1426,908,518,752,1481,755,1581,483,1171,2081,799,2214,1294,764,845
"MAPK15",987,1229,2146,6097,278,67,424,243,1952,19,289,1510,1163,67,2688,31,14
"MAPK1IP1L",3373,3470,1630,1413,625,823,1018,1204,1570,338,1441,2928,1419,2912,2580,571,658
"MAPK3",813,943,1434,1002,1388,1038,1489,1433,1944,290,1302,1301,2766,2601,1768,347,363
"MAPK4",110,124,1,1,2,5,76,7,13,118,105,494,7,44,13,75,5
"MAPK6",587,588,512,263,245,739,617,311,817,173,524,887,438,2852,1810,447,385
"MAPK7",394,448,358,317,220,110,485,219,667,131,541,1134,256,1242,384,138,130
"MAPK8",460,431,434,396,368,459,1065,567,614,246,915,1268,350,712,833,354,492
"MAPK8IP1",403,475,561,241,87,1937,586,92,1238,96,624,227,1244,1024,571,150,261
"MAPK8IP2",855,1033,69,82,24,694,138,241,267,36,649,86,409,1504,92,41,27
"MAPK8IP3",3880,4331,3602,2376,756,557,929,896,3365,2173,2945,7910,757,1484,4143,3057,2324
"MAPK9",1397,1606,1089,662,228,572,755,822,631,271,832,1224,723,1497,927,377,448
"MAPKAP1",1369,1441,1390,1267,673,2353,2595,1027,1802,505,1969,1526,2331,1817,1680,706,730
"MAPKAPK2",2767,3053,3425,2533,455,2124,893,2708,3330,641,12221,4624,1660,4153,4594,912,939
"MAPKAPK3",1246,1371,1027,648,359,650,721,1450,1332,369,1845,480,607,2759,451,410,292
"MAPKAPK5",393,387,747,765,515,335,451,301,834,229,1150,1774,903,646,955,384,423
"MAPKBP1",251,307,510,324,214,77,249,391,415,198,599,669,219,559,523,311,270
"MAPRE1",3426,3517,2725,1740,1591,3290,6087,2345,3816,146,4238,3214,3001,6177,1576,295,161
"MAPRE2",220,223,1164,598,76,314,412,407,736,368,911,429,189,2387,336,498,561
"MAPRE3",355,350,264,148,12,256,354,208,125,386,503,348,184,796,456,575,699
"MAPT",18,18,56,30,20,518,38,35,50,17,749,228,27,1374,43,32,11
"MARC1",680,763,405,200,16,458,274,195,450,1076,851,1479,334,743,307,1323,1924
"MARC2",327,313,317,175,32,51,48,130,195,3319,204,1117,222,572,333,4709,5415
"MARCKS",1390,1506,6590,3271,1676,1939,2463,756,4343,387,9178,7896,2103,9841,4239,838,458
"MARCKSL1",1863,2030,6003,2763,1694,2639,9739,5163,7812,414,15317,18964,8657,9269,6017,861,306
"MARCO",170,169,75,322,123,8,19,119,595,474,124,38,76,538,937,390,165
"MARK1",101,82,54,59,21,104,178,112,73,8,131,2233,21,722,381,22,2
"MARK2",1339,1479,1470,2564,1012,1202,1405,2527,3381,477,2782,2408,1237,1252,2741,468,443
"MARK3",1480,1459,1432,1468,1051,943,1556,1956,2512,821,2335,3675,743,2649,3029,819,748
"MARK4",832,1064,616,476,267,425,1292,787,938,335,947,1770,368,1409,1339,390,361
"MARS2",143,185,229,125,29,229,175,292,546,49,270,330,434,335,127,68,46
"MARVELD1",735,896,634,481,382,485,2722,171,963,86,6644,2076,666,780,1982,161,107
"MARVELD2",737,799,169,138,186,283,285,593,358,262,176,1263,243,206,1282,373,578
"MARVELD3",722,736,371,127,104,155,140,188,574,138,65,591,225,62,526,112,284
"MAS1",5,0,4,1,2,1,0,0,4,0,11,2,0,0,3,0,1
"MAS1L",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MASP1",0,2,22,4,6,0,20,6,2,1689,7,483,6,878,11,2713,3815
"MASP2",20,24,64,30,13,2,21,32,63,3416,65,789,17,14,49,4138,5331
"MAST1",48,35,19,9,52,256,586,99,273,48,178,99,319,176,265,40,46
"MAST2",1028,1111,916,788,723,486,1034,982,3299,822,1653,2595,1656,1665,1906,1147,1130
"MAST3",163,179,1329,781,96,118,359,613,1521,858,620,938,286,394,1107,1296,1274
"MAST4",276,322,899,1316,583,141,297,1617,533,463,334,423,233,721,275,732,863
"MASTL",234,212,552,227,313,296,517,233,313,75,473,291,465,942,146,92,101
"MAT1A",90,92,48,38,149,56,89,13,18,34519,446,4092,27,1349,29,31320,60631
"MAT2A",2035,1969,2619,2120,888,1165,4502,5161,7802,1141,7465,5105,3487,3221,3458,1461,1430
"MAT2B",1024,978,2040,1134,946,1368,1782,2687,2218,356,1252,1382,2073,1818,901,613,873
"MATK",27,32,439,242,58,75,15,146,507,58,54,67,26,133,96,96,24
