"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"CFAP47",323,319,24,0,42,18,25,12,40,1,81,25,28,12,32,3,4
"CFAP52",22,26,18,10,5,4,10,5,7,2,2,6,27,3,16,6,8
"CFAP53",232,252,40,36,64,25,77,25,60,11,127,80,95,200,59,10,17
"CFAP54",172,172,54,14,21,7,13,14,18,0,100,40,89,14,18,8,1
"CFAP57",128,107,30,21,19,7,8,15,101,146,9,43,55,3,6,160,367
"CFAP58",3,6,8,10,24,3,19,31,9,2,4,3,2,3,25,3,2
"CFAP61",44,34,20,5,7,12,4,8,18,1,10,20,12,9,0,0,0
"CFAP69",107,109,160,62,88,25,34,106,262,60,463,327,143,40,100,119,129
"CFAP70",235,229,107,107,114,12,91,77,169,68,69,87,257,37,208,159,133
"CFAP74",11,14,14,1,5,28,5,3,59,41,9,6,3,58,9,43,25
"CFAP97",568,536,895,309,257,384,586,577,773,86,769,1133,290,313,385,175,207
"CFAP99",10,17,4,6,1,0,13,3,12,1,1,7,7,10,5,2,1
"CFB",29,26,476,3257,562,76,87,3265,2717,4414,554,1225,625,103,138,6513,6953
"CFC1",0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0
"CFC1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFD",250,286,195,312,120,94,32,117,402,100,132,101,112,697,239,139,59
"CFDP1",734,746,648,369,574,637,783,458,805,413,2043,1465,1142,3017,925,533,582
"CFH",552,507,1548,515,152,245,92,210,1031,14278,567,5644,273,2744,625,23922,32817
"CFHR1",2,0,162,2,1,3,2,3,5,2365,2,1434,0,3,2,5107,8028
"CFHR2",0,0,0,0,0,0,0,0,0,59,0,11,0,0,0,151,209
"CFHR3",0,0,9,0,5,0,47,0,4,2965,16,1644,10,10,26,5000,6070
"CFHR4",0,0,0,0,6,0,0,0,6,558,0,345,1,9,22,963,1610
"CFHR5",0,0,0,0,0,0,2,0,0,1542,1,335,0,3,0,2730,2302
"CFI",4058,4019,3217,271,590,379,838,603,1351,6401,1627,5644,1273,7532,4081,14916,13141
"CFL1",8529,9616,10286,18123,8358,11058,10538,11096,16240,2384,20760,8063,29119,16868,11870,3020,2632
"CFL2",360,311,350,224,178,529,659,310,287,558,832,585,663,4208,329,1094,1879
"CFLAR",1719,1871,3953,2946,1090,937,945,3168,3440,1214,1783,2569,1193,850,1757,2005,1927
"CFP",17,13,528,147,12,5,10,92,131,294,54,34,13,12,43,422,135
"CFTR",12,14,36,95,39,7,11,3,2810,170,452,22,391,237,205,71,79
"CGA",0,0,0,0,0,3,1,1,0,2,0,699,0,0,0,0,0
"CGB1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CGB2",0,0,0,0,0,2,10,0,3,0,0,0,2,1,0,0,0
"CGB5",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"CGB7",2,7,6,1,1,4,28,5,3,0,0,44,1,10,51,4,0
"CGB8",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"CGGBP1",1602,1540,2491,1479,702,823,2754,1875,2630,729,1982,3019,1507,1818,1519,1130,1169
"CGN",4834,5198,1068,675,1648,1067,1061,3147,5411,1466,969,5201,1257,816,3103,2385,3059
"CGNL1",104,113,419,122,80,152,606,186,500,1238,464,1077,118,681,244,1554,3753
"CGREF1",70,70,40,8,3,38,337,228,134,151,2058,509,312,256,136,187,192
"CGRRF1",152,159,174,138,137,271,178,129,154,45,183,304,464,796,210,71,93
"CH25H",36,52,271,68,6,15,7,31,160,12,54,0,9,50,93,21,7
"CHAC1",23,24,47,35,57,80,300,18,212,9,460,51,125,310,115,14,4
"CHAC2",41,38,71,33,8,56,206,59,98,20,82,51,112,377,39,26,32
"CHAD",59,58,36,60,8,1,28,87,141,895,23,319,3,5,438,716,1833
"CHADL",66,101,26,152,25,59,73,20,47,73,38,166,110,35,230,57,51
"CHAF1A",447,533,664,528,262,209,574,443,732,96,1660,1372,455,1100,417,139,196
"CHAF1B",242,246,195,177,95,147,158,144,303,17,348,372,315,733,226,25,19
"CHAMP1",339,370,481,294,110,305,411,456,585,115,430,584,288,422,429,160,228
"CHAT",0,1,0,0,0,2,8,1,2,0,4,0,0,0,0,5,0
