GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
ZNF770,6.989,7.9875,7.9836,8.5389,8.5952,7.7195,7.906,7.4268,8.6771,7.8073,8.5158
ZNF771,11.3117,11.1261,9.8891,10.3427,9.4359,10.2354,10.5705,9.476,9.4251,9.7512,8.5822
ZNF774,6.8634,6.841,6.3812,6.2232,6.6945,6.3117,6.8886,6.3456,6.4183,6.3552,6.6953
ZNF781,7.3042,7.12005,6.97825,6.43945,7.7175,6.44985,7.4506,7.0281,6.7817,6.96755,6.7251
ZNF786,10.4765,10.4481,10.0719,10.0316,9.3256,9.0595,10.1755,9.6828,9.453,9.8512,8.9676
ZNF793,8.32995,7.9021,7.2672,7.2662,7.63655,8.0813,7.92175,8.00555,6.9032,7.61235,6.7882
ZNF799,8.0012,7.6721,7.9624,6.8842,7.3574,7.4306,7.6385,7.7673,7.7711,7.4301,6.916
ZNF8,8.5234,8.4669,8.057,8.0489,8.2919,8.5179,8.3327,8.246,8.3912,8.0878,8.4596
ZNF80,6.7894,6.5391,6.9603,6.4041,7.4281,8.3792,6.9056,6.7863,6.6562,6.6403,7.0319
ZNF804B,7.7586,7.1045,6.9091,6.7004,6.2232,6.5567,6.2495,6.1884,7.1142,6.1264,6.4522
ZNF805,10.8257,10.2253,9.6769,9.0823,9.1548,10.7899,10.0809,10.1038,9.687,9.8676,9.749
ZNF81,9.8839,9.8453,9.7987,9.0964,9.034,9.8565,9.3118,9.6591,9.056,9.4236,9.6629
ZNF823,8.8639,9.95575,9.35935,8.4689,8.77545,9.26195,8.81665,9.48165,9.4887,9.08575,9.41375
ZNF827,12.4131,12.9409,12.0817,12.5034,12.0617,11.727,12.5325,12.8101,12.3407,12.019,11.7004
ZNF829,7.01575,7.3133,7.2485,6.81705,7.0256,6.40075,7.4451,6.4008,7.11185,7.04605,7.3537
ZNF83,11.3651,11.7231,10.3952,9.9844,10.8762,10.1847,10.7128,11.3841,9.943,10.9865,11.7136
ZNF830,7.3005,7.2823,7.1633,6.6884,7.0846,7.2364,7.0728,7.3262,7.178,6.6908,7.3005
ZNF831,7.317,6.7182,9.5922,7.5488,8.22385,9.11945,9.4103,6.9684,9.17595,7.7031,7.75035
ZNF836,9.3313,8.9419,9.1446,8.5917,9.9214,10.12,9.1648,8.0569,8.8175,9.4126,8.5845
ZNF837,7.4278,8.0298,7.2231,6.722,6.6017,7.8346,7.5435,7.2554,6.9764,7.0096,7.6393
ZNF839,7.734,7.463,7.1283,6.9144,7.07,6.7395,6.7391,6.9768,6.8343,7.0144,7.0127
ZNF841,12.0234,12.2949,11.8903,11.4108,11.6692,11.9023,12.2399,11.809,11.7757,11.861,11.8276
ZNF843,7.3499,7.107,6.764,6.4338,6.665,6.4857,7.9423,7.6752,6.3656,6.6479,6.4091
ZNF844,8.8705,9.1906,8.4505,7.1792,8.6715,8.7049,8.4736,6.8536,8.1783,9.0622,8.2918
ZNF845,9.9246,10.4471,10.0606,9.6889,9.7927,10.0503,10.1521,10.098,9.964,9.9174,10.3464
ZNF85,9.7283,10.4043,9.6525,10.171,9.5171,10.1263,10.2965,10.477,10.2237,9.7543,10.7484
ZNF878,6.5626,6.4814,6.2258,6.0901,6.318,6.2906,6.6232,6.1882,6.2,6.2935,6.2858
ZNF92,7.9694,8.8946,8.9225,8.4913,8.3883,9.6766,9.4961,9.3639,9.1846,9.047,9.3543
ZNF93,7.88745,8.4474,8.474,7.7168,8.24485,9.1148,8.0135,8.854,7.50475,7.8242,8.5884
ZNF99,6.4963,6.5411,6.2791,6.2004,6.4338,6.611,6.5145,6.335,6.3653,6.1578,6.3763
ZNFX1,7.295,6.4477,7.4839,7.0666,7.9919,7.0626,7.1142,6.6433,7.6196,7.3363,7.6933
ZNHIT2,7.2571,7.7937,7.0969,7.4867,7.0159,8.2336,7.0919,7.3157,7.2499,6.8529,7.0721
ZNHIT6,9.1262,10.2595,10.8306,10.9617,10.72435,10.33425,10.97735,10.9552,10.8647,10.8831,11.08695
ZNRF2,8.2304,10.4345,10.3002,10.094,10.0543,9.6285,9.8315,9.0403,10.5066,9.8006,10.3493
ZP1,6.6753,6.4177,6.7545,6.577,6.0594,6.4389,6.3048,6.8416,6.2704,7.325,6.4131
ZP2,6.4236,6.9049,6.5778,6.4354,6.2788,6.3593,6.2754,6.2239,6.5659,6.2807,6.6682
ZP3,7.2501,6.469,6.782,7.3025,7.1035,8.3178,6.2877,7.5321,6.5274,7.4708,7.0351
ZP4,6.5879,6.5968,6.1506,6.1916,6.096,6.3209,6.2383,6.3069,6.1232,5.7813,6.2135
ZPLD1,6.4763,6.7451,8.3782,6.4096,6.1606,6.5482,6.2788,6.1588,7.6006,6.4608,6.4155
ZPR1,9.763,8.6762,8.9733,8.5336,9.1623,10.0277,8.9449,9.1403,7.9923,9.3993,8.4468
ZRANB1,12.6887,12.4115,11.8871,11.649,11.7527,12.1043,12.4037,11.8541,11.9061,11.8645,11.8146
ZRANB3,7.80335,7.63285,7.53565,7.47375,7.434,7.88375,7.5959,8.1106,7.6577,7.6896,6.96095
ZRSR2,11.2655,11.8032,11.3798,10.9768,11.0276,11.2511,11.6324,11.3943,11.3501,11.2232,11.4383
ZSCAN1,6.4113,6.6355,6.0887,6.1472,6.1733,6.3076,6.2161,6.1273,6.2113,6.0495,6.3551
