"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"CFAP58",32,14,36,16,18,30,18,40,38,90,20,28,75,38,24
"CFAP61",13,14,12,5,10,2,11,16,12,625,7,279,16,15,4
"CFAP69",128,107,41,220,443,382,179,1710,352,1243,201,438,1148,68,168
"CFAP70",1461,74,142,179,326,34,443,1032,79,1724,42,220,843,229,40
"CFAP74",2,22,0,39,15,11,7,191,13,307,4,4,21,3,3
"CFAP97",1851,1886,2932,961,4224,6989,3521,3428,2878,3237,5691,1877,4137,7775,1181
"CFAP99",16,5,0,31,2,10,2,0,14,96,0,10,7,6,1
"CFB",561,105,303,33,5404,328,1583,60,369,1321,4160,506,656,367,54
"CFC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CFC1B",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
"CFD",1492,2463,459,247,570,473,267,166,206,99,177,543,3131,970,11
"CFDP1",1441,1965,1944,1217,2485,2501,5253,7680,3279,2365,4583,3142,2665,2844,1340
"CFH",5749,7562,10259,1004,52241,9118,21824,3095,4402,17058,21036,8548,37050,6060,1302
"CFHR1",2,3,213,0,11,2,203,9,1,960,2386,1,67,0,0
"CFHR2",0,0,0,0,85,0,1,0,0,4,22,0,0,0,0
"CFHR3",3,41,44,15,2994,16,289,86,9,711,1015,77,164,44,0
"CFHR4",2,0,7,0,698,0,54,0,0,115,386,3,2,1,0
"CFHR5",0,0,0,0,5823,0,257,2,0,491,1616,0,0,0,0
"CFI",601,807,1696,105,13514,1416,2663,611,460,3354,6925,2677,7454,1833,9
"CFL1",18864,21831,34979,14261,35314,64145,48086,97904,56454,58016,36217,34090,23459,49809,7535
"CFL2",471,452,1124,293,1950,1722,624,2605,360,1037,4555,697,3236,1123,769
"CFLAR",33234,11848,18046,3667,11605,17339,7174,14937,16020,9057,15447,11998,25934,32110,10191
"CFP",3264,138,1223,73,196,76,12,335,149,54,189,42,418,1887,118
"CFTR",577,1,10,98,280,0,1556,50,40,881,396,943,63,0,332
"CGA",0,0,2,1,0,7809,1,1,7,0,0,0,0,0,0
"CGB1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CGB2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CGB5",0,0,1,0,0,148,0,0,0,20,2,130,0,0,0
"CGB7",3,7,1,0,8,9,1,55,0,17,28,30,8,2,15
"CGB8",0,0,0,0,0,63,0,2,0,0,7,17,0,0,0
"CGGBP1",4410,5504,6693,939,6615,9495,8826,8072,4870,10392,11265,3470,6582,11978,5705
"CGN",2110,5034,6956,1834,3103,7297,14176,6170,12308,14191,18222,3225,122,849,733
"CGNL1",4642,1509,1055,3346,4890,853,2405,7070,1713,2444,5758,1431,1082,1848,28
"CGREF1",196,242,15,64,295,3496,351,76,180,829,1202,20,640,1444,32
"CGRRF1",266,294,337,89,587,1380,493,978,226,734,626,507,659,835,642
"CH25H",131,58,398,1,27,86,1,28,571,18,106,28,309,290,0
"CHAC1",212,46,162,45,54,159,273,766,267,104,69,71,58,189,38
"CHAC2",83,65,163,36,183,455,89,221,29,294,115,134,94,322,39
"CHAD",4,0,7,0,88,6,14,20,8,26,42,13,43,7,14
"CHADL",19,123,56,10,89,146,139,232,167,88,34,63,117,114,26
