"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"PEBP1",5102,5608,8119,3601,27284,12995,28236,59560,40337,19197,29021,4899,8524,16740,1547
"PEBP4",5,9,41,9,15,10,9,13,6,1,5,119,42,27,2
"PECAM1",20129,12356,19632,3253,2986,21159,3237,6243,6891,6963,5265,4321,89379,39230,800
"PECR",256,205,352,122,1329,914,730,1333,368,272,1341,348,811,1074,85
"PEF1",1957,2178,2534,759,2429,2741,3676,5696,3683,3822,4407,1857,2742,4814,998
"PEG10",905,8264,11985,3532,2675,824,5644,91763,2572,6262,556,7362,1782,789,7054
"PEG3",165,189,244,51,616,322,229,44,233,375,227,109,1939,417,6
"PELI1",3075,1421,3441,1222,2636,2098,7312,10328,2342,4009,3246,1666,2990,4868,339
"PELI2",430,220,740,97,598,759,202,2838,316,1163,2375,838,1825,1695,98
"PELI3",355,186,352,148,305,1258,749,679,489,668,984,785,637,664,898
"PELO",1190,1138,827,392,1750,2751,2990,2690,946,2670,1986,1202,1960,2399,1013
"PELP1",3924,2485,4530,1337,2177,4975,3178,16757,6401,7792,6996,3431,3283,6042,1655
"PEMT",357,314,389,125,1062,1219,405,1524,852,885,729,363,2664,605,121
"PENK",0,93,2,5,0,0,1,1,0,1,0,0,45,13,0
"PEPD",2230,1502,3209,2215,3460,6872,2219,7475,4977,5539,19480,2238,2213,4541,1332
"PER1",1705,775,1402,1359,1485,1978,358,2549,1130,683,1807,499,1307,2123,1136
"PER2",1749,2000,1883,1019,1559,1134,776,1714,1257,1440,1061,1958,2280,2458,595
"PER3",1474,659,2233,1033,2430,1616,1686,1374,1651,796,1638,1519,2420,3775,84
"PERM1",4,12,9,4,17,22,25,44,0,23,0,8,2,2,24
"PERP",2796,35660,11841,1403,39825,49279,118140,177111,11877,18719,25636,29585,601,52149,9076
"PES1",2646,3177,3319,1598,2580,3558,6271,33604,4024,6063,5249,2470,2523,6867,2268
"PET100",945,962,815,462,770,1285,1376,1123,910,1209,919,610,686,1315,665
"PET117",168,171,215,140,91,168,160,217,79,148,374,134,99,174,86
"PEX1",1217,1419,1679,1305,3115,3715,2978,8358,1609,4201,3787,3326,2216,3654,1361
"PEX10",553,1468,865,328,1254,1216,1599,4446,3149,1760,1392,1067,886,2047,464
"PEX11A",183,930,448,582,1524,649,950,1335,2138,1049,1218,548,1344,693,214
"PEX11B",870,913,1027,525,1690,1539,1477,3328,1826,1379,5822,994,1164,2953,674
"PEX11G",50,193,75,84,117,126,137,128,113,176,56,171,90,164,26
"PEX12",432,460,415,86,556,664,1249,2080,365,1053,716,373,527,858,128
"PEX13",1607,2646,1601,1489,5571,6118,11862,7565,3417,8099,3558,2941,1886,3438,622
"PEX14",911,1455,1081,291,1206,1087,2079,1978,1397,1765,1387,983,1117,1680,499
"PEX16",703,411,1021,292,580,790,855,1504,642,412,622,500,575,2186,323
"PEX19",2437,3415,3478,1177,5951,13858,3724,6533,4285,5543,15588,2404,3748,5373,1627
"PEX2",1427,1512,2199,768,3208,2781,3618,7435,1533,3677,3331,2246,2266,4604,1666
"PEX26",4481,4015,4460,2191,5766,6352,7252,21948,6368,8488,5541,4162,5961,7928,4170
"PEX3",459,591,879,297,1216,1068,1076,3190,535,672,996,993,940,1603,1035
"PEX5",1159,1435,1816,727,2294,2345,3336,6103,1620,2689,4600,1667,2294,2117,433
"PEX5L",30,1,9,71,0,2,0,121,13,0,9,8,18,1,0
"PEX6",2132,774,1813,603,1829,926,2495,4275,981,4487,3507,2328,1128,3572,798
"PEX7",111,441,413,114,716,576,907,1551,348,297,285,421,295,546,123
"PF4",11,36,90,6,0,352,6,140,0,6,11,14,4,89,147
"PF4V1",0,0,9,0,16,12,6,26,0,3,4,8,4,6,4
"PFAS",1812,1328,2596,423,1781,2109,1531,14818,3615,3158,3588,1914,1897,2799,596
"PFDN1",1569,1631,1515,419,2396,3128,3116,4468,1986,2980,2502,1386,1948,4272,802
"PFDN2",1174,1715,2468,1087,1366,7201,1762,3276,1651,2289,6651,1232,1002,3828,1451
"PFDN4",391,406,547,460,1272,2280,1503,3100,373,1295,1973,944,485,1430,942
"PFDN5",6056,5014,7699,2067,7093,8158,13294,14609,9745,9868,8113,3981,10322,24985,4078
"PFDN6",1167,1506,1765,429,1595,2459,2413,2315,3005,2207,3712,936,823,3305,610
"PFKFB1",19,46,32,15,506,19,61,63,62,273,192,36,818,40,41
"PFKFB2",2280,1447,1808,884,1730,4638,8195,3852,5690,2868,7106,4498,2038,6185,859
"PFKFB3",22152,3433,3408,1230,7489,17399,7806,11639,2458,6733,24091,3673,8165,5867,2106
"PFKFB4",490,580,398,750,1686,1977,1434,2082,1241,1484,1092,668,481,790,1744
"PFKL",6763,8008,10816,2818,7561,11007,13159,31433,8740,9716,8943,4328,6467,11617,4207
"PFKM",1584,1071,1987,1715,2158,776,4404,11758,2149,3375,4785,1338,3534,1900,626
"PFKP",3778,4729,4583,364,7043,49411,6117,9028,4811,7750,9046,3715,3594,8470,6332
"PFN1",28195,26081,41608,7460,28998,52989,19465,51997,35957,31585,25971,16026,19486,60618,6410
"PFN2",512,2298,1274,2413,4466,10919,8873,22314,7194,12791,12498,1929,2214,525,3846
"PFN3",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"PFN4",20,11,31,9,19,43,53,88,82,82,111,59,60,20,49
"PGA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGAM1",1374,1452,2395,722,4069,2090,5863,2769,1576,3854,1887,1076,1454,4089,620
"PGAM2",7,6,9,6,4,25,7,14,10,6,28,4,33,23,4
"PGAM4",2,2,0,3,7,3,13,0,3,3,1,1,1,8,0
"PGAM5",1975,1888,3110,1269,4450,4184,5191,9106,5724,5235,6017,2641,1614,8475,918
"PGAP1",829,3484,427,1049,6385,2491,2780,7971,880,2104,2143,2787,1873,1087,2482
"PGAP2",522,771,1192,335,1673,2847,2455,2642,1165,1174,1874,1174,670,1685,308
"PGAP3",624,1562,1067,215,1363,1305,4325,4704,3533,2908,4557,1070,1182,2197,292
"PGBD1",273,125,243,119,144,515,216,925,164,655,1112,584,641,319,173
"PGBD2",948,293,701,265,560,648,1176,2313,457,864,959,795,569,1051,559
"PGBD4",305,269,422,396,321,387,593,412,424,541,537,497,518,972,126
"PGBD5",388,56,142,784,290,557,5741,1397,152,131,2382,217,133,666,8
"PGC",15,0,1,34,0,0,0,0,66,0,22,51,0,6,26
"PGD",8497,7004,9599,1482,14740,7124,10608,24365,23315,14357,10633,5858,4642,32807,1165
"PGF",99,1054,394,87,372,992,350,285,280,523,180,371,1526,1146,956
"PGGT1B",2216,2849,2339,723,4307,8138,4129,5193,1528,4807,4516,1771,3026,4835,1367
"PGK1",14999,18227,14406,12001,40537,59841,38817,32956,33856,28232,45206,14177,12419,39322,17166
"PGK2",0,0,1,6,1,0,7,4,0,2,0,0,0,0,2
"PGLS",1605,2537,2155,2097,3257,2438,2008,3044,4475,2241,734,1393,1716,3958,683
"PGLYRP1",3,5,4,5,0,1,0,3,1,0,0,0,1,5,8
"PGLYRP2",10,1,6,4,813,0,27,9,63,180,1122,0,7,9,0
"PGLYRP3",146,5,0,0,640,2,0,16,0,0,75,98,0,576,0
"PGLYRP4",372,32,7,6,263,5,8,132,25,0,336,231,2,336,1
"PGM1",2034,1004,2153,1425,6338,8261,2363,5812,4488,5080,12650,2878,5116,4755,2908
"PGM2",1578,5563,2047,935,7389,5112,4964,11472,5253,4242,11016,3841,2127,4516,867
"PGM2L1",1238,1040,2057,611,1635,3608,1534,17157,2583,4319,1555,13319,2581,3138,263
"PGM3",1708,1821,2844,1436,3907,5488,6162,16943,3182,2810,3839,2074,4676,2620,1558
"PGM5",232,375,1224,47,139,147,50,2178,317,122,83,74,5987,2052,164
"PGP",751,764,956,362,661,1143,1217,2925,899,1310,1202,712,533,1533,706
"PGPEP1",3223,2069,4106,1136,3325,5399,4067,5792,5679,5502,2483,1407,3685,4677,2034
"PGPEP1L",0,2,8,13,0,0,0,12,0,1,0,2,15,0,2
"PGR",36,113,107,48,44,281,31,15,51,175,20,114,964,104,2
"PGRMC1",1646,6486,3588,2106,13391,7000,9693,21304,9528,11450,13044,6573,3642,7523,1543
"PGRMC2",1880,4075,3360,1770,5615,7913,18079,8701,5191,6424,6015,6018,4663,4058,3060
"PGS1",2865,1122,1988,494,1099,1461,2393,7858,2111,3123,2564,1575,2740,3010,1161
"PHACTR1",792,800,4522,300,353,706,215,3305,606,440,239,517,2082,4809,89
"PHACTR2",4431,4903,11951,2367,5540,8098,12820,28740,7693,6058,5339,4594,11116,15569,1933
"PHACTR3",0,29,209,32,60,5,12,188,20,35,2,36,86,12,2
"PHACTR4",3910,3830,4854,1204,5921,6601,8671,11604,5833,11484,5398,5837,5004,6602,2933
"PHAX",2290,1726,2444,615,3431,5276,5402,5063,2873,4600,5450,2122,3435,7150,1002
"PHB",2479,3823,3692,1973,6416,8619,12472,16906,6451,13141,11547,4585,2928,9766,1049
"PHB2",3933,9821,6818,1808,9818,6446,18632,24418,6234,11823,10482,4211,5301,11859,1361
"PHC1",730,317,891,122,423,1343,768,3457,752,1658,1369,431,1248,1168,554
"PHC2",3722,3334,4210,1184,4633,6244,4460,13474,7976,7908,6582,3886,6466,5920,2074
"PHC3",11562,9703,11156,3075,9770,14285,14185,28082,8656,10336,11686,8560,14968,18823,4308
"PHEX",44,54,354,131,35,59,130,218,181,27,155,221,68,1151,70
"PHF1",2586,1283,2938,535,1125,1968,1791,2035,1823,1595,2221,1041,3254,4067,1615
"PHF10",3725,2018,3712,684,3805,4214,3839,9747,2233,6016,7594,3248,4278,5125,2836
"PHF11",1892,912,2218,548,2566,3206,1833,2104,1222,1135,3250,1562,2936,4051,2991
"PHF12",5119,3486,5880,2067,3259,3867,7321,14105,3894,8115,6588,3728,5247,7637,2159
"PHF13",996,1494,1884,301,1975,2200,5508,5726,2882,1738,2758,2057,1876,2207,1942
"PHF14",3692,4281,3431,1882,3773,6032,6240,24602,4459,8964,5594,8208,6242,6685,863
"PHF19",2039,1660,3282,671,1055,3266,364,5002,1305,2254,2309,1731,2056,4939,2966
"PHF2",3563,4283,4017,1283,4465,5851,3303,16249,4305,6987,5713,3666,5714,6811,3122
"PHF20",4012,2475,5457,3249,3576,9123,7380,17018,4145,7095,8137,4687,7737,9992,3693
"PHF20L1",3812,2695,4492,1672,7966,7864,5617,14170,4435,6850,10334,10781,10910,10073,3087
"PHF21A",3867,1866,4451,1166,2929,3099,2814,12339,2742,2317,3952,3022,6185,6391,1210
"PHF21B",111,3,20,1,0,0,0,294,8,26,1,9,10,2,0
"PHF23",2487,1317,2625,750,2788,4063,3242,7066,3266,4279,2781,2151,2722,5263,746
"PHF24",8,10,188,0,0,0,1,45,28,0,44,7,97,261,487
"PHF3",9848,5553,12712,4411,10865,14614,13579,30640,6739,15675,20128,8047,14205,19006,4864
"PHF5A",1109,1165,1708,457,1472,1821,2229,4773,1469,2263,1942,1054,1155,3888,555
"PHF6",1754,1455,3699,1667,3884,4854,6953,12605,2571,5831,6006,3456,2122,4647,1258
"PHF7",295,334,323,42,321,323,396,820,200,883,214,266,416,558,188
"PHF8",4198,3791,4507,2833,4124,3575,5046,11266,6314,6296,7943,3518,4800,7651,1939
"PHGDH",673,919,3294,1461,2749,3445,10345,27404,2317,4840,2717,5111,633,3366,1765
"PHGR1",0,123,0,1,9,3,11,2,1,192,0,161,0,0,23
"PHIP",8885,5923,11137,4557,11443,10943,10548,62640,7179,10098,16302,9918,12795,15468,3916
"PHKA1",701,424,821,558,1027,6704,1637,2306,1529,1954,5014,1541,1040,1721,454
"PHKA2",2499,3147,2217,1511,3046,2096,3946,9147,2731,3262,2414,1813,2857,4263,1702
"PHKB",4015,3511,4818,2742,8145,10705,6545,15275,3970,4290,6345,4915,7792,9998,23209
"PHKG1",62,52,76,40,47,45,34,145,61,52,159,78,498,74,49
"PHKG2",1019,527,1057,688,759,908,820,2217,1469,1180,804,820,890,1494,861
"PHLDA1",2191,1787,1757,303,11496,12206,26145,963,741,13301,1476,2011,2357,4137,82
"PHLDA2",158,579,356,166,1649,1900,585,64,405,570,185,1015,129,824,16
"PHLDA3",831,2506,542,438,1360,2260,10857,1270,1200,3509,10139,3925,1822,1635,876
"PHLDB1",4374,2126,1547,980,1168,3713,2406,3532,5679,6003,3399,3669,23682,1979,198
"PHLDB2",1415,2645,1633,1011,3304,41684,6037,940,1208,7091,1264,4164,13600,6095,29394
"PHLDB3",1282,751,1234,459,960,395,1943,3805,2104,2360,2100,649,570,1211,720
"PHLPP1",1412,3145,1660,510,4615,4067,5286,21108,1985,5075,7315,1942,1486,1822,1166
"PHLPP2",1915,500,2232,1106,911,1566,805,5646,2726,1478,3489,912,2455,2619,1136
"PHOSPHO1",12,38,71,187,2,39,4,117,8,11,7,34,33,97,343
"PHOSPHO2",61,99,44,48,155,231,72,380,53,188,184,187,111,134,74
"PHOX2A",1,14,4,9,0,0,2,3,0,0,0,2,2,1,0
"PHOX2B",0,6,1,24,0,0,0,0,1,1,0,0,0,0,0
"PHPT1",1999,2064,1357,433,1116,1607,1363,3803,1805,1815,2737,949,1807,2422,1631
"PHRF1",4637,2710,5246,1616,3084,4962,8029,12216,5574,4076,5464,5714,4705,6043,2259
"PHTF1",1351,993,1530,784,920,1681,960,1337,1873,3563,1579,1335,2952,1646,715
"PHTF2",1798,1602,2790,1171,1851,5580,4614,5220,1760,3578,3759,2594,3585,7358,1497
"PHYH",452,747,716,147,4552,3290,1162,7188,1624,2110,1930,1059,1007,1161,1291
"PHYHD1",172,81,187,16,223,179,277,207,99,125,311,337,695,375,8
"PHYHIP",63,5,33,12,10,175,13,17,18,21,5,128,500,4,4
"PHYHIPL",6,10,43,8,33,2,10,452,0,22,21,2,38,0,6
"PHYKPL",4344,1626,4014,419,3082,1774,1913,5390,1943,2412,2365,1829,6402,5729,2310
"PI15",168,349,54,40,172,380,971,593,138,205,170,349,956,534,88
"PI16",89,8,204,1,3,6,1,98,11,11,10,5,463,158,12
"PI3",16,5,67,0,1624,14,13,0,0,0,17,15889,4,254,25
"PI4K2A",1755,1041,1334,757,1703,2252,2376,3052,2094,2321,2296,1311,1895,3196,948
"PI4K2B",453,871,914,251,1698,1753,2566,1483,771,748,1949,957,580,1710,784
"PI4KA",7340,4816,9216,4602,6353,9132,10238,25716,6966,12951,11086,5303,8614,14646,11752
"PI4KB",6804,3413,9314,4224,3963,10477,5156,11503,5807,8843,23448,3531,6182,10108,3252
"PIANP",3,3,52,7,1,4,2,146,1,39,3,8,4,49,1
"PIAS1",9694,3727,6036,1895,4340,5535,5109,12053,2654,5496,5281,3664,5871,9333,3005
"PIAS2",2485,1516,2223,841,3179,4672,2509,10579,2573,4226,9565,2550,4332,4134,1588
"PIAS3",2299,3462,2694,1496,3579,3642,9105,3531,7851,2529,22019,4115,3826,2936,5092
"PIAS4",2230,1405,1863,774,1492,2850,2274,2928,1272,2628,2274,1503,1170,3080,897
"PIBF1",1436,1556,1525,395,2351,2943,2158,3358,1563,2950,2325,2852,3511,3588,2249
"PICALM",9217,7409,10135,2267,17259,23252,16364,20238,16950,19565,11759,12741,17309,18790,7086
"PICK1",957,888,1145,244,1364,880,1317,3322,1192,2119,1448,890,876,1161,1653
"PID1",173,56,329,53,1140,249,66,105,77,207,495,152,1741,896,3
"PIDD1",591,271,926,194,293,462,668,1150,627,526,530,953,795,643,792
"PIEZO1",7164,11850,8071,4233,5462,8041,7008,2744,16870,7751,10568,6922,11069,9216,6521
"PIEZO2",457,1502,762,259,1399,896,1318,1251,1223,2624,665,920,4285,1103,1
"PIF1",322,236,543,275,223,227,205,1207,369,380,435,425,294,724,143
"PIFO",1,280,8,49,351,544,988,527,231,2902,46,259,76,37,121
"PIGA",522,1027,627,376,2068,1762,1347,2131,1081,1802,1281,933,484,1212,441
"PIGB",544,669,556,186,940,1018,1843,1397,625,1217,1313,686,858,1278,306
"PIGBOS1",266,444,331,184,238,252,602,714,312,428,552,190,367,689,172
"PIGC",1487,951,2178,908,1175,1861,2476,4949,1755,1892,3967,1037,1210,3049,4572
"PIGF",447,824,620,213,1383,1756,1368,2693,738,1982,660,589,808,1516,229
"PIGG",3991,2314,2712,632,2748,2905,4129,5876,2879,4661,4329,2728,4499,4003,2008
"PIGH",430,584,496,181,519,771,822,925,341,705,1034,401,545,1005,341
"PIGK",1231,966,1613,954,1360,2973,1375,1682,1702,3141,4794,1130,2129,3580,1077
"PIGL",1047,567,768,341,697,1433,387,2319,632,1275,354,980,1380,1418,680
"PIGM",1034,1318,1961,699,1445,4667,3012,5428,2617,2422,5756,1059,1081,1805,853
"PIGN",1752,2008,1364,855,3873,3747,6824,11088,1184,7652,10246,1854,2008,3366,996
"PIGO",1661,2221,1903,1246,2071,4372,2494,6651,5192,4225,25314,1216,1418,3054,999
"PIGP",527,803,795,132,1092,567,1032,1146,317,1090,530,747,813,1054,336
"PIGQ",1229,922,1377,465,1257,1527,2654,3248,3025,2654,2148,1124,1255,1881,396
"PIGR",46,72,180,40,13647,32,83371,487,36,1426,1117,33076,57,1008,461
"PIGS",2775,2205,3280,1981,3197,7084,8329,12901,4298,5885,9017,2679,2729,7481,1068
"PIGT",7670,5111,4250,2338,3782,16132,6163,13152,10584,9896,20288,13915,4375,6111,2830
"PIGU",705,1329,1159,317,1437,1685,2577,3890,2305,2303,2722,2328,690,2123,614
"PIGV",488,600,729,121,1471,1441,1191,2099,1076,1746,630,798,830,1285,453
"PIGW",354,746,562,277,779,1238,2267,2334,710,2079,1152,784,387,1155,360
"PIGX",643,1133,1215,830,1296,1496,2521,2956,1103,1876,1820,1568,1084,2740,925
"PIGY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIGZ",254,958,137,92,208,159,159,1362,196,105,330,240,316,313,41
"PIH1D1",1534,1355,2134,486,2281,2503,3037,7266,2866,5230,3350,1645,1512,3083,1155
"PIH1D2",22,41,36,36,74,100,141,176,66,234,52,70,76,47,40
"PIK3AP1",8721,3192,11272,1041,4243,7354,800,5727,4194,1848,2774,1114,3234,16604,262
"PIK3C2A",3688,3122,5874,2010,9546,11463,10732,17082,5968,6864,11214,8646,12295,9505,3616
"PIK3C2B",2891,8318,10762,1329,8738,3583,13842,31749,11318,18788,9077,6052,9496,8010,1363
"PIK3C2G",119,282,3454,162,1165,6,106,1421,0,311,469,339,0,1,40
"PIK3C3",3298,2382,2807,1124,5464,8616,5269,14385,3349,6455,10161,3149,5861,6480,3514
"PIK3CA",2418,1961,3295,1168,4002,8339,6032,13282,3031,2503,5940,3663,5280,7057,2348
"PIK3CB",4620,2358,2588,644,4504,16672,9134,10576,3038,5329,6920,4490,3065,7168,2065
"PIK3CD",5367,2494,8879,799,523,1755,181,4394,2957,717,2559,1288,4038,13810,697
"PIK3CG",3575,1604,6305,566,447,1881,141,8780,1362,422,880,2529,2721,9464,186
"PIK3IP1",3258,1561,4221,1253,2130,2466,9959,2929,2577,1788,1893,1595,4009,12370,3651
"PIK3R1",6431,11044,6619,2308,10998,5975,14524,14777,7208,10305,5133,8143,15317,14891,1194
"PIK3R2",60,91,78,30,95,87,143,156,78,175,107,94,62,86,51
"PIK3R3",1448,1489,5426,938,1977,1127,3279,5144,2844,3887,2111,3224,4363,4395,293
"PIK3R4",2529,3216,2800,983,4437,6646,6837,15821,3891,5628,7288,5132,3798,6857,1698
"PIK3R5",3260,1243,2410,641,491,1439,183,1508,1479,432,571,603,2043,4833,346
"PIK3R6",370,236,460,138,82,384,20,212,203,66,125,142,548,763,32
"PIKFYVE",5678,3233,8835,1617,5175,5838,4772,13615,4647,5169,12454,4381,9646,14734,1965
"PILRA",2228,794,372,241,230,1313,113,461,926,215,192,90,476,1223,71
"PILRB",692,241,528,107,173,287,509,2234,1088,454,723,1072,682,872,606
"PIM1",2900,5439,5362,412,7047,5031,6614,4528,15125,11987,1665,2468,4098,5395,10064
"PIM2",8216,3971,10256,1304,695,3146,621,3189,2199,760,2001,1432,8828,13158,1118
"PIM3",4339,2407,4097,1019,1829,2472,4092,3540,4127,2301,4958,1398,3069,5432,747
"PIN1",2090,1465,1946,1895,1506,2429,2086,2922,1329,2740,1772,1368,1766,3983,897
"PIN4",759,865,1130,345,927,748,899,1411,586,1469,1753,1056,715,1350,448
"PINK1",2128,2042,2328,2220,4608,6059,5032,3017,3883,3889,7175,2214,4833,3914,3810
"PINLYP",367,61,85,28,14,41,21,123,122,41,19,69,303,165,12
"PINX1",242,208,449,140,354,390,463,1099,311,591,437,361,393,908,92
"PIP",266,20,151,3445,1,0,267,0,0,0,33,37,0,50,0
"PIP4K2A",7044,3104,11016,1513,2033,9207,1715,8944,4130,3672,11722,2463,7427,19607,2177
"PIP4K2B",4475,3726,5676,1689,5278,8944,9555,16166,4646,11578,11893,4774,8336,9404,1748
"PIP4K2C",2486,2670,2282,1330,4009,5947,5358,9833,5873,4590,10446,2370,1675,3803,1883
"PIP5K1A",4599,1794,6982,1143,3663,17389,5385,12262,4508,5709,13437,2774,5661,7899,7002
"PIP5K1B",305,331,1153,224,279,43,13,785,173,27,44,361,419,680,540
"PIP5K1C",5262,3109,4197,1765,2727,4841,4159,4566,4109,4293,3346,2571,5767,5620,1116
"PIP5KL1",20,28,36,7,65,188,14,456,70,16,166,79,74,47,157
"PIPOX",215,115,135,46,4877,93,126,173,117,536,1607,325,198,293,36
"PIR",904,874,442,762,3302,1070,590,844,1312,3101,596,2016,676,617,69
"PIRT",0,9,1,5,0,0,0,0,0,0,0,0,2,0,0
"PISD",2100,1325,2252,774,1579,11973,1957,5793,1604,1961,1243,1414,2431,2868,5550
"PITHD1",1486,1374,2146,952,2864,2980,3638,8296,3013,3823,2703,2509,2188,4911,1499
"PITPNA",5305,3767,4562,2130,4798,5670,2598,11366,5294,9183,5619,3792,5545,8224,1287
"PITPNB",3295,4513,5459,2001,8655,7368,5481,15839,2921,6799,6299,4311,6468,10086,4861
"PITPNC1",3201,1261,3683,1228,2339,7933,407,3096,3122,1320,3022,1533,3629,5317,1970
"PITPNM1",3146,2235,4500,703,3538,8574,3521,5278,5266,7760,2496,4020,2296,5848,1142
"PITPNM2",1399,495,1046,259,1296,1169,954,2461,943,1127,1773,1155,2182,2317,406
"PITPNM3",802,735,1338,752,739,668,62,242,359,759,2180,2725,579,1185,162
"PITRM1",3954,4152,4324,1698,9070,14685,10554,11644,7345,10723,12448,6067,5429,9782,2750
"PITX1",470,852,613,164,1255,1714,2384,1814,97,900,3341,1610,298,20477,105
"PITX2",6,2,35,14,388,7,898,1238,1,1291,676,401,192,0,5
"PITX3",0,6,0,4,0,1,0,1,1,0,0,3,6,1,0
"PIWIL1",0,21,0,7,42,11,0,3063,0,1,2,2,2,2,0
"PIWIL2",65,40,571,363,17,80,6,37,64,32,3,26,422,106,12
"PIWIL3",0,0,19,7,0,2,0,0,0,0,1,1,0,0,51
"PIWIL4",528,116,529,49,147,196,159,1125,402,179,349,143,600,444,98
"PJA1",1030,3175,1400,278,2806,804,1437,4703,2933,2497,3158,2083,2059,2132,400
"PJA2",8174,6748,8457,2453,10467,19143,14318,21735,6661,9680,11910,5986,15778,18846,4741
"PKD1",4847,2887,4141,1062,1804,2821,3590,6833,3467,3387,3892,2731,8974,4184,2233
"PKD1L1",177,1527,298,20,775,74,244,934,865,935,66,135,720,165,12
"PKD1L3",14,26,43,35,113,5,10,11,36,37,8,20,106,60,6
"PKD2",2353,1369,2062,1504,1931,5882,1654,5339,2522,5739,3543,2311,7592,2954,4422
"PKD2L1",36,60,50,13,21,18,14,65,26,13,24,41,9,100,6
"PKD2L2",2,1,5,0,4,0,9,17,5,1,6,12,19,13,3
"PKDCC",5108,232,369,192,167,226,299,188,171,457,5569,302,4010,282,2
"PKDREJ",2,1,6,7,16,1,3,1,6,8,2,4,20,7,0
"PKHD1",4743,11,157,22,650,51,3535,2919,692,3934,741,160,96,6,0
"PKHD1L1",208,22,677,27,21,21,1,174,26,6,738,125,79,430,23
"PKIA",407,1354,345,26,1085,187,1356,3537,281,10009,693,1093,242,901,29
"PKIB",30,270,108,127,441,600,232,255,13,150,560,297,31,265,51
"PKIG",838,510,1598,655,583,1961,980,2662,1499,1682,2268,686,2063,2775,26
"PKLR",10,5,0,68,743,0,8,7,31,15,378,0,0,0,0
"PKM",40884,50140,36752,16427,80551,85199,183829,153406,65656,111427,111190,62816,36210,69587,17290
"PKMYT1",412,621,704,274,492,966,488,3798,834,1295,1152,621,92,1292,463
"PKN1",4544,2334,7231,1916,2370,10031,5854,10276,6976,6110,10661,1219,6967,8178,1133
"PKN2",3405,2165,4272,1777,12692,8877,6454,14884,6491,15544,6519,8768,6135,7228,5421
"PKN3",715,341,597,182,336,433,261,1513,499,881,368,699,1143,915,710
"PKNOX1",1361,835,1424,412,1952,2035,1592,6042,1151,2414,2415,1710,2145,2477,1044
"PKNOX2",74,102,150,188,28,49,114,42,50,111,13,123,618,326,0
"PKP1",2817,7059,137,407,3101,21,6806,69483,142,14641,7387,19075,295,21820,7
"PKP2",8928,2310,2106,229,3752,17201,2654,6068,1880,4005,8247,1214,533,2722,7586
"PKP3",346,2433,1271,678,5239,5330,8061,10335,1555,1936,4287,5066,38,2475,1866
"PKP4",5041,4063,3349,3607,8403,5643,2455,9310,5288,5755,12381,5226,11660,7967,258
"PLA1A",1704,221,970,170,169,108,416,99,315,142,179,65,1608,3529,2
"PLA2G10",22,2,6,4,29,14,5,6,0,61,17,81,1,0,8
"PLA2G12A",706,1901,1005,674,3470,4464,4478,4554,853,6364,3529,1945,2589,2292,923
"PLA2G12B",1,0,0,0,497,1,23,12,0,48,187,0,2,1,1
"PLA2G15",1440,1308,920,678,1119,2408,3920,2893,2949,1277,1326,1004,1354,1999,276
"PLA2G1B",1,0,0,0,0,0,5,0,12,0,3,20,3,4,0
"PLA2G2A",1205,191,790,142,17218,1673,5714,1500,60,17516,1798,182,3202,0,8
"PLA2G2C",5,13,20,117,1,48,74,24,16,6,2,6,24,11,1
"PLA2G2D",4434,4109,9225,335,180,762,284,2180,1520,73,154,173,536,21065,6
"PLA2G2E",0,0,0,1,0,4,0,0,0,5,1,1,1,0,0
"PLA2G2F",0,169,0,23,1035,2542,7508,37,237,10457,5,242,0,11,0
"PLA2G3",513,0,33,0,14,1,4,12,1,0,160,27,2,23,0
"PLA2G4A",1277,800,813,56,1334,570,3591,592,1063,575,1205,884,698,1880,1245
"PLA2G4B",146,22,102,21,39,20,53,218,26,52,41,35,179,120,54
"PLA2G4C",1667,246,957,90,359,768,96,190,484,293,2009,221,1438,2230,33
"PLA2G4D",5,32,1,21,19,1012,2,53,12,5,825,30,0,6,16
"PLA2G4E",27,1,0,16,585,1,0,3,2,42,813,747,3,743,0
"PLA2G4F",2,1341,152,917,963,1160,3532,473,1777,570,1831,379,6,481,35
"PLA2G5",22,29,38,29,89,163,52,22,0,87,73,18,378,49,0
"PLA2G6",1073,351,1209,314,416,264,443,3434,584,865,338,535,1350,1303,542
"PLA2G7",2905,1198,1500,500,912,1139,176,2169,744,781,316,422,475,8520,37
"PLA2R1",1452,711,637,382,2550,2749,709,2456,1331,1309,3143,2091,3785,1507,588
"PLAA",2238,2119,2780,834,3119,7576,2368,9653,3512,3976,18370,1836,2264,3868,2059
"PLAC1",0,277,2,0,22,0,142,76,1,16,1,29,0,82,8
