"GENE_SYMBOL","S01","S02","S03","S06","S08","S10","S11","S12","S14","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S29","S30","S31"
"SIGIRR",8.992781935,8.098295833,8.558403842,8.018607172,7.801434502,8.558403842,7.494897691,8.137468681,8.49709531,8.647812078,8.427236788,8.520247433,8.408670476,8.614562773,8.296832848,8.790679538,8.880945945,9.079920614,11.17592642,9.036490546,8.188367725,8.260626152,8.813421627,7.858453327
"SIGLEC1",10.40207421,10.12327029,11.62409744,8.756816672,9.264969899,12.20207474,9.303184157,8.813421627,9.095156358,9.349242378,10.13043429,8.963382147,9.12777082,8.933852386,9.859458477,11.0474582,9.49634286,11.01400126,8.146493393,9.869572379,8.591651585,9.64291886,9.358459913,8.930822747
"SLAMF1",5.762240037,6.496818428,7.123177014,5.551909487,5.947232766,7.452677162,5.046047336,5.937482809,5.777662793,7.228158645,6.820199568,7.145319467,5.51840002,5.89971157,6.23371904,5.665908686,5.727165714,7.032135767,6.812094966,6.581770677,6.414542961,6.662108482,5.419895743,6.585780314
"SLAMF6",5.89971157,6.625253618,7.049990459,6.741490131,7.095447866,7.607493997,5.815431781,6.479674029,5.740347914,7.467407138,7.204320108,6.845475937,5.751293975,5.646926942,6.762095459,6.533416024,5.551909487,7.529386821,7.366541662,7.21658156,6.294694527,7.046419806,5.631993395,7.510587974
"SLAMF7",8.580551883,9.426315556,9.392829244,7.855615013,7.502649071,10.14985354,8.064831002,8.067273418,7.949610018,8.762588489,9.828214045,7.926475158,8.346236184,7.946272052,8.385009535,8.306087269,7.863218563,9.28801033,9.225262524,8.92295585,7.445595336,8.883525312,7.470506387,8.287717698
"SLC11A1",8.567752371,8.235422119,8.208464387,8.257646281,8.069268334,8.690123931,8.040746245,8.054053283,7.600851314,7.847959304,8.190694938,7.474814358,7.38602445,7.228158645,8.342116413,8.742550382,7.916669198,8.909842072,8.011617537,8.612440184,8.102611804,7.26762795,7.5792222,8.591651585
"SMAD2",9.656009836,8.029492852,8.975056709,9.732408792,9.689986154,8.586457857,10.34277445,10.05203166,9.634404303,9.920203466,8.246054343,9.773339873,9.139593148,9.4458642,9.184665866,7.63987691,8.880945945,9.785997763,8.536918826,9.506193983,9.592399233,10.34277445,9.512521462,10.22893157
"SMAD3",12.10886503,10.11028446,9.659678505,10.14985354,10.18302647,10.23712629,10.64937064,10.85128361,9.76740385,10.37422105,10.18302647,10.27942875,9.882000641,9.64291886,11.27525845,9.006494929,10.72001538,10.14985354,10.04105357,9.49634286,10.2508849,10.35955878,9.813662754,10.44402172
"SMPD3",6.375660584,5.508900997,6.334851504,5.605599861,5.392399208,7.107984002,5.328154524,5.499401975,5.270404715,5.360341502,5.882485765,4.828698639,5.270404715,5.100088612,5.574590475,6.077521732,5.508900997,6.341568009,5.882485765,5.463492013,5.584365175,5.832607922,5.070403832,5.449148365
"SOCS1",9.095156358,7.767079297,8.274556926,7.818146984,9.336385183,8.239098371,8.153249616,8.66910757,7.452677162,7.671547799,8.110108397,8.333250409,8.586457857,8.071263251,6.913220587,8.003568237,7.419642673,7.637505744,7.091666564,7.891937288,6.94728214,7.472660372,7.78517468,7.472660372
"SPA17",9.689986154,9.481479251,11.03094982,9.225262524,8.146493393,11.08864468,8.870908915,8.52275411,9.027288924,8.774627538,10.0802362,8.077385908,8.512483401,8.40218602,8.589329134,9.49634286,8.577517186,8.387481335,8.909842072,8.060046822,9.097545063,8.500078739,9.015613595,9.027288924
"SPACA3",7.831023454,7.828953368,8.486039795,6.287821438,8.759702581,9.597909213,7.302229943,7.652645914,7.5879601,6.468174117,8.333250409,7.955789527,7.656395615,8.081557191,8.201603526,7.869504377,8.342116413,9.4458642,8.374059117,7.671547799,6.414542961,6.394673207,7.372360807,6.559468919
"SPANXB1",6.102441036,6.725302684,7.535096719,7.671547799,6.111258223,7.987856514,5.868685462,5.646926942,7.73757935,7.467407138,10.3169505,5.31543769,7.573281131,8.737016271,6.059608642,7.42841619,7.557648648,8.213288523,6.501267285,5.31543769,5.937482809,7.916669198,6.603386273,8.627124421
"SPINK5",6.953146366,7.164699309,7.751398457,7.505250909,6.758142514,7.920641094,7.250712993,6.516027102,6.633343324,6.845475937,7.733914822,6.886767175,8.027583008,6.280948348,6.762095459,7.914566029,7.046419806,7.317221558,7.603300889,6.725302684,8.327323137,7.557648648,7.497256295,7.618386956
"SPN",7.944004634,8.270607674,7.733914822,7.259981948,7.483310234,7.573281131,6.839183437,6.918966841,6.184601312,7.898477416,7.726580962,8.00561246,7.831023454,7.544277655,7.401676564,9.376164784,7.204320108,7.38066416,6.681358918,7.869504377,6.595352333,6.394673207,6.526338062,4.731162769
"SPO11",7.747683784,6.868874478,8.327323137,6.401515313,6.674481408,8.905931605,7.437483542,6.328135,7.012445324,6.94728214,7.743271006,6.102441036,7.107984002,6.590566323,7.464307888,7.107984002,7.630095403,8.451787957,7.213215356,6.668294945,8.482481489,7.5133232,7.127496029,7.685305259
"SPP1",12.29462228,13.87475092,8.057705056,11.42107664,13.8023746,8.335216668,14.9235035,11.47025424,11.08864468,11.27525845,13.30997293,12.63820875,12.24600004,14.42240893,12.20207474,11.75365188,11.47025424,7.792191597,11.03094982,10.76782179,10.91941446,11.97459186,9.949161622,10.73684413
"SSX1",5.89971157,6.96238506,7.42841619,10.90334059,6.468174117,8.475556077,7.55078857,5.89971157,7.274419545,6.559468919,7.40776658,7.012445324,8.227937838,6.762095459,9.773339873,7.219947764,7.404721572,10.59381062,7.985923873,6.863239396,10.86511502,7.717057744,9.747586975,8.66910757
"SSX4",6.839183437,7.5133232,8.160329001,6.700598933,5.777662793,9.682321395,7.73757935,7.259981948,7.274419545,7.194492835,8.265961588,4.349460793,7.313990633,7.38602445,7.470506387,7.661578093,8.055879169,9.086794146,8.003568237,6.938348069,7.963741311,7.63987691,7.053561112,8.235422119
"ST6GAL1",10.48001738,11.10580396,10.48001738,11.94090831,11.08864468,10.9377498,10.80003033,12.34539454,12.391275,12.02478334,10.97811082,12.391275,12.20207474,12.24600004,10.90334059,10.19572853,12.02478334,11.15131971,11.19766951,12.5961492,12.24600004,11.39669916,11.83672428,13.30997293
"STAT1",10.95901651,11.36840484,8.001291711,10.40207421,12.07754452,7.07346294,11.44549134,11.75365188,10.99691617,10.32664048,7.801434502,12.20207474,12.02478334,10.5472852,11.39669916,11.12961288,11.94090831,10.09052434,9.833017943,10.91941446,10.42656825,10.48001738,11.19766951,11.65049586
"STAT2",11.65049586,10.73684413,9.082440928,10.6708669,10.09586567,8.239098371,11.12961288,10.35359732,10.37422105,10.47072146,9.634404303,11.08864468,11.7359146,11.0474582,10.37422105,11.22088754,10.50525162,11.39669916,11.00545871,11.65049586,11.47025424,10.97811082,11.03094982,10.35955878
"STAT3",11.83672428,12.20207474,12.85426195,11.5413939,12.9231644,9.604057489,11.59853674,12.14377682,12.54218813,11.94090831,12.07754452,12.10886503,11.42107664,11.65049586,11.77554511,12.34539454,12.5961492,11.44549134,11.10580396,11.59853674,12.391275,11.5413939,12.07754452,11.7359146
"STAT4",7.456050174,7.5133232,7.930440494,7.293919328,7.401676564,8.142800535,7.180009982,8.112865754,8.199276247,7.890047338,7.717057744,8.274556926,8.294713685,8.09216041,8.178375157,7.476908701,7.818146984,7.483310234,7.570664717,7.972316238,9.670342693,7.740425178,7.393598859,7.510587974
"STAT5B",8.825782692,8.837581298,9.161153237,9.158554692,8.570506867,9.470221313,9.358459913,9.912841997,9.074814442,9.740415998,9.171900529,9.329577109,9.392829244,9.686153774,9.364284756,8.366327905,8.866705267,8.395258851,9.673969563,9.971381506,9.652341167,10.07152977,9.349242378,9.336385183
"STAT6",10.9377498,11.77554511,11.88133891,10.86511502,10.06208609,10.20262947,9.697918214,10.72001538,10.65679742,10.9377498,12.20207474,10.9377498,10.90334059,10.99691617,11.57622378,11.62409744,10.80913855,11.59853674,11.70774708,11.22088754,8.799015958,11.47025424,10.35359732,10.42656825
"SYCP1",5.804291221,5.270404715,6.12007541,6.364464373,6.57776104,7.063266318,5.929787973,5.183315291,6.414542961,5.84374654,5.785406727,5.947232766,4.545589181,4.675625916,5.937482809,6.401515313,5.183315291,8.583586579,6.102441036,5.68489043,7.046419806,5.713983513,5.574590475,6.681358918
"SYK",6.758142514,7.194492835,4.920550722,7.733914822,8.260626152,4.041127994,8.10735104,7.869504377,6.633343324,8.536918826,5.699436971,8.63050125,8.351789987,7.302229943,6.913220587,7.467407138,7.278645263,4.8594501,5.793150662,8.248323684,7.155659982,6.595352333,7.441886523,7.028108429
