"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"AHSA1",1324,9888,5238,2747,2103,1171,5105,3241
"AHSG",1,2,2,2,4,15,8,5387
"AHSP",0,0,0,1,0,1,5,0
"AICDA",0,1,3,3,17,0,3,0
"AIDA",146,727,772,438,979,325,1612,700
"AIF1",324,846,893,189,1888,1188,2027,742
"AIF1L",263,251,241,863,85,57,430,28
"AIFM1",1648,2758,4109,2434,2723,1714,4986,3028
"AIFM2",935,377,829,867,360,292,1189,951
"AIFM3",123,438,465,112,66,37,130,110
"AIG1",223,2365,1725,878,577,619,1906,739
"AIM2",10,107,111,30,2406,270,2773,357
"AIMP1",663,3489,4109,1511,2094,1293,3988,2698
"AIMP2",1668,6043,4534,2244,1906,1517,3062,6959
"AIP",1228,3164,2172,3704,2321,1101,3836,2788
"AIPL1",0,1,2,0,2,8,5,9
"AIRE",78,266,26,32,30,3245,438,1577
"AJAP1",18,19,107,8,30,6,264,17
"AJUBA",771,1389,1173,4396,1698,745,1749,4083
"AK1",7,114,23,155,26,11,62,29
"AK2",4481,10425,11617,10602,13091,5518,15482,14552
"AK3",647,1889,1994,2174,1958,1101,5018,1283
"AK4",614,1395,622,554,44,69,352,143
"AK5",23,920,117,122,12,12,222,12
"AK6",22,809,1056,294,625,273,1207,535
"AK7",4,98,2,136,17,22,57,55
"AK8",57,149,90,266,96,27,153,126
"AK9",53,746,811,760,969,387,1183,407
"AKAP1",7064,6994,12969,45115,10489,7521,20949,12894
"AKAP10",532,5722,3388,2372,3149,1054,5265,2120
"AKAP11",843,5401,20638,6197,12269,4113,21517,6340
"AKAP12",2724,13550,4515,5444,4371,2961,31368,1308
"AKAP13",6933,15081,15218,16319,18482,8450,52080,18725
"AKAP14",1,5,2,4,0,0,3,1
"AKAP17A",5430,7269,8930,15705,6996,5288,13750,12832
"AKAP3",5,73,197,115,181,53,187,162
"AKAP4",0,0,0,0,0,0,0,0
"AKAP5",4,730,111,158,302,89,571,198
"AKAP6",63,4961,912,675,2135,898,3731,1699
"AKAP7",62,1225,311,322,981,359,1795,2445
"AKAP8",3093,7221,7724,8288,5081,2989,8595,7997
"AKAP8L",3602,8846,9356,9007,5243,4479,9833,8891
"AKAP9",5979,25314,33357,19786,34007,13054,56228,19613
"AKIP1",208,910,598,617,544,446,1016,1406
"AKIRIN1",346,1230,1203,878,822,593,1500,1153
"AKIRIN2",438,1163,878,800,1003,1594,1390,755
"AKNA",2798,3746,4788,6727,14105,6620,24568,11736
"AKNAD1",6,13,16,0,4,6,32,58
"AKR1A1",4117,5826,4774,3798,4704,5658,5607,12052
"AKR1B1",377,5672,1859,4629,1567,1478,3486,3399
"AKR1B10",3,153,5,46,31,8,18,0
