"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"ADGRF2",0,0,0,0,0,0
"ADGRF3",0,0,1,0,4,0
"ADGRF4",0,0,5,0,0,0
"ADGRF5",146,160,131,33,184,441
"ADGRG1",264,141,182,241,690,18
"ADGRG2",7,0,7,0,6,0
"ADGRG3",2,0,0,0,9,0
"ADGRG4",0,0,0,0,0,0
"ADGRG5",31,0,0,0,10,0
"ADGRG6",34,199,47,75,239,0
"ADGRG7",0,0,118,0,0,0
"ADGRL1",489,359,737,2482,459,566
"ADGRL2",105,20,92,45,50,0
"ADGRL3",69,0,0,0,13,0
"ADGRL4",243,94,124,91,166,0
"ADGRV1",9,238,204,0,184,2
"ADH1A",0,0,0,0,0,0
"ADH1B",528,10,0,0,382,1
"ADH1C",0,0,0,0,21,0
"ADH4",0,0,0,0,0,0
"ADH5",270,60,193,31,379,192
"ADH6",0,0,0,0,0,0
"ADH7",0,0,0,0,0,0
"ADHFE1",46,63,11,0,149,0
"ADI1",432,2600,343,821,746,298
"ADIG",0,0,0,0,0,0
"ADIPOQ",103,0,0,5,25,0
"ADIPOR1",134,618,182,485,269,13
"ADIPOR2",486,2171,735,2982,3923,60
"ADIRF",362,54,79,1832,1006,37
"ADK",29,73,120,225,229,5
"ADM",345,492,175,69,709,1443
"ADM2",37,191,187,238,69,0
"ADM5",4,0,1,0,0,0
"ADNP",231,314,441,425,902,0
"ADNP2",146,28,89,79,27,0
"ADO",146,106,91,159,219,0
"ADORA1",157,0,1,29,45,0
"ADORA2A",0,0,0,0,1,0
"ADORA2B",8,0,0,0,0,0
"ADPGK",222,97,150,140,161,1416
"ADPRH",112,0,118,4,33,0
"ADPRHL1",6,83,11,133,17,0
"ADPRM",8,4,3,0,10,0
"ADRA1A",0,8,0,0,2,0
"ADRA1B",0,0,0,0,0,0
"ADRA1D",0,0,0,0,3,0
"ADRA2A",149,2,187,0,37,0
"ADRA2B",4,0,0,0,2,0
"ADRA2C",8,1,5,48,65,0
"ADRB1",3,0,3,0,0,0
"ADRB2",113,0,51,166,52,0
"ADRB3",0,0,0,0,0,0
"ADRM1",753,1616,1082,548,2390,84
"ADSL",279,605,431,312,338,0
"ADTRP",104,15,0,0,33,0
"AEBP1",3581,324,14620,630,6721,6044
"AEBP2",60,110,64,102,134,0
"AEN",426,1785,757,1428,644,212
"AFAP1",373,69,434,607,778,340
"AFAP1L1",27,2,59,59,58,0
"AFAP1L2",31,9,55,64,277,1
"AFF1",12,26,11,17,24,0
"AFF2",31,0,9,41,33,0
"AFF3",27,0,228,864,1750,0
"AFF4",518,266,572,1108,1079,3
"AFG3L2",426,1192,414,592,1545,1323
"AFM",0,0,0,0,0,0
"AFMID",278,1608,321,193,354,1
"AFP",5,0,0,6,0,3068
"AFTPH",354,552,682,738,652,146
"AGA",218,427,305,695,953,700
"AGAP1",139,58,169,473,252,1
"AGAP2",80,75,52,84,46,0
"AGAP3",1395,4091,2192,2211,4008,11688
"AGAP4",0,0,0,0,0,0
"AGAP5",0,0,0,0,0,0
"AGAP6",76,42,59,34,146,0
"AGAP9",0,0,2,0,0,0
"AGBL1",0,0,0,0,0,0
"AGBL2",4,6,17,55,21,0
"AGBL3",34,1,14,39,10,0
"AGBL4",0,0,0,0,1,0
"AGBL5",119,736,224,256,548,116
"AGER",151,71,150,235,102,1
"AGFG1",238,818,183,524,274,0
"AGFG2",29,78,12,54,24,1
"AGGF1",157,126,165,229,333,0
"AGK",30,149,39,72,90,0
"AGL",147,157,320,177,544,0
"AGMAT",26,0,24,0,34,0
"AGMO",0,0,0,0,0,0
"AGO1",309,474,376,242,648,0
"AGO2",327,192,279,70,600,3652
"AGO3",298,751,478,93,627,569
"AGO4",338,36,256,220,317,141
"AGPAT1",484,478,792,1267,564,15
"AGPAT2",509,851,406,498,636,2342
"AGPAT3",562,2339,396,1626,1532,272
"AGPAT4",400,33,363,30,552,0
"AGPAT5",101,272,81,90,40,0
"AGPS",275,10,228,112,451,10
"AGR2",70,4,514,8108,832,407
"AGR3",6,0,33,174,227,0
"AGRN",52,8,19,24,43,0
"AGRP",0,0,0,0,0,0
"AGT",87,1,7,19,61,0
"AGTPBP1",78,87,35,60,85,0
"AGTR1",1,0,4,0,3,0
"AGTR2",0,0,0,0,0,0
"AGTRAP",330,938,259,467,229,999
"AGXT",0,0,10,0,1,0
"AGXT2",0,0,0,0,0,0
"AHCTF1",207,65,230,454,319,0
"AHCY",436,688,271,205,595,52
"AHCYL1",3521,11469,6858,18935,16642,857
"AHCYL2",48,49,44,65,110,0
"AHDC1",300,164,478,347,621,334
"AHI1",546,290,1040,353,555,220
"AHNAK",5080,2418,4275,2223,8804,1821
"AHNAK2",115,0,307,1,198,1
"AHR",373,0,236,18,95,0
"AHRR",2,0,30,2,10,0
"AHSA1",612,892,987,1061,611,56
"AHSG",0,0,0,0,0,0
"AHSP",1,0,4,0,0,0
"AICDA",0,0,0,0,7,0
"AIDA",64,2,24,108,13,0
"AIF1",1120,101,329,103,173,0
"AIF1L",87,1314,209,55,569,1318
"AIFM1",190,298,196,335,587,0
"AIFM2",93,6,96,0,184,0
"AIFM3",14,0,0,0,17,0
"AIG1",160,229,273,357,732,1
"AIM2",63,0,4,0,13,0
"AIMP1",378,432,348,270,580,0
"AIMP2",153,386,227,220,357,2
"AIP",271,280,396,277,582,2357
"AIPL1",0,0,0,0,0,0
"AIRE",0,0,0,0,1,0
"AJAP1",5,0,0,0,7,0
"AJUBA",68,11,90,336,310,0
"AK1",122,218,168,103,85,1146
"AK2",638,3048,875,666,1773,1345
"AK3",638,640,781,1232,538,1065
"AK4",67,49,251,52,134,3
"AK5",188,139,117,57,152,0
"AK6",126,379,162,184,113,1
"AK7",19,9,3,0,1,0
"AK8",0,12,0,0,1,0
"AK9",133,88,49,66,83,0
"AKAP1",265,1304,233,461,334,48
"AKAP10",69,45,109,8,160,0
"AKAP11",56,29,43,100,21,0
"AKAP12",369,10,256,66,345,0
"AKAP13",2677,330,1649,534,1459,1
"AKAP14",6,5,7,0,0,0
"AKAP17A",330,354,256,75,521,12
"AKAP3",2,0,0,0,5,0
"AKAP4",0,0,0,0,0,0
"AKAP5",3,30,13,18,2,1
"AKAP6",321,181,44,0,47,1
"AKAP7",114,18,38,0,68,0
"AKAP8",422,866,253,278,567,2
"AKAP8L",33,232,83,291,167,0
